home,away,Referee,time,H_Enemy_Acc,A_Enemy_Acc,HAccP - AAccP,H/A,HWin,HDraw,HLose,H goal Diff,AWin,ADraw,ALose,A goal diff,moraldiff + h-a,H_atkPass_ratio,A_atkPass_ratio,HS_Acc,AS_Acc,HST_Acc,AST_Acc,H_poss_Acc,A_poss_Acc,H_atk_3rd_Acc,A_atk_3rd_Acc,H_atk_3rd_tot_Acc,A_atk_3rd_tot_Acc,H_red_goal_Acc,A_red_goal_Acc,H_red_on_Acc,A_red_on_Acc,H_red_tot_Acc,A_red_tot_Acc,H_chance_goal_Acc,A_chance_goal_Acc,H_chance_tot_Acc,A_chance_tot_Acc,H_successful_tackle_Acc,A_successful_tackle_Acc,H_tackle_tot_Acc,A_tackle_tot_Acc,H_successful_clearance_Acc,A_successful_clearance_Acc,H_clearance_tot_Acc,A_clearance_tot_Acc,H_interceptions_Acc,A_interceptions_Acc,H_blocks_Acc,A_blocks_Acc,HS_Acc/AS_Acc,HST_Acc/AST_Acc,H_poss_Acc/A_poss_Acc,H_atk_3rd_Acc/A_atk_3rd_Acc,H_atk_3rd_tot_Acc/A_atk_3rd_tot_Acc,H_red_goal_Acc/A_red_goal_Acc,H_red_on_Acc/A_red_on_Acc,H_red_tot_Acc/A_red_tot_Acc,H_chance_goal_Acc/A_chance_goal_Acc,H_chance_tot_Acc/A_chance_tot_Acc,H_successful_tackle_Acc/A_successful_tackle_Acc,H_tackle_tot_Acc/A_tackle_tot_Acc,H_successful_clearance_Acc/A_successful_clearance_Acc,H_clearance_tot_Acc/A_clearance_tot_Acc,H_interceptions_Acc/A_interceptions_Acc,H_blocks_Acc/A_blocks_Acc,y
Fulham,Man City,M Halsey,15612.0,0.0,1.0,3.0,0.0,2.0,5.0,2.0,3.0,0.0,3.0,-5.457701863354039,0.7654723127035831,0.7490864799025578,7.0,3.0,74.0,79.0,56.0,53.0,254.19999999999993,282.7000000000001,470.0,615.0,614.0,821.0,10.0,10.0,17.0,14.0,45.0,54.0,8.0,5.0,54.0,54.0,79.0,122.0,102.0,150.0,65.0,62.0,143.0,144.0,90.0,60.0,21.0,16.0,0.9367088607594937,1.0566037735849056,0.8991864166961437,0.7642276422764228,0.7478684531059683,1.0,1.2142857142857142,0.8333333333333334,1.6,1.0,0.6475409836065574,0.68,1.0483870967741935,0.9930555555555556,1.5,1.3125,A
Norwich,Liverpool,M Jones,15612.0,1.0,1.0555555555555556,0.0,3.0,2.0,-6.0,0.0,2.0,3.0,-6.0,4.266914664283089,0.592814371257485,0.7433290978398983,2.0,2.0,55.0,79.0,27.0,40.0,229.80000000000018,279.10000000000025,396.0,585.0,668.0,787.0,2.0,3.0,13.0,9.0,43.0,51.0,2.0,1.0,50.0,62.0,85.0,108.0,123.0,144.0,65.0,57.0,157.0,116.0,45.0,58.0,17.0,15.0,0.6962025316455697,0.675,0.8233608025797204,0.676923076923077,0.8487928843710292,0.6666666666666666,1.4444444444444444,0.8431372549019608,2.0,0.8064516129032258,0.7870370370370371,0.8541666666666666,1.1403508771929824,1.353448275862069,0.7758620689655172,1.1333333333333333,A
Everton,Southampton,L Probert,15612.0,7.0,1.368421052631579,3.0,1.0,1.0,4.0,1.0,0.0,4.0,-6.0,20.497345578547616,0.7203495630461922,0.6903703703703704,3.0,3.0,94.0,59.0,52.0,31.0,257.1,240.59999999999974,577.0,466.0,801.0,675.0,8.0,8.0,18.0,9.0,74.0,35.0,8.0,6.0,73.0,52.0,82.0,111.0,112.0,138.0,98.0,71.0,196.0,157.0,58.0,100.0,19.0,23.0,1.5932203389830508,1.6774193548387097,1.0685785536159613,1.238197424892704,1.1866666666666668,1.0,2.0,2.1142857142857143,1.3333333333333333,1.4038461538461537,0.7387387387387387,0.8115942028985508,1.380281690140845,1.2484076433121019,0.58,0.8260869565217391,H
Stoke,Swansea,J Moss,15612.0,-3.0,0.8695652173913043,0.0,4.0,1.0,-1.0,2.0,1.0,2.0,3.0,-0.9878696741854576,0.553639846743295,0.7383820998278829,7.0,3.0,46.0,64.0,24.0,41.0,186.10000000000008,282.50000000000017,289.0,429.0,522.0,581.0,4.0,8.0,7.0,10.0,32.0,46.0,1.0,8.0,38.0,49.0,107.0,95.0,146.0,121.0,122.0,86.0,192.0,217.0,73.0,59.0,23.0,28.0,0.71875,0.5853658536585366,0.6587610619469025,0.6736596736596736,0.8984509466437177,0.5,0.7,0.6956521739130435,0.125,0.7755102040816326,1.1263157894736842,1.2066115702479339,1.4186046511627908,0.8847926267281107,1.2372881355932204,0.8214285714285714,H
Arsenal,Chelsea,M Atkinson,15612.0,-4.0,0.8620689655172413,2.0,3.0,0.0,7.0,4.0,1.0,0.0,7.0,-7.331198527720268,0.7740384615384616,0.7372448979591837,2.0,3.0,71.0,69.0,33.0,38.0,292.6,279.1,644.0,578.0,832.0,784.0,6.0,8.0,6.0,7.0,44.0,39.0,3.0,6.0,63.0,59.0,120.0,87.0,146.0,112.0,61.0,68.0,131.0,124.0,98.0,81.0,12.0,11.0,1.0289855072463767,0.868421052631579,1.048369759942673,1.1141868512110726,1.0612244897959184,0.75,0.8571428571428571,1.1282051282051282,0.5,1.0677966101694916,1.3793103448275863,1.3035714285714286,0.8970588235294118,1.0564516129032258,1.2098765432098766,1.0909090909090908,A
Man United,Tottenham,C Foy,15612.0,4.0,1.1666666666666667,4.0,0.0,1.0,6.0,2.0,2.0,1.0,2.0,7.242307692307698,0.8104651162790698,0.7456,2.0,2.0,75.0,85.0,41.0,50.0,284.2000000000001,269.7,697.0,466.0,860.0,625.0,11.0,6.0,6.0,11.0,47.0,44.0,6.0,4.0,57.0,70.0,105.0,99.0,147.0,121.0,84.0,109.0,165.0,220.0,56.0,68.0,17.0,12.0,0.8823529411764706,0.82,1.0537634408602155,1.4957081545064377,1.376,1.8333333333333333,0.5454545454545454,1.0681818181818181,1.5,0.8142857142857143,1.0606060606060606,1.2148760330578512,0.7706422018348624,0.75,0.8235294117647058,1.4166666666666667,A
Aston Villa,West Brom,A Taylor,15613.0,-6.0,0.7692307692307693,1.0,1.0,3.0,-4.0,3.0,1.0,1.0,3.0,-16.14332105840048,0.540133779264214,0.60075329566855,4.0,3.0,55.0,58.0,33.0,35.0,235.00000000000026,215.7,323.0,319.0,598.0,531.0,3.0,6.0,9.0,9.0,40.0,37.0,2.0,5.0,49.0,48.0,109.0,75.0,135.0,100.0,71.0,46.0,159.0,124.0,83.0,51.0,16.0,25.0,0.9482758620689655,0.9428571428571428,1.0894761242466402,1.0125391849529781,1.1261770244821092,0.5,1.0,1.0810810810810811,0.4,1.0208333333333333,1.4533333333333334,1.35,1.5434782608695652,1.282258064516129,1.6274509803921569,0.64,D
QPR,West Ham,M Clattenburg,15614.0,-6.0,0.75,0.0,2.0,3.0,-8.0,2.0,2.0,1.0,1.0,-16.486885444837398,0.6337792642140468,0.6155015197568389,4.0,5.0,54.0,61.0,32.0,37.0,244.30000000000027,229.50000000000014,379.0,405.0,598.0,658.0,3.0,5.0,8.0,8.0,32.0,48.0,1.0,4.0,42.0,52.0,103.0,111.0,136.0,142.0,97.0,92.0,182.0,165.0,62.0,39.0,21.0,23.0,0.8852459016393442,0.8648648648648649,1.0644880174291944,0.9358024691358025,0.9088145896656535,0.6,1.0,0.6666666666666666,0.25,0.8076923076923077,0.9279279279279279,0.9577464788732394,1.0543478260869565,1.103030303030303,1.5897435897435896,0.9130434782608695,A
Wigan,Everton,K Friend,15619.0,-9.0,0.6785714285714286,1.0,1.0,3.0,-4.0,3.0,1.0,1.0,5.0,-18.848528283310884,0.7045454545454546,0.7435897435897436,7.0,7.0,55.0,95.0,29.0,54.0,281.1000000000001,278.7,434.0,638.0,616.0,858.0,5.0,10.0,8.0,17.0,40.0,76.0,2.0,9.0,45.0,78.0,96.0,79.0,124.0,107.0,71.0,90.0,135.0,178.0,48.0,68.0,16.0,14.0,0.5789473684210527,0.5370370370370371,1.0086114101184072,0.6802507836990596,0.717948717948718,0.5,0.47058823529411764,0.5263157894736842,0.2222222222222222,0.5769230769230769,1.2151898734177216,1.158878504672897,0.7888888888888889,0.7584269662921348,0.7058823529411765,1.1428571428571428,D
West Brom,QPR,M Jones,15619.0,9.0,1.5294117647058822,2.0,2.0,1.0,0.0,0.0,2.0,3.0,-4.0,17.731789091914955,0.6145454545454545,0.5825932504440497,6.0,4.0,57.0,47.0,32.0,30.0,217.79999999999995,244.90000000000026,338.0,328.0,550.0,563.0,5.0,3.0,7.0,10.0,33.0,31.0,4.0,2.0,46.0,38.0,82.0,103.0,107.0,139.0,68.0,128.0,170.0,241.0,46.0,62.0,26.0,27.0,1.2127659574468086,1.0666666666666667,0.8893425888117588,1.0304878048780488,0.9769094138543517,1.6666666666666667,0.7,1.064516129032258,2.0,1.2105263157894737,0.7961165048543689,0.7697841726618705,0.53125,0.7053941908713693,0.7419354838709677,0.9629629629629629,H
