home,away,Referee,time,HAccP - AAccP,H/A,HWin,HDraw,HLose,H goal Diff,AWin,ADraw,ALose,A goal diff,moraldiff + h-a,H_Enemy_Acc,A_Enemy_Acc,HRestDay,ARestDay,HS_Acc,AS_Acc,HST_Acc,AST_Acc,H_poss_Acc,A_poss_Acc,H_atk_3rd_Acc,A_atk_3rd_Acc,H_atk_3rd_tot_Acc,A_atk_3rd_tot_Acc,H_red_goal_Acc,A_red_goal_Acc,H_red_on_Acc,A_red_on_Acc,H_red_tot_Acc,A_red_tot_Acc,H_chance_goal_Acc,A_chance_goal_Acc,H_chance_tot_Acc,A_chance_tot_Acc,H_successful_tackle_Acc,A_successful_tackle_Acc,H_tackle_tot_Acc,A_tackle_tot_Acc,H_successful_clearance_Acc,A_successful_clearance_Acc,H_clearance_tot_Acc,A_clearance_tot_Acc,H_interceptions_Acc,A_interceptions_Acc,H_blocks_Acc,A_blocks_Acc,H_atk_3rd_Acc/H_atk_3rd_tot_Acc,H_red_goal_Acc/H_red_tot_Acc,H_red_on_Acc/H_red_tot_Acc,H_chance_goal_Acc/H_chance_tot_Acc,H_successful_tackle_Acc/H_tackle_tot_Acc,H_successful_clearance_Acc/H_clearance_tot_Acc,A_atk_3rd_Acc/A_atk_3rd_tot_Acc,A_red_goal_Acc/A_red_tot_Acc,A_red_on_Acc/A_red_tot_Acc,A_chance_goal_Acc/A_chance_tot_Acc,A_successful_tackle_Acc/A_tackle_tot_Acc,A_successful_clearance_Acc/A_clearance_tot_Acc,y
Fulham,Man City,M Halsey,15612.0,0.0,1.0,3.0,0.0,2.0,5.0,2.0,3.0,0.0,3.0,-5.457701863354039,104.0,102.0,7.0,3.0,74.0,79.0,56.0,53.0,254.19999999999993,282.7000000000001,470.0,615.0,614.0,821.0,10.0,10.0,17.0,14.0,45.0,54.0,8.0,5.0,54.0,54.0,79.0,122.0,102.0,150.0,65.0,62.0,143.0,144.0,90.0,60.0,21.0,16.0,0.7654723127035831,0.2222222222222222,0.37777777777777777,0.14814814814814814,0.7745098039215687,0.45454545454545453,0.7490864799025578,0.18518518518518517,0.25925925925925924,0.09259259259259259,0.8133333333333334,0.4305555555555556,A
Norwich,Liverpool,M Jones,15612.0,1.0,1.0555555555555556,0.0,3.0,2.0,-6.0,0.0,2.0,3.0,-6.0,4.266914664283089,102.0,107.0,2.0,2.0,55.0,79.0,27.0,40.0,229.80000000000018,279.10000000000025,396.0,585.0,668.0,787.0,2.0,3.0,13.0,9.0,43.0,51.0,2.0,1.0,50.0,62.0,85.0,108.0,123.0,144.0,65.0,57.0,157.0,116.0,45.0,58.0,17.0,15.0,0.592814371257485,0.046511627906976744,0.3023255813953488,0.04,0.6910569105691057,0.4140127388535032,0.7433290978398983,0.058823529411764705,0.17647058823529413,0.016129032258064516,0.75,0.49137931034482757,A
Everton,Southampton,L Probert,15612.0,7.0,1.368421052631579,3.0,1.0,1.0,4.0,1.0,0.0,4.0,-6.0,20.497345578547616,105.0,102.0,3.0,3.0,94.0,59.0,52.0,31.0,257.1,240.59999999999974,577.0,466.0,801.0,675.0,8.0,8.0,18.0,9.0,74.0,35.0,8.0,6.0,73.0,52.0,82.0,111.0,112.0,138.0,98.0,71.0,196.0,157.0,58.0,100.0,19.0,23.0,0.7203495630461922,0.10810810810810811,0.24324324324324326,0.1095890410958904,0.7321428571428571,0.5,0.6903703703703704,0.22857142857142856,0.2571428571428571,0.11538461538461539,0.8043478260869565,0.45222929936305734,H
Stoke,Swansea,J Moss,15612.0,-3.0,0.8695652173913043,0.0,4.0,1.0,-1.0,2.0,1.0,2.0,3.0,-0.9878696741854576,111.0,103.0,7.0,3.0,46.0,64.0,24.0,41.0,186.10000000000008,282.50000000000017,289.0,429.0,522.0,581.0,4.0,8.0,7.0,10.0,32.0,46.0,1.0,8.0,38.0,49.0,107.0,95.0,146.0,121.0,122.0,86.0,192.0,217.0,73.0,59.0,23.0,28.0,0.553639846743295,0.125,0.21875,0.02631578947368421,0.7328767123287672,0.6354166666666666,0.7383820998278829,0.17391304347826086,0.21739130434782608,0.16326530612244897,0.7851239669421488,0.39631336405529954,H
Arsenal,Chelsea,M Atkinson,15612.0,-4.0,0.8620689655172413,2.0,3.0,0.0,7.0,4.0,1.0,0.0,7.0,-7.331198527720268,100.0,100.0,2.0,3.0,71.0,69.0,33.0,38.0,292.6,279.1,644.0,578.0,832.0,784.0,6.0,8.0,6.0,7.0,44.0,39.0,3.0,6.0,63.0,59.0,120.0,87.0,146.0,112.0,61.0,68.0,131.0,124.0,98.0,81.0,12.0,11.0,0.7740384615384616,0.13636363636363635,0.13636363636363635,0.047619047619047616,0.821917808219178,0.46564885496183206,0.7372448979591837,0.20512820512820512,0.1794871794871795,0.1016949152542373,0.7767857142857143,0.5483870967741935,A
Man United,Tottenham,C Foy,15612.0,4.0,1.1666666666666667,4.0,0.0,1.0,6.0,2.0,2.0,1.0,2.0,7.242307692307698,99.0,98.0,2.0,2.0,75.0,85.0,41.0,50.0,284.2000000000001,269.7,697.0,466.0,860.0,625.0,11.0,6.0,6.0,11.0,47.0,44.0,6.0,4.0,57.0,70.0,105.0,99.0,147.0,121.0,84.0,109.0,165.0,220.0,56.0,68.0,17.0,12.0,0.8104651162790698,0.23404255319148937,0.1276595744680851,0.10526315789473684,0.7142857142857143,0.509090909090909,0.7456,0.13636363636363635,0.25,0.05714285714285714,0.8181818181818182,0.4954545454545455,A
Aston Villa,West Brom,A Taylor,15613.0,-6.0,0.7692307692307693,1.0,1.0,3.0,-4.0,3.0,1.0,1.0,3.0,-16.14332105840048,103.0,101.0,4.0,3.0,55.0,58.0,33.0,35.0,235.00000000000026,215.7,323.0,319.0,598.0,531.0,3.0,6.0,9.0,9.0,40.0,37.0,2.0,5.0,49.0,48.0,109.0,75.0,135.0,100.0,71.0,46.0,159.0,124.0,83.0,51.0,16.0,25.0,0.540133779264214,0.075,0.225,0.04081632653061224,0.8074074074074075,0.44654088050314467,0.60075329566855,0.16216216216216217,0.24324324324324326,0.10416666666666667,0.75,0.3709677419354839,D
QPR,West Ham,M Clattenburg,15614.0,-6.0,0.75,0.0,2.0,3.0,-8.0,2.0,2.0,1.0,1.0,-16.486885444837398,108.0,102.0,4.0,5.0,54.0,61.0,32.0,37.0,244.30000000000027,229.50000000000014,379.0,405.0,598.0,658.0,3.0,5.0,8.0,8.0,32.0,48.0,1.0,4.0,42.0,52.0,103.0,111.0,136.0,142.0,97.0,92.0,182.0,165.0,62.0,39.0,21.0,23.0,0.6337792642140468,0.09375,0.25,0.023809523809523808,0.7573529411764706,0.532967032967033,0.6155015197568389,0.10416666666666667,0.16666666666666666,0.07692307692307693,0.7816901408450704,0.5575757575757576,A
Wigan,Everton,K Friend,15619.0,-9.0,0.6785714285714286,1.0,1.0,3.0,-4.0,3.0,1.0,1.0,5.0,-18.848528283310884,104.0,103.0,7.0,7.0,55.0,95.0,29.0,54.0,281.1000000000001,278.7,434.0,638.0,616.0,858.0,5.0,10.0,8.0,17.0,40.0,76.0,2.0,9.0,45.0,78.0,96.0,79.0,124.0,107.0,71.0,90.0,135.0,178.0,48.0,68.0,16.0,14.0,0.7045454545454546,0.125,0.2,0.044444444444444446,0.7741935483870968,0.5259259259259259,0.7435897435897436,0.13157894736842105,0.2236842105263158,0.11538461538461539,0.7383177570093458,0.5056179775280899,D
West Brom,QPR,M Jones,15619.0,9.0,1.5294117647058822,2.0,2.0,1.0,0.0,0.0,2.0,3.0,-4.0,17.731789091914955,100.0,111.0,6.0,4.0,57.0,47.0,32.0,30.0,217.79999999999995,244.90000000000026,338.0,328.0,550.0,563.0,5.0,3.0,7.0,10.0,33.0,31.0,4.0,2.0,46.0,38.0,82.0,103.0,107.0,139.0,68.0,128.0,170.0,241.0,46.0,62.0,26.0,27.0,0.6145454545454545,0.15151515151515152,0.21212121212121213,0.08695652173913043,0.7663551401869159,0.4,0.5825932504440497,0.0967741935483871,0.3225806451612903,0.05263157894736842,0.7410071942446043,0.5311203319502075,H
