home,away,Referee,time,HRestTime,ARestTime,HS_Acc,AS_Acc,HST_Acc,AST_Acc,H_Poss_Acc,A_Poss_Acc,H_atkPass_tot_Acc,A_atkPass_tot_Acc,H_atkPass_Ok_Acc,A_atkPass_OK_Acc,H_ins_Acc,A_ins_Acc,HAccP - AAccP,H/A,HWin,HDraw,HLose,H goal Diff,AWin,ADraw,ALose,A goal diff,moraldiff + h-a,y
Fulham,Man City,M Halsey,15612.0,7.0,3.0,74.0,79.0,56.0,53.0,254.19999999999993,282.7000000000001,614.0,821.0,470.0,615.0,90.0,60.0,0.0,1.0,3.0,0.0,2.0,5.0,2.0,3.0,0.0,3.0,-5.457701863354039,A
Norwich,Liverpool,M Jones,15612.0,2.0,2.0,55.0,79.0,27.0,40.0,229.80000000000018,279.10000000000025,668.0,787.0,396.0,585.0,45.0,58.0,1.0,1.0555555555555556,0.0,3.0,2.0,-6.0,0.0,2.0,3.0,-6.0,4.266914664283089,A
Everton,Southampton,L Probert,15612.0,3.0,3.0,94.0,59.0,52.0,31.0,257.1,240.59999999999974,801.0,675.0,577.0,466.0,58.0,100.0,7.0,1.368421052631579,3.0,1.0,1.0,4.0,1.0,0.0,4.0,-6.0,20.497345578547616,H
Stoke,Swansea,J Moss,15612.0,7.0,3.0,46.0,64.0,24.0,41.0,186.10000000000008,282.50000000000017,522.0,581.0,289.0,429.0,73.0,59.0,-3.0,0.8695652173913043,0.0,4.0,1.0,-1.0,2.0,1.0,2.0,3.0,-0.9878696741854576,H
Arsenal,Chelsea,M Atkinson,15612.0,2.0,3.0,71.0,69.0,33.0,38.0,292.6,279.1,832.0,784.0,644.0,578.0,98.0,81.0,-4.0,0.8620689655172413,2.0,3.0,0.0,7.0,4.0,1.0,0.0,7.0,-7.331198527720268,A
Man United,Tottenham,C Foy,15612.0,2.0,2.0,75.0,85.0,41.0,50.0,284.2000000000001,269.7,860.0,625.0,697.0,466.0,56.0,68.0,4.0,1.1666666666666667,4.0,0.0,1.0,6.0,2.0,2.0,1.0,2.0,7.242307692307698,A
Aston Villa,West Brom,A Taylor,15613.0,4.0,3.0,55.0,58.0,33.0,35.0,235.00000000000026,215.7,598.0,531.0,323.0,319.0,83.0,51.0,-6.0,0.7692307692307693,1.0,1.0,3.0,-4.0,3.0,1.0,1.0,3.0,-16.14332105840048,D
QPR,West Ham,M Clattenburg,15614.0,4.0,5.0,54.0,61.0,32.0,37.0,244.30000000000027,229.50000000000014,598.0,658.0,379.0,405.0,62.0,39.0,-6.0,0.75,0.0,2.0,3.0,-8.0,2.0,2.0,1.0,1.0,-16.486885444837398,A
Wigan,Everton,K Friend,15619.0,7.0,7.0,55.0,95.0,29.0,54.0,281.1000000000001,278.7,616.0,858.0,434.0,638.0,48.0,68.0,-9.0,0.6785714285714286,1.0,1.0,3.0,-4.0,3.0,1.0,1.0,5.0,-18.848528283310884,D
West Brom,QPR,M Jones,15619.0,6.0,4.0,57.0,47.0,32.0,30.0,217.79999999999995,244.90000000000026,550.0,563.0,338.0,328.0,46.0,62.0,9.0,1.5294117647058822,2.0,2.0,1.0,0.0,0.0,2.0,3.0,-4.0,17.731789091914955,H
