home,away,Referee,time,prevTimeDiff,HAccP,AAccP,hw,hd,hl,H goal Diff,aw,ad,al,A goal diff,y
Arsenal,Tottenham,H Webb,15661.0,7.0,25.0,26.0,2.0,1.0,2.0,1.0,2.0,0.0,3.0,-1.0,H
Liverpool,Wigan,K Friend,15661.0,5.0,21.0,20.0,1.0,4.0,0.0,1.0,2.0,1.0,2.0,0.0,H
Man City,Aston Villa,J Moss,15661.0,6.0,34.0,18.0,4.0,1.0,0.0,6.0,1.0,1.0,3.0,-3.0,H
Newcastle,Swansea,P Dowd,15661.0,6.0,23.0,22.0,1.0,2.0,2.0,-3.0,1.0,3.0,1.0,0.0,A
Norwich,Man United,A Taylor,15661.0,7.0,20.0,36.0,2.0,2.0,1.0,-1.0,5.0,0.0,0.0,8.0,H
QPR,Southampton,M Dean,15661.0,7.0,13.0,14.0,0.0,2.0,3.0,-3.0,0.0,2.0,3.0,-6.0,A
Reading,Everton,M Atkinson,15661.0,7.0,16.0,29.0,0.0,4.0,1.0,-1.0,1.0,4.0,0.0,1.0,H
West Brom,Chelsea,M Oliver,15661.0,7.0,29.0,33.0,3.0,0.0,2.0,2.0,2.0,2.0,1.0,4.0,H
Fulham,Sunderland,L Probert,15662.0,8.0,25.0,19.0,1.0,4.0,0.0,1.0,0.0,2.0,3.0,-5.0,A
West Ham,Stoke,C Foy,15663.0,8.0,27.0,21.0,2.0,1.0,2.0,1.0,1.0,2.0,2.0,-2.0,D
Aston Villa,Arsenal,L Mason,15668.0,7.0,17.0,27.0,1.0,1.0,3.0,-6.0,2.0,1.0,2.0,2.0,D
Everton,Norwich,M Jones,15668.0,7.0,28.0,22.0,1.0,3.0,1.0,0.0,3.0,2.0,0.0,3.0,D
Man United,QPR,L Probert,15668.0,3.0,35.0,12.0,4.0,0.0,1.0,4.0,0.0,2.0,3.0,-4.0,H
Stoke,Fulham,M Oliver,15668.0,4.0,21.0,24.0,1.0,2.0,2.0,-2.0,1.0,3.0,1.0,-1.0,H
Wigan,Reading,H Webb,15668.0,7.0,19.0,18.0,2.0,0.0,3.0,-3.0,1.0,3.0,1.0,0.0,H
Chelsea,Man City,C Foy,15669.0,4.0,32.0,36.0,1.0,2.0,2.0,0.0,4.0,1.0,0.0,8.0,D
Southampton,Newcastle,M Atkinson,15669.0,8.0,16.0,22.0,1.0,1.0,3.0,-4.0,1.0,2.0,2.0,-1.0,H
Swansea,Liverpool,J Moss,15669.0,8.0,24.0,23.0,2.0,2.0,1.0,1.0,2.0,3.0,0.0,4.0,D
Tottenham,West Ham,A Marriner,15669.0,2.0,25.0,27.0,1.0,0.0,4.0,-6.0,2.0,2.0,1.0,3.0,H
Aston Villa,Reading,L Probert,15671.0,2.0,17.0,17.0,1.0,2.0,2.0,-5.0,1.0,3.0,1.0,0.0,H
Sunderland,QPR,A Marriner,15671.0,3.0,20.0,11.0,1.0,1.0,3.0,-2.0,0.0,1.0,4.0,-6.0,D
Chelsea,Fulham,A Taylor,15672.0,2.0,32.0,23.0,0.0,3.0,2.0,-2.0,0.0,3.0,2.0,-3.0,D
Southampton,Norwich,M Clattenburg,15672.0,3.0,18.0,22.0,2.0,1.0,2.0,1.0,2.0,3.0,0.0,2.0,D
Man United,West Ham,M Jones,15672.0,4.0,37.0,26.0,4.0,0.0,1.0,4.0,1.0,2.0,2.0,-2.0,H
Everton,Arsenal,M Oliver,15672.0,4.0,28.0,27.0,1.0,3.0,1.0,0.0,2.0,2.0,1.0,3.0,D
Stoke,Newcastle,H Webb,15672.0,4.0,23.0,21.0,2.0,2.0,1.0,1.0,1.0,1.0,3.0,-3.0,H
Swansea,West Brom,L Mason,15672.0,3.0,24.0,33.0,1.0,3.0,1.0,0.0,4.0,0.0,1.0,5.0,H
Wigan,Man City,M Halsey,15672.0,4.0,21.0,36.0,3.0,0.0,2.0,-1.0,3.0,2.0,0.0,7.0,A
Tottenham,Liverpool,P Dowd,15672.0,2.0,27.0,23.0,2.0,0.0,3.0,-2.0,1.0,4.0,0.0,3.0,H
Arsenal,Swansea,M Clattenburg,15675.0,2.0,27.0,26.0,1.0,3.0,1.0,2.0,2.0,3.0,0.0,3.0,A
Fulham,Tottenham,C Foy,15675.0,2.0,23.0,29.0,0.0,3.0,2.0,-3.0,2.0,0.0,3.0,-2.0,A
Liverpool,Southampton,M Oliver,15675.0,2.0,22.0,18.0,1.0,3.0,1.0,2.0,2.0,2.0,1.0,2.0,H
Man City,Everton,L Probert,15675.0,2.0,38.0,28.0,3.0,2.0,0.0,8.0,1.0,3.0,1.0,0.0,D
QPR,Aston Villa,H Webb,15675.0,3.0,11.0,19.0,0.0,2.0,3.0,-5.0,2.0,1.0,2.0,-4.0,D
Reading,Man United,M Halsey,15675.0,3.0,16.0,39.0,1.0,2.0,2.0,-1.0,4.0,0.0,1.0,4.0,A
West Brom,Stoke,K Friend,15675.0,2.0,32.0,25.0,4.0,0.0,1.0,4.0,3.0,1.0,1.0,2.0,A
West Ham,Chelsea,M Atkinson,15675.0,2.0,25.0,32.0,1.0,2.0,2.0,-2.0,0.0,4.0,1.0,-1.0,H
Norwich,Sunderland,P Dowd,15676.0,3.0,22.0,20.0,2.0,3.0,0.0,2.0,1.0,1.0,3.0,-2.0,H
Newcastle,Wigan,M Jones,15677.0,4.0,20.0,20.0,0.0,1.0,4.0,-5.0,2.0,0.0,3.0,-4.0,H
Southampton,Reading,J Moss,15682.0,7.0,17.0,15.0,2.0,2.0,1.0,3.0,1.0,1.0,3.0,-2.0,H
Sunderland,Chelsea,M Halsey,15682.0,5.0,19.0,31.0,1.0,1.0,3.0,-2.0,0.0,3.0,2.0,-3.0,A
Swansea,Norwich,H Webb,15682.0,7.0,28.0,24.0,3.0,2.0,0.0,5.0,2.0,3.0,0.0,2.0,A
Wigan,QPR,P Dowd,15682.0,4.0,19.0,11.0,1.0,0.0,4.0,-8.0,0.0,2.0,3.0,-5.0,D
