Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,Referee,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,B365H,B365D,B365A,BWH,BWD,BWA,IWH,IWD,IWA,LBH,LBD,LBA,PSH,PSD,PSA,WHH,WHD,WHA,VCH,VCD,VCA,Bb1X2,BbMxH,BbAvH,BbMxD,BbAvD,BbMxA,BbAvA,BbOU,BbMx>2.5,BbAv>2.5,BbMx<2.5,BbAv<2.5,BbAH,BbAHh,BbMxAHH,BbAvAHH,BbMxAHA,BbAvAHA,JocH,JocD,JocA,session,H_poss,A_poss,H_atk_3rd,A_atk_3rd,H_atk_3rd_tot,A_atk_3rd_tot,H_red_goal,A_red_goal,H_red_on,A_red_on,H_red_tot,A_red_tot,H_chance_goal,A_chance_goal,H_chance_tot,A_chance_tot,H_successful_tackle,A_successful_tackle,H_tackle_tot,A_tackle_tot,H_successful_clearance,A_successful_clearance,H_clearance_tot,A_clearance_tot,H_interceptions,A_interceptions,H_blocks,A_blocks,Future,HPoints,APoints,HAccP,AAccP,HWin,AWin,HDraw,ADraw,HLose,ALose,HScore,AScore,HConcede,AConcede,HMoral,AMoral,HRestDay,ARestDay,H_Enemy_Acc,A_Enemy_Acc,Sufficient,HS_Acc,AS_Acc,HST_Acc,AST_Acc,H_poss_Acc,A_poss_Acc,H_atk_3rd_Acc,A_atk_3rd_Acc,H_atk_3rd_tot_Acc,A_atk_3rd_tot_Acc,H_red_goal_Acc,A_red_goal_Acc,H_red_on_Acc,A_red_on_Acc,H_red_tot_Acc,A_red_tot_Acc,H_chance_goal_Acc,A_chance_goal_Acc,H_chance_tot_Acc,A_chance_tot_Acc,H_successful_tackle_Acc,A_successful_tackle_Acc,H_tackle_tot_Acc,A_tackle_tot_Acc,H_successful_clearance_Acc,A_successful_clearance_Acc,H_clearance_tot_Acc,A_clearance_tot_Acc,H_interceptions_Acc,A_interceptions_Acc,H_blocks_Acc,A_blocks_Acc
E0,2016-03-20,Tottenham,Bournemouth,3.0,0.0,H,2.0,0.0,H,N Swarbrick,17.0,2.0,8.0,0.0,11.0,6.0,4.0,5.0,0.0,1.0,0.0,0.0,1.53,4.33,7.0,1.5,4.33,5.75,1.5,4.0,6.1,1.53,4.0,6.0,1.56,4.41,6.57,1.57,3.75,6.5,1.53,4.4,7.0,46.0,1.57,1.53,4.5,4.24,7.0,6.2,38.0,1.8,1.73,2.23,2.09,31.0,-1.0,1.96,1.88,2.04,1.98,1.45,4.05,5.6,0.0,62.8,37.2,108.0,49.0,150.0,78.0,3.0,0.0,1.0,0.0,9.0,2.0,2.0,0.0,13.0,2.0,20.0,20.0,40.0,26.0,18.0,26.0,29.0,31.0,15.0,17.0,0.0,2.0,0.0,3.0,0.0,41.0,30.0,3.0,3.0,1.0,1.0,1.0,1.0,8.0,9.0,5.0,6.0,1.25233093988,8.31431888763,2.0,8.0,127.0,133.0,1.0,94.0,59.0,38.0,18.0,290.3,258.1,518.0,438.0,766.0,667.0,7.0,8.0,15.0,6.0,49.0,36.0,5.0,6.0,67.0,40.0,127.0,86.0,175.0,136.0,105.0,123.0,147.0,149.0,86.0,84.0,24.0,14.0
E0,2016-03-20,Man City,Man United,0.0,1.0,A,0.0,1.0,A,M Oliver,26.0,5.0,2.0,3.0,9.0,12.0,11.0,5.0,1.0,1.0,0.0,0.0,1.83,3.75,4.75,1.83,3.6,4.0,1.8,3.5,4.2,1.8,3.6,4.5,1.86,3.75,4.61,1.85,3.4,4.5,1.85,3.75,4.6,46.0,1.87,1.83,3.8,3.62,4.75,4.42,39.0,2.0,1.93,1.94,1.86,28.0,-0.5,1.87,1.83,2.12,2.04,1.69,3.5,4.2,0.0,54.5,45.5,134.0,68.0,175.0,105.0,0.0,1.0,3.0,1.0,21.0,3.0,0.0,1.0,22.0,5.0,21.0,26.0,35.0,46.0,22.0,16.0,30.0,25.0,24.0,17.0,1.0,5.0,0.0,0.0,3.0,30.0,28.0,1.0,2.0,1.0,1.0,3.0,2.0,6.0,6.0,8.0,6.0,-6.3408352088,-0.253442937974,4.0,2.0,141.0,140.0,1.0,82.0,57.0,22.0,22.0,299.7,270.1,899.0,548.0,1153.0,726.0,6.0,4.0,10.0,6.0,54.0,29.0,5.0,3.0,61.0,39.0,105.0,110.0,155.0,156.0,107.0,77.0,131.0,118.0,94.0,80.0,6.0,22.0
E0,2016-03-20,Southampton,Liverpool,3.0,2.0,H,0.0,2.0,A,R East,16.0,18.0,5.0,9.0,10.0,13.0,3.0,5.0,1.0,3.0,0.0,0.0,2.63,3.4,2.88,2.4,3.3,2.85,2.6,3.2,2.6,2.5,3.1,2.8,2.71,3.29,2.88,2.75,3.0,2.75,2.7,3.25,2.9,45.0,2.75,2.61,3.4,3.21,2.9,2.81,38.0,2.35,2.22,1.7,1.65,27.0,0.25,1.64,1.6,2.47,2.4,2.45,3.1,2.6,0.0,49.2,50.8,114.0,111.0,163.0,164.0,2.0,1.0,1.0,5.0,9.0,10.0,3.0,2.0,13.0,12.0,18.0,11.0,32.0,20.0,23.0,21.0,33.0,26.0,22.0,12.0,4.0,5.0,0.0,3.0,0.0,30.0,32.0,2.0,3.0,1.0,1.0,2.0,1.0,5.0,13.0,6.0,5.0,-2.11883641513,4.97116230578,8.0,2.0,119.0,119.0,1.0,53.0,71.0,17.0,28.0,239.3,306.9,403.0,688.0,640.0,968.0,5.0,9.0,9.0,10.0,29.0,34.0,4.0,9.0,44.0,54.0,68.0,127.0,114.0,180.0,170.0,84.0,233.0,120.0,67.0,78.0,16.0,10.0
E0,2016-03-20,Newcastle,Sunderland,1.0,1.0,D,0.0,1.0,A,M Atkinson,17.0,14.0,8.0,4.0,14.0,7.0,2.0,5.0,4.0,1.0,0.0,0.0,2.1,3.5,3.8,2.1,3.2,3.5,2.1,3.3,3.3,2.05,3.3,3.6,2.13,3.43,3.85,2.2,3.1,3.5,2.1,3.5,3.8,47.0,2.2,2.11,3.53,3.34,3.85,3.61,39.0,2.12,2.01,1.85,1.79,30.0,-0.25,1.93,1.81,2.14,2.06,2.06,3.2,3.15,0.0,59.9,40.1,74.0,72.0,116.0,124.0,1.0,1.0,3.0,2.0,9.0,7.0,1.0,0.0,12.0,10.0,24.0,25.0,35.0,40.0,25.0,23.0,31.0,38.0,9.0,6.0,3.0,3.0,0.0,1.0,1.0,18.0,22.0,1.0,1.0,0.0,3.0,4.0,1.0,3.0,7.0,10.0,7.0,-4.79163398693,6.60505233826,5.0,15.0,152.0,134.0,1.0,61.0,69.0,19.0,20.0,258.1,204.1,384.0,283.0,589.0,542.0,1.0,3.0,7.0,7.0,33.0,33.0,3.0,4.0,47.0,45.0,97.0,90.0,140.0,143.0,92.0,130.0,118.0,193.0,92.0,81.0,21.0,20.0
E0,2016-03-19,Swansea,Aston Villa,1.0,0.0,H,0.0,0.0,D,M Dean,10.0,12.0,1.0,2.0,9.0,10.0,4.0,6.0,3.0,2.0,0.0,0.0,1.67,3.8,6.0,1.6,3.75,5.75,1.55,4.0,5.5,1.62,3.6,5.75,1.73,3.81,5.55,1.67,3.4,6.0,1.7,3.8,5.75,47.0,1.73,1.66,4.0,3.73,6.0,5.58,40.0,2.29,2.15,1.82,1.69,31.0,-1.0,2.34,2.22,1.74,1.7,1.54,3.6,5.35,0.0,53.8,46.2,83.0,100.0,112.0,149.0,1.0,0.0,0.0,2.0,3.0,8.0,1.0,0.0,7.0,7.0,19.0,27.0,33.0,34.0,42.0,18.0,53.0,28.0,25.0,32.0,6.0,3.0,0.0,3.0,0.0,20.0,12.0,2.0,0.0,0.0,0.0,3.0,5.0,6.0,2.0,7.0,17.0,2.67159905578,-6.04672046457,7.0,5.0,153.0,160.0,1.0,56.0,38.0,15.0,10.0,246.4,197.4,365.0,404.0,583.0,604.0,5.0,2.0,6.0,4.0,29.0,23.0,3.0,2.0,39.0,25.0,97.0,99.0,135.0,140.0,141.0,93.0,184.0,147.0,89.0,121.0,21.0,14.0
E0,2016-03-19,Crystal Palace,Leicester,0.0,1.0,A,0.0,1.0,A,M Jones,12.0,8.0,4.0,3.0,9.0,13.0,10.0,7.0,1.0,1.0,0.0,0.0,3.0,3.4,2.5,2.95,3.2,2.4,3.0,3.2,2.3,2.9,3.25,2.4,2.96,3.35,2.6,3.0,3.1,2.5,3.0,3.3,2.55,47.0,3.1,2.93,3.5,3.26,2.6,2.48,39.0,2.2,2.14,1.76,1.7,30.0,0.25,1.81,1.76,2.22,2.13,2.8,3.15,2.27,0.0,55.9,44.1,72.0,98.0,123.0,154.0,0.0,1.0,1.0,2.0,7.0,6.0,0.0,1.0,12.0,6.0,15.0,28.0,28.0,46.0,18.0,39.0,32.0,52.0,19.0,21.0,2.0,2.0,0.0,0.0,3.0,18.0,44.0,0.0,3.0,2.0,1.0,3.0,1.0,7.0,6.0,10.0,4.0,-5.41643224471,1.94897066758,7.0,4.0,120.0,129.0,1.0,68.0,66.0,20.0,19.0,228.7,251.4,344.0,442.0,573.0,690.0,7.0,5.0,7.0,7.0,44.0,42.0,4.0,2.0,44.0,47.0,77.0,121.0,116.0,179.0,92.0,82.0,127.0,118.0,96.0,113.0,22.0,19.0
E0,2016-03-19,Everton,Arsenal,0.0,2.0,A,0.0,2.0,A,M Clattenburg,8.0,11.0,2.0,3.0,7.0,10.0,7.0,5.0,0.0,0.0,0.0,0.0,2.7,3.5,2.7,2.6,3.4,2.55,2.6,3.2,2.6,2.62,3.5,2.5,2.67,3.64,2.69,2.5,3.6,2.6,2.7,3.6,2.7,47.0,2.77,2.62,3.7,3.48,2.75,2.63,39.0,1.75,1.7,2.23,2.14,29.0,0.25,1.71,1.67,2.35,2.26,2.4,3.4,2.48,0.0,53.9,46.1,85.0,126.0,138.0,163.0,0.0,2.0,1.0,0.0,5.0,8.0,0.0,2.0,5.0,8.0,23.0,21.0,42.0,29.0,11.0,23.0,15.0,38.0,17.0,30.0,4.0,1.0,0.0,0.0,3.0,25.0,33.0,3.0,2.0,0.0,1.0,2.0,2.0,11.0,9.0,5.0,8.0,1.36616272616,-4.10528642561,6.0,2.0,118.0,153.0,1.0,91.0,75.0,34.0,24.0,260.9,293.3,548.0,693.0,756.0,941.0,10.0,9.0,13.0,13.0,55.0,55.0,7.0,8.0,62.0,56.0,108.0,103.0,155.0,147.0,125.0,81.0,173.0,127.0,66.0,98.0,16.0,19.0
E0,2016-03-19,Chelsea,West Ham,2.0,2.0,D,1.0,1.0,D,R Madley,22.0,13.0,5.0,6.0,13.0,14.0,10.0,9.0,3.0,5.0,0.0,0.0,1.75,3.8,5.25,1.7,3.8,4.6,1.7,3.7,4.5,1.7,3.75,5.0,1.76,3.9,5.1,1.73,3.6,5.0,1.73,3.9,5.2,47.0,1.78,1.72,3.96,3.78,5.25,4.89,40.0,1.92,1.83,2.07,1.97,31.0,-1.0,2.42,2.28,1.89,1.66,1.55,3.7,5.0,0.0,59.4,40.6,103.0,58.0,150.0,98.0,1.0,1.0,2.0,2.0,16.0,9.0,0.0,1.0,14.0,9.0,18.0,20.0,23.0,35.0,13.0,23.0,19.0,30.0,15.0,18.0,5.0,6.0,0.0,1.0,1.0,29.0,32.0,3.0,3.0,2.0,1.0,0.0,1.0,11.0,7.0,5.0,5.0,10.4698091659,6.04008494287,6.0,5.0,137.0,134.0,1.0,77.0,69.0,23.0,19.0,271.3,262.6,698.0,490.0,913.0,715.0,8.0,6.0,9.0,7.0,44.0,36.0,9.0,5.0,63.0,49.0,97.0,92.0,152.0,124.0,86.0,97.0,140.0,138.0,63.0,96.0,17.0,14.0
E0,2016-03-19,Watford,Stoke,1.0,2.0,A,0.0,1.0,A,C Pawson,9.0,9.0,4.0,6.0,10.0,14.0,9.0,2.0,3.0,1.0,0.0,0.0,2.4,3.25,3.3,2.4,3.1,3.0,2.4,3.2,2.85,2.3,3.1,3.2,2.4,3.27,3.36,2.5,3.0,3.1,2.45,3.2,3.3,47.0,2.5,2.39,3.27,3.16,3.36,3.17,39.0,2.51,2.37,1.63,1.58,30.0,-0.25,2.08,2.03,1.9,1.84,2.18,3.0,3.1,0.0,52.1,47.9,88.0,78.0,158.0,126.0,1.0,1.0,2.0,2.0,6.0,3.0,1.0,2.0,6.0,8.0,19.0,18.0,27.0,32.0,9.0,29.0,20.0,45.0,18.0,11.0,1.0,1.0,0.0,0.0,3.0,27.0,31.0,1.0,3.0,1.0,1.0,3.0,1.0,2.0,8.0,4.0,5.0,-3.75913621262,3.15105223124,6.0,7.0,156.0,117.0,1.0,51.0,60.0,11.0,18.0,216.4,257.3,299.0,444.0,536.0,672.0,2.0,5.0,8.0,5.0,27.0,31.0,0.0,5.0,33.0,47.0,120.0,97.0,192.0,143.0,119.0,84.0,161.0,125.0,104.0,85.0,20.0,12.0
E0,2016-03-19,West Brom,Norwich,0.0,1.0,A,0.0,0.0,D,A Taylor,10.0,7.0,0.0,1.0,8.0,13.0,4.0,3.0,1.0,2.0,0.0,0.0,2.25,3.3,3.6,2.2,3.1,3.4,2.1,3.3,3.3,2.2,3.1,3.4,2.31,3.24,3.6,2.25,3.2,3.3,2.25,3.2,3.7,46.0,2.33,2.23,3.3,3.2,3.7,3.45,38.0,2.51,2.35,1.65,1.58,30.0,-0.25,1.96,1.91,2.03,1.95,2.02,3.05,3.45,0.0,50.1,49.9,89.0,72.0,158.0,140.0,0.0,1.0,0.0,0.0,5.0,4.0,0.0,1.0,8.0,6.0,17.0,20.0,28.0,26.0,33.0,41.0,38.0,53.0,24.0,6.0,2.0,3.0,0.0,0.0,3.0,28.0,16.0,3.0,0.0,1.0,2.0,1.0,3.0,7.0,3.0,5.0,6.0,7.25748768473,-1.26914300203,12.0,7.0,144.0,151.0,1.0,43.0,48.0,11.0,9.0,182.9,214.7,297.0,455.0,526.0,734.0,6.0,2.0,3.0,5.0,25.0,27.0,5.0,1.0,31.0,34.0,82.0,93.0,141.0,150.0,154.0,157.0,216.0,207.0,100.0,76.0,36.0,17.0
