home,away,Referee,time,HRestTime,ARestTime,HAccS,AAccS,HAccST,AAccST,HAccP - AAccP,H/A,HWin,HDraw,HLose,H goal Diff,AWin,ADraw,ALose,A goal diff,moraldiff + h-a,y
Fulham,Man City,M Halsey,15612.0,7.0,3.0,74.0,79.0,56.0,53.0,0.0,1.0,3.0,0.0,2.0,5.0,2.0,3.0,0.0,3.0,-5.457701863354039,A
Man United,Tottenham,C Foy,15612.0,2.0,2.0,75.0,85.0,41.0,50.0,4.0,1.1666666666666667,4.0,0.0,1.0,6.0,2.0,2.0,1.0,2.0,7.242307692307698,A
Stoke,Swansea,J Moss,15612.0,7.0,3.0,46.0,64.0,24.0,41.0,-3.0,0.8695652173913043,0.0,4.0,1.0,-1.0,2.0,1.0,2.0,3.0,-0.9878696741854576,H
Norwich,Liverpool,M Jones,15612.0,2.0,2.0,55.0,79.0,27.0,40.0,1.0,1.0555555555555556,0.0,3.0,2.0,-6.0,0.0,2.0,3.0,-6.0,4.266914664283089,A
Everton,Southampton,L Probert,15612.0,3.0,3.0,94.0,59.0,52.0,31.0,7.0,1.368421052631579,3.0,1.0,1.0,4.0,1.0,0.0,4.0,-6.0,20.497345578547616,H
Arsenal,Chelsea,M Atkinson,15612.0,2.0,3.0,71.0,69.0,33.0,38.0,-4.0,0.8620689655172413,2.0,3.0,0.0,7.0,4.0,1.0,0.0,7.0,-7.331198527720268,A
Aston Villa,West Brom,A Taylor,15613.0,4.0,3.0,55.0,58.0,33.0,35.0,-6.0,0.7692307692307693,1.0,1.0,3.0,-4.0,3.0,1.0,1.0,3.0,-16.14332105840048,D
QPR,West Ham,M Clattenburg,15614.0,4.0,5.0,54.0,61.0,32.0,37.0,-6.0,0.75,0.0,2.0,3.0,-8.0,2.0,2.0,1.0,1.0,-16.486885444837398,A
Wigan,Everton,K Friend,15619.0,7.0,7.0,55.0,95.0,29.0,54.0,-9.0,0.6785714285714286,1.0,1.0,3.0,-4.0,3.0,1.0,1.0,5.0,-18.848528283310884,D
West Ham,Arsenal,P Dowd,15619.0,4.0,2.0,70.0,71.0,43.0,34.0,2.0,1.0833333333333333,2.0,2.0,1.0,1.0,2.0,2.0,1.0,6.0,1.3395712857856807,A
West Brom,QPR,M Jones,15619.0,6.0,4.0,57.0,47.0,32.0,30.0,9.0,1.5294117647058822,2.0,2.0,1.0,0.0,0.0,2.0,3.0,-4.0,17.731789091914948,H
Swansea,Reading,M Dean,15619.0,7.0,7.0,60.0,42.0,33.0,18.0,4.0,1.2222222222222223,1.0,1.0,3.0,-4.0,0.0,2.0,3.0,-5.0,3.2234286803966405,D
Man City,Sunderland,L Probert,15619.0,2.0,7.0,80.0,28.0,50.0,17.0,4.0,1.173913043478261,2.0,3.0,0.0,3.0,1.0,4.0,0.0,1.0,5.223022774327131,H
Chelsea,Norwich,A Taylor,15619.0,3.0,7.0,74.0,61.0,40.0,32.0,13.0,1.7222222222222223,4.0,1.0,0.0,6.0,0.0,3.0,2.0,-4.0,26.816313762310756,H
Liverpool,Stoke,L Mason,15620.0,2.0,8.0,75.0,50.0,39.0,26.0,-2.0,0.9090909090909091,1.0,2.0,2.0,0.0,1.0,3.0,1.0,1.0,-5.982282629651053,D
Newcastle,Man United,H Webb,15620.0,2.0,4.0,62.0,78.0,29.0,42.0,-3.0,0.8888888888888888,1.0,3.0,1.0,-1.0,4.0,0.0,1.0,6.0,-7.811398601398597,A
Southampton,Fulham,M Clattenburg,15620.0,8.0,8.0,58.0,70.0,27.0,50.0,-6.0,0.75,1.0,0.0,4.0,-7.0,2.0,0.0,3.0,-1.0,-9.285719523443305,D
Tottenham,Aston Villa,N Swarbrick,15620.0,2.0,7.0,83.0,64.0,50.0,35.0,6.0,1.3,3.0,2.0,0.0,4.0,1.0,2.0,2.0,-3.0,17.150223938129443,H
Norwich,Arsenal,L Probert,15633.0,14.0,13.0,55.0,75.0,32.0,42.0,-9.0,0.6538461538461539,0.0,2.0,3.0,-7.0,3.0,1.0,1.0,8.0,-21.304636925358007,H
Tottenham,Chelsea,M Dean,15633.0,13.0,14.0,88.0,71.0,50.0,42.0,-5.0,0.8484848484848485,4.0,1.0,0.0,6.0,4.0,1.0,0.0,7.0,-2.7265780188583335,A
West Ham,Southampton,N Swarbrick,15633.0,13.0,13.0,70.0,57.0,40.0,24.0,7.0,1.3888888888888888,2.0,2.0,1.0,2.0,1.0,1.0,3.0,-5.0,12.800160517232129,H
Swansea,Wigan,M Jones,15633.0,14.0,14.0,75.0,53.0,42.0,27.0,3.0,1.1578947368421053,0.0,2.0,3.0,-7.0,0.0,2.0,3.0,-6.0,0.17885702398287862,H
