home,away,Referee,time,hw,hd,hl,hscore,hconcede,hw2,hd2,hl2,hscore2,hconcede2,aw,ad,al,ascore,aconcede,aw2,ad2,al2,ascore2,aconcede2,y
QPR,Man City,M Atkinson,15283.0,1.0,2.0,2.0,4.0,11.0,1.0,3.0,1.0,3.0,6.0,5.0,0.0,0.0,19.0,3.0,4.0,1.0,0.0,20.0,6.0,A
Man United,Sunderland,L Mason,15283.0,2.0,2.0,1.0,6.0,8.0,4.0,0.0,1.0,17.0,9.0,1.0,2.0,2.0,8.0,8.0,1.0,2.0,2.0,5.0,5.0,H
Liverpool,Swansea,P Dowd,15283.0,3.0,2.0,0.0,8.0,3.0,2.0,3.0,0.0,8.0,5.0,2.0,1.0,2.0,9.0,10.0,0.0,1.0,4.0,4.0,14.0,D
Aston Villa,Norwich,K Friend,15283.0,1.0,2.0,2.0,7.0,9.0,2.0,2.0,1.0,7.0,4.0,2.0,2.0,1.0,9.0,8.0,1.0,2.0,2.0,5.0,8.0,H
Arsenal,West Brom,M Oliver,15283.0,4.0,0.0,1.0,14.0,7.0,4.0,0.0,1.0,9.0,4.0,2.0,2.0,1.0,6.0,5.0,2.0,1.0,2.0,6.0,8.0,H
Blackburn,Chelsea,M Dean,15283.0,0.0,2.0,3.0,6.0,13.0,1.0,0.0,4.0,6.0,12.0,3.0,0.0,2.0,15.0,9.0,2.0,1.0,2.0,8.0,6.0,A
Bolton,Stoke,H Webb,15284.0,1.0,0.0,4.0,5.0,14.0,0.0,0.0,5.0,4.0,17.0,1.0,1.0,3.0,5.0,9.0,1.0,1.0,3.0,3.0,10.0,H
Fulham,Tottenham,P Walton,15284.0,2.0,1.0,2.0,9.0,5.0,1.0,3.0,1.0,10.0,6.0,4.0,1.0,0.0,11.0,6.0,3.0,1.0,1.0,8.0,7.0,A
Wolves,Wigan,L Probert,15284.0,0.0,1.0,4.0,5.0,11.0,1.0,1.0,3.0,5.0,9.0,0.0,0.0,5.0,2.0,10.0,0.0,1.0,4.0,1.0,9.0,H
West Brom,Bolton,N Swarbrick,15297.0,2.0,1.0,2.0,6.0,8.0,1.0,1.0,3.0,3.0,5.0,2.0,0.0,3.0,10.0,11.0,2.0,0.0,3.0,9.0,10.0,H
Wigan,Blackburn,A Marriner,15297.0,0.0,0.0,5.0,2.0,11.0,1.0,1.0,3.0,5.0,8.0,0.0,2.0,3.0,5.0,11.0,0.0,3.0,2.0,7.0,11.0,D
Swansea,Man United,M Dean,15297.0,2.0,2.0,1.0,8.0,6.0,3.0,2.0,0.0,8.0,1.0,3.0,1.0,1.0,6.0,7.0,3.0,2.0,0.0,10.0,3.0,A
Sunderland,Fulham,A Taylor,15297.0,1.0,2.0,2.0,7.0,7.0,1.0,2.0,2.0,9.0,7.0,2.0,0.0,3.0,10.0,8.0,1.0,1.0,3.0,3.0,6.0,D
Stoke,QPR,M Jones,15297.0,1.0,0.0,4.0,4.0,13.0,2.0,2.0,1.0,5.0,4.0,1.0,1.0,3.0,5.0,13.0,2.0,0.0,3.0,5.0,11.0,A
Norwich,Arsenal,P Dowd,15297.0,1.0,2.0,2.0,9.0,10.0,2.0,2.0,1.0,9.0,7.0,4.0,0.0,1.0,14.0,7.0,1.0,1.0,3.0,11.0,17.0,A
Man City,Newcastle,C Foy,15297.0,5.0,0.0,0.0,20.0,5.0,5.0,0.0,0.0,16.0,2.0,4.0,1.0,0.0,10.0,5.0,3.0,2.0,0.0,7.0,3.0,H
Everton,Wolves,J Moss,15297.0,1.0,0.0,4.0,5.0,9.0,1.0,1.0,3.0,5.0,7.0,1.0,1.0,3.0,7.0,10.0,1.0,1.0,3.0,4.0,8.0,H
Chelsea,Liverpool,L Probert,15298.0,3.0,0.0,2.0,12.0,8.0,4.0,0.0,1.0,15.0,9.0,2.0,3.0,0.0,6.0,2.0,3.0,0.0,2.0,6.0,5.0,A
Arsenal,Fulham,M Dean,15304.0,5.0,0.0,0.0,15.0,6.0,5.0,0.0,0.0,12.0,2.0,1.0,1.0,3.0,4.0,8.0,1.0,2.0,2.0,3.0,4.0,D
Bolton,Everton,M Oliver,15304.0,2.0,0.0,3.0,10.0,8.0,1.0,0.0,4.0,7.0,14.0,2.0,0.0,3.0,7.0,8.0,2.0,0.0,3.0,6.0,8.0,A
Chelsea,Wolves,L Mason,15304.0,2.0,0.0,3.0,8.0,9.0,3.0,0.0,2.0,14.0,10.0,1.0,1.0,3.0,7.0,10.0,0.0,1.0,4.0,3.0,9.0,H
Man United,Newcastle,M Jones,15304.0,3.0,1.0,1.0,5.0,7.0,4.0,0.0,1.0,15.0,9.0,3.0,1.0,1.0,9.0,7.0,2.0,2.0,1.0,7.0,6.0,D
Norwich,QPR,M Clattenburg,15304.0,1.0,2.0,2.0,10.0,10.0,2.0,1.0,2.0,9.0,8.0,2.0,1.0,2.0,8.0,9.0,2.0,0.0,3.0,7.0,13.0,H
