0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93
Aston Villa,Man City,Arsenal,A,Chelsea,H,Liverpool,A,Newcastle,A,Norwich,A,Newcastle,H,Cardiff,H,Hull,H,Stoke,D,Man United,H,15976.0,0,1,3,4,5,1,0,0,2,1,1,4,0,0,1,0,1,3,3,0,0,1,1,2,1,4,0,0,0,0,1,1,0,0,0,1,4,0,2,3,0,1,0,3,2,0,0,0,0,1,2,0,2,3,0,0,0,0,0,1,1,0,0,1,4,1,1,2,0,0,H
Fulham,Cardiff,Sunderland,A,Arsenal,A,Newcastle,H,West Brom,D,Chelsea,H,West Ham,H,Man City,H,Everton,D,Hull,D,Tottenham,A,15976.0,0,0,1,0,3,0,0,1,1,3,2,2,0,0,0,1,0,2,2,0,0,1,1,1,0,1,0,0,0,2,0,0,0,0,0,0,2,0,0,1,0,0,1,3,2,0,0,0,0,1,0,0,1,1,0,0,0,1,1,1,2,0,0,1,0,1,1,4,0,0,A
Hull,West Ham,Chelsea,H,Norwich,H,Man City,H,Cardiff,D,Newcastle,A,Cardiff,H,Newcastle,D,Stoke,A,Southampton,D,Everton,A,15976.0,0,2,0,0,1,0,0,1,1,0,1,1,1,0,0,2,0,2,3,0,0,1,1,1,1,2,0,0,0,2,3,1,1,0,0,1,2,0,0,1,0,0,0,0,0,0,1,0,0,1,0,1,2,1,0,0,0,0,0,1,3,0,0,1,2,3,2,1,1,0,H
Man United,West Brom,Swansea,A,Chelsea,D,Liverpool,H,Crystal Palace,H,Man City,H,Southampton,A,Everton,D,Swansea,A,Fulham,D,Sunderland,H,15976.0,0,1,4,1,3,0,0,1,0,0,0,2,0,0,0,1,0,2,4,0,0,1,2,0,1,2,0,1,0,4,1,1,2,0,0,1,0,1,4,0,0,0,0,0,0,1,1,0,0,1,0,2,4,3,0,0,0,1,1,0,1,0,0,1,3,0,0,2,0,0,A
Southampton,Crystal Palace,West Brom,A,Sunderland,D,Norwich,H,West Ham,D,Liverpool,A,Tottenham,A,Stoke,H,Sunderland,H,Man United,H,Swansea,A,15976.0,0,0,1,4,0,0,0,1,1,1,2,2,0,0,0,1,0,0,0,0,0,1,0,0,1,3,0,0,0,0,1,0,1,0,0,1,0,1,1,0,0,0,0,2,1,3,0,0,0,1,3,1,1,0,0,1,0,2,0,1,2,0,1,1,0,2,2,2,0,0,H
Swansea,Arsenal,Man United,A,Tottenham,H,West Brom,A,Liverpool,D,Crystal Palace,A,Aston Villa,A,Fulham,A,Tottenham,H,Sunderland,A,Stoke,H,15976.0,1,1,4,1,3,0,0,0,1,0,1,4,0,0,0,0,2,4,3,0,0,1,2,2,2,3,0,0,0,0,2,2,2,0,0,1,1,3,4,5,1,0,0,1,3,2,2,0,0,1,1,0,2,2,0,0,0,1,3,1,2,0,0,1,3,1,0,2,0,0,A
Tottenham,Chelsea,Crystal Palace,A,Swansea,H,Arsenal,H,Norwich,H,Cardiff,A,Hull,H,Aston Villa,H,Man United,D,Everton,H,Fulham,H,15976.0,0,0,1,1,0,0,0,1,1,0,1,4,0,0,0,1,0,2,2,0,0,1,2,0,1,3,0,0,0,0,1,1,4,0,0,1,2,0,0,1,0,0,1,2,1,1,4,0,0,0,0,0,0,2,0,0,0,1,0,0,4,0,0,1,2,0,0,0,0,0,D
Stoke,Norwich,Liverpool,H,Crystal Palace,H,West Ham,A,Man City,D,Arsenal,H,Everton,D,Hull,H,Southampton,H,Tottenham,H,Aston Villa,A,15977.0,0,1,0,1,1,0,0,1,2,1,3,0,0,0,0,0,1,2,1,0,0,1,0,0,1,1,0,0,0,3,1,0,2,0,0,1,2,2,2,0,0,0,0,1,0,1,1,1,0,1,1,0,0,0,0,0,0,2,0,1,3,0,0,1,0,1,1,0,0,0,A
Sunderland,Liverpool,Fulham,A,Southampton,D,Crystal Palace,H,Arsenal,A,West Brom,H,Stoke,H,Aston Villa,A,Man United,H,Swansea,D,Southampton,A,15977.0,1,0,1,0,3,0,0,0,1,1,2,2,0,0,0,3,1,1,0,0,1,1,1,3,1,2,0,0,0,3,0,0,2,0,0,1,1,0,1,1,0,0,0,0,1,3,3,0,0,1,1,0,2,4,0,0,0,2,2,2,3,0,0,1,0,1,0,1,0,0,A
Everton,Newcastle,Norwich,D,West Brom,D,Cardiff,D,Chelsea,H,West Ham,A,Man City,H,West Ham,D,Fulham,H,Aston Villa,A,Hull,A,15978.0,0,2,2,2,0,0,0,1,0,0,1,1,0,0,0,0,0,1,1,0,0,1,1,0,0,4,0,0,0,2,3,2,1,1,0,0,4,0,2,3,0,1,1,0,0,0,1,0,0,1,1,0,2,2,0,0,0,1,2,1,4,0,0,1,2,3,1,1,0,0,H
