home,away,Referee,time,hw,hd,hl,hscore,hconcede,HY,HR,hw2,hd2,hl2,hscore2,hconcede2,HY2,HR2,aw,ad,al,ascore,aconcede,AH,AR,aw2,ad2,al2,ascore2,aconcede2,AH2,AR2,y
QPR,Southampton,M Dean,15661.0,0.0,2.0,3.0,4.0,7.0,9.0,1.0,0.0,3.0,2.0,3.0,9.0,5.0,1.0,0.0,2.0,3.0,5.0,11.0,8.0,0.0,0.0,0.0,5.0,5.0,18.0,4.0,0.0,A
West Brom,Chelsea,M Oliver,15661.0,3.0,0.0,2.0,9.0,7.0,13.0,0.0,4.0,0.0,1.0,9.0,4.0,9.0,0.0,2.0,2.0,1.0,12.0,8.0,6.0,2.0,3.0,2.0,0.0,9.0,4.0,10.0,0.0,H
Reading,Everton,M Atkinson,15661.0,0.0,4.0,1.0,6.0,7.0,7.0,0.0,0.0,4.0,1.0,7.0,9.0,3.0,0.0,1.0,4.0,0.0,9.0,8.0,12.0,1.0,1.0,3.0,1.0,8.0,7.0,12.0,1.0,H
Norwich,Man United,A Taylor,15661.0,2.0,2.0,1.0,4.0,5.0,6.0,0.0,2.0,2.0,1.0,5.0,6.0,6.0,0.0,5.0,0.0,0.0,15.0,7.0,13.0,0.0,5.0,0.0,0.0,14.0,7.0,9.0,0.0,H
Liverpool,Wigan,K Friend,15661.0,1.0,4.0,0.0,5.0,4.0,7.0,0.0,1.0,2.0,2.0,3.0,5.0,4.0,1.0,2.0,1.0,2.0,7.0,7.0,10.0,0.0,2.0,0.0,3.0,4.0,7.0,11.0,1.0,H
Man City,Aston Villa,J Moss,15661.0,4.0,1.0,0.0,8.0,2.0,5.0,1.0,4.0,1.0,0.0,10.0,3.0,5.0,0.0,1.0,1.0,3.0,4.0,7.0,11.0,1.0,1.0,1.0,3.0,3.0,8.0,15.0,0.0,H
Newcastle,Swansea,P Dowd,15661.0,1.0,2.0,2.0,4.0,7.0,13.0,2.0,2.0,1.0,2.0,4.0,6.0,10.0,0.0,1.0,3.0,1.0,6.0,6.0,11.0,0.0,1.0,1.0,3.0,6.0,6.0,8.0,0.0,A
Arsenal,Tottenham,H Webb,15661.0,2.0,1.0,2.0,8.0,7.0,7.0,1.0,2.0,2.0,1.0,11.0,6.0,4.0,0.0,2.0,0.0,3.0,7.0,8.0,10.0,0.0,3.0,0.0,2.0,10.0,8.0,8.0,0.0,H
Fulham,Sunderland,L Probert,15662.0,1.0,4.0,0.0,11.0,10.0,7.0,0.0,3.0,1.0,1.0,12.0,4.0,4.0,0.0,0.0,2.0,3.0,2.0,7.0,10.0,0.0,0.0,3.0,2.0,4.0,8.0,10.0,0.0,A
West Ham,Stoke,C Foy,15663.0,2.0,1.0,2.0,7.0,6.0,12.0,0.0,2.0,2.0,1.0,9.0,5.0,8.0,0.0,1.0,2.0,2.0,3.0,5.0,16.0,0.0,0.0,2.0,3.0,4.0,8.0,15.0,0.0,D
Stoke,Fulham,M Oliver,15668.0,1.0,2.0,2.0,4.0,6.0,10.0,0.0,2.0,3.0,0.0,4.0,1.0,7.0,0.0,1.0,3.0,1.0,10.0,11.0,8.0,1.0,1.0,3.0,1.0,10.0,12.0,6.0,0.0,H
