0,1,2,3,4,5,6,7,8,9,10,11,12
英超,2012-05-13,西布朗,2-3,阿仙奴,2-2,贏[-0.5/1],大[3],單,,,●,
英超,2012-05-05,阿仙奴,3-3,諾域治,1-2,輸[-2/2.5],大[3.5],雙,,,●,
英超,2012-04-28,史篤城,1-1,阿仙奴,1-1,輸[-0.5],小[2.5],雙,,●,,
英超,2012-04-21,阿仙奴,0-0,車路士,0-0,輸[-0.5],小[2.5],雙,●,,,
英超,2012-04-17,阿仙奴,1-2,韋根,1-2,輸[-1.5/2],走[3],單,,●,,
英超,2012-04-12,狼隊,0-3,阿仙奴,0-2,贏[-1/1.5],走[3],單,,●,,
英超,2012-04-08,阿仙奴,1-0,曼城,0-0,贏[-0/0.5],小[2.5/3],單,●,,,
英超,2012-03-31,昆士柏流浪,2-1,阿仙奴,1-1,輸[-1],大[2.5/3],單,,●,,
英超,2012-03-24,阿仙奴,3-0,阿士東維拉,2-0,贏[-1.5],大[2.5/3],單,,●,,
英超,2012-03-22,愛華頓,0-1,阿仙奴,0-1,贏[-0/0.5],小[2.5],單,●,,,
英超,2012-03-13,阿仙奴,2-1,紐卡素,1-1,輸[-1/1.5],走[3],單,,●,,
冠軍盃,2012-03-07,阿仙奴,3-0,AC米蘭,3-0,贏[-0/0.5],大[2.5/3],單,,●,,
英超,2012-03-03,利物浦,1-2,阿仙奴,1-1,贏[+0.5],大[2.5],單,,●,,
英超,2012-02-26,阿仙奴,5-2,熱刺,2-2,贏[-0/0.5],大[2.5/3],單,,,,●
英足總盃,2012-02-19,新特蘭,2-0,阿仙奴,1-0,輸[-0/0.5],小[2.5],雙,,●,,
冠軍盃,2012-02-16,AC米蘭,4-0,阿仙奴,2-0,輸[+0.5],大[2/2.5],雙,,,●,
英超,2012-02-11,新特蘭,1-2,阿仙奴,0-0,贏[-0.5],大[2.5],單,,●,,
英超,2012-02-04,阿仙奴,7-1,布力般流浪,3-1,贏[-1.5],大[2.5/3],雙,,,,●
英超,2012-02-02,保頓,0-0,阿仙奴,0-0,輸[-0.5/1],小[2.5/3],雙,●,,,
英足總盃,2012-01-30,阿仙奴,3-2,阿士東維拉,0-2,走[-1],大[2.5/3],單,,,●,
英超,2012-01-23,阿仙奴,1-2,曼聯,0-1,輸[0],大[2.5/3],單,,●,,
英超,2012-01-16,史雲斯,3-2,阿仙奴,1-1,輸[-0.5],大[2.5],單,,,●,
英足總盃,2012-01-10,阿仙奴,1-0,列斯聯,0-0,輸[-1.5/2],小[3/3.5],單,●,,,
英超,2012-01-03,富咸,2-1,阿仙奴,0-1,輸[-0.5],大[2.5/3],單,,●,,
英超,2011-12-31,阿仙奴,1-0,昆士柏流浪,0-0,輸[-1.5/2],小[3/3.5],單,●,,,
英超,2011-12-27,阿仙奴,1-1,狼隊,1-1,輸[-1.5/2],小[3],雙,,●,,
英超,2011-12-22,阿士東維拉,1-2,阿仙奴,0-1,贏[-0.5/1],大[2.5],單,,●,,
英超,2011-12-19,曼城,1-0,阿仙奴,0-0,輸[+0.5/1],小[2.5/3],單,●,,,
英超,2011-12-10,阿仙奴,1-0,愛華頓,0-0,走[-1],小[2.5/3],單,●,,,
冠軍盃,2011-12-07,奧林比亞高斯,3-1,阿仙奴,2-0,輸[+0.5],大[2/2.5],雙,,,●,
英超,2011-12-03,韋根,0-4,阿仙奴,0-2,贏[-1],大[3],雙,,,●,
英聯賽盃,2011-11-30,阿仙奴,0-1,曼城,0-0,輸[+0/0.5],小[2.5/3],單,●,,,
英超,2011-11-27,阿仙奴,1-1,富咸,0-0,輸[-1],小[2.5/3],雙,,●,,
冠軍盃,2011-11-24,阿仙奴,2-1,多蒙特,0-0,贏[-0/0.5],大[2.5],單,,●,,
