0,1,2,3,4,5,6,7,8,9,10,11,12
英超,2012-05-13,諾域治,2-0,阿士東維拉,2-0,輸[+0/0.5],小[2.5/3],雙,,●,,
英超,2012-05-06,阿士東維拉,1-1,熱刺,1-0,贏[+0.5],小[2.5],雙,,●,,
英超,2012-04-28,西布朗,0-0,阿士東維拉,0-0,贏[+0.5],小[2.5],雙,●,,,
英超,2012-04-25,阿士東維拉,1-2,保頓,0-0,輸[-0.5],大[2.5],單,,●,,
英超,2012-04-21,阿士東維拉,0-0,新特蘭,0-0,輸[-0/0.5],小[2.5],雙,●,,,
英超,2012-04-15,曼聯,4-0,阿士東維拉,2-0,輸[+2],大[3],雙,,,●,
英超,2012-04-10,阿士東維拉,1-1,史篤城,1-0,輸[-0/0.5],小[2/2.5],雙,,●,,
英超,2012-04-07,利物浦,1-1,阿士東維拉,0-1,贏[+1/1.5],小[2.5/3],雙,,●,,
英超,2012-03-31,阿士東維拉,2-4,車路士,0-1,輸[+0.5/1],大[2.5],雙,,,●,
英超,2012-03-24,阿仙奴,3-0,阿士東維拉,2-0,輸[+1.5],大[2.5/3],單,,●,,
英超,2012-03-10,阿士東維拉,1-0,富咸,0-0,贏[0],小[2.5],單,●,,,
英超,2012-03-03,布力般流浪,1-1,阿士東維拉,0-1,贏[+0/0.5],小[2.5],雙,,●,,
英超,2012-02-25,韋根,0-0,阿士東維拉,0-0,走[0],小[2/2.5],雙,●,,,
英超,2012-02-13,阿士東維拉,0-1,曼城,0-0,輸[+0.5/1],小[2.5],單,●,,,
英超,2012-02-05,紐卡素,2-1,阿士東維拉,1-1,輸[+0.5],大[2.5],單,,●,,
英超,2012-02-02,阿士東維拉,2-2,昆士柏流浪,1-2,輸[-0.5],大[2.5],雙,,,●,
英足總盃,2012-01-30,阿仙奴,3-2,阿士東維拉,0-2,走[+1],大[2.5/3],單,,,●,
英超,2012-01-21,狼隊,2-3,阿士東維拉,2-1,贏[0],大[2/2.5],單,,,●,
英超,2012-01-14,阿士東維拉,1-1,愛華頓,0-0,輸[-0/0.5],小[2/2.5],雙,,●,,
英足總盃,2012-01-08,布里斯托流浪,1-3,阿士東維拉,0-1,贏[-1/1.5],大[2.5/3],雙,,,●,
英超,2012-01-02,阿士東維拉,0-2,史雲斯,0-1,輸[-0.5],小[2/2.5],雙,,●,,
英超,2011-12-31,車路士,1-3,阿士東維拉,1-1,贏[+1.5/2],大[3],雙,,,●,
英超,2011-12-27,史篤城,0-0,阿士東維拉,0-0,贏[+0.5],小[2.5],雙,●,,,
英超,2011-12-22,阿士東維拉,1-2,阿仙奴,0-1,輸[+0.5/1],大[2.5],單,,●,,
英超,2011-12-18,阿士東維拉,0-2,利物浦,0-2,輸[+0.5/1],小[2/2.5],雙,,●,,
英超,2011-12-10,保頓,1-2,阿士東維拉,0-2,贏[+0/0.5],大[2.5],單,,●,,
英超,2011-12-04,阿士東維拉,0-1,曼聯,0-1,輸[+0.5/1],小[2.5/3],單,●,,,
英超,2011-11-27,史雲斯,0-0,阿士東維拉,0-0,贏[+0/0.5],小[2.5],雙,●,,,
英超,2011-11-22,熱刺,2-0,阿士東維拉,2-0,輸[+1/1.5],小[3],雙,,●,,
英超,2011-11-05,阿士東維拉,3-2,諾域治,1-1,贏[-0.5],大[2.5],單,,,●,
英超,2011-10-29,新特蘭,2-2,阿士東維拉,1-1,贏[+0.5],大[2.5],雙,,,●,
英超,2011-10-22,阿士東維拉,1-2,西布朗,1-1,輸[-0.5],大[2.5],單,,●,,
英超,2011-10-15,曼城,4-1,阿士東維拉,1-0,輸[+1.5],大[2.5/3],單,,,●,
英超,2011-10-01,阿士東維拉,2-0,韋根,1-0,贏[-0.5/1],小[2.5],雙,,●,,
英超,2011-09-25,昆士柏流浪,1-1,阿士東維拉,0-0,贏[+0.5],小[2/2.5],雙,,●,,
英聯賽盃,2011-09-21,阿士東維拉,0-2,保頓,0-0,輸[-0.5],小[2.5/3],雙,,●,,
英超,2011-09-17,阿士東維拉,1-1,紐卡素,1-0,輸[-0.5],小[2.5],雙,,●,,
英超,2011-09-10,愛華頓,2-2,阿士東維拉,1-0,贏[+0.5],大[2.5],雙,,,●,
英超,2011-08-27,阿士東維拉,0-0,狼隊,0-0,輸[-0.5],小[2.5],雙,●,,,
英聯賽盃,2011-08-24,阿士東維拉,2-0,靴爾福特,0-0,走[-2],小[3/3.5],雙,,●,,
英超,2011-08-20,阿士東維拉,3-1,布力般流浪,2-0,贏[-0.5/1],大[2.5],雙,,,●,
