0,1,2,3,4,5,6,7,8,9,10,11,12
英超,2012-05-13,車路士,2-1,布力般流浪,2-0,贏[+1.5/2],小[3.5],單,,●,,
英超,2012-05-08,布力般流浪,0-1,韋根,0-0,輸[0],小[2.5/3],單,●,,,
英超,2012-04-29,熱刺,2-0,布力般流浪,1-0,輸[+1.5],小[3/3.5],雙,,●,,
英超,2012-04-21,布力般流浪,2-0,諾域治,1-0,贏[-0.5],小[2.5/3],雙,,●,,
英超,2012-04-14,史雲斯,3-0,布力般流浪,2-0,輸[+0.5],大[2.5],單,,●,,
英超,2012-04-11,布力般流浪,2-3,利物浦,1-2,輸[+0/0.5],大[2.5],單,,,●,
英超,2012-04-07,西布朗,3-0,布力般流浪,1-0,輸[+0.5],大[2.5],單,,●,,
英超,2012-04-03,布力般流浪,0-2,曼聯,0-0,輸[+1/1.5],小[3],雙,,●,,
英超,2012-03-24,保頓,2-1,布力般流浪,2-0,輸[0],大[2.5],單,,●,,
英超,2012-03-21,布力般流浪,2-0,新特蘭,0-0,贏[-0/0.5],小[2.5],雙,,●,,
英超,2012-03-10,狼隊,0-2,布力般流浪,0-1,贏[+0/0.5],小[2.5],雙,,●,,
英超,2012-03-03,布力般流浪,1-1,阿士東維拉,0-1,輸[-0/0.5],小[2.5],雙,,●,,
英超,2012-02-26,曼城,3-0,布力般流浪,1-0,輸[+2/2.5],小[3.5],單,,●,,
英超,2012-02-11,布力般流浪,3-2,昆士柏流浪,3-0,贏[-0/0.5],大[2.5],單,,,●,
英超,2012-02-04,阿仙奴,7-1,布力般流浪,3-1,輸[+1.5],大[2.5/3],雙,,,,●
英超,2012-02-02,布力般流浪,0-2,紐卡素,0-1,輸[-0/0.5],小[2.5],雙,,●,,
英超,2012-01-21,愛華頓,1-1,布力般流浪,1-0,贏[+1],小[2.5],雙,,●,,
英超,2012-01-14,布力般流浪,3-1,富咸,1-0,贏[+0/0.5],大[2.5],雙,,,●,
英足總盃,2012-01-07,紐卡素,2-1,布力般流浪,0-1,輸[+0.5/1],大[2.5],單,,●,,
英超,2012-01-02,布力般流浪,1-2,史篤城,0-2,輸[0],大[2.5],單,,●,,
英超,2011-12-31,曼聯,2-3,布力般流浪,0-1,贏[+2.5],大[3.5],單,,,●,
英超,2011-12-26,利物浦,1-1,布力般流浪,0-1,贏[+2],小[3],雙,,●,,
英超,2011-12-21,布力般流浪,1-2,保頓,0-2,輸[-0.5],大[2.5/3],單,,●,,
英超,2011-12-17,布力般流浪,1-2,西布朗,0-0,輸[-0/0.5],大[2.5/3],單,,●,,
英超,2011-12-11,新特蘭,2-1,布力般流浪,0-1,輸[+0.5],大[2.5],單,,●,,
英超,2011-12-03,布力般流浪,4-2,史雲斯,2-1,贏[-0.5],大[2.5],雙,,,●,
英聯賽盃,2011-11-30,卡迪夫城,2-0,布力般流浪,1-0,輸[+0.5],小[2.5/3],雙,,●,,
英超,2011-11-26,史篤城,3-1,布力般流浪,1-0,輸[+0.5],大[2.5],雙,,,●,
英超,2011-11-19,韋根,3-3,布力般流浪,2-1,贏[+0/0.5],大[2.5],雙,,,●,
英超,2011-11-05,布力般流浪,0-1,車路士,0-0,贏[+1/1.5],小[3],單,●,,,
英超,2011-10-29,諾域治,3-3,布力般流浪,0-1,贏[+0.5],大[2.5],雙,,,●,
英聯賽盃,2011-10-27,布力般流浪,2-2,紐卡素,1-0,贏[+0/0.5],大[2.5],雙,,,●,
英超,2011-10-23,布力般流浪,1-2,熱刺,1-1,輸[+0.5],大[2.5/3],單,,●,,
英超,2011-10-15,昆士柏流浪,1-1,布力般流浪,1-1,贏[+0.5],小[2.5],雙,,●,,
英超,2011-10-01,布力般流浪,0-4,曼城,0-0,輸[+1/1.5],大[2.5/3],雙,,,●,
英超,2011-09-24,紐卡素,3-1,布力般流浪,2-1,輸[+0.5],大[2.5],雙,,,●,
