0,1,2,3,4,5,6,7,8,9,10,11,12
英超,2012-05-13,史篤城,2-2,保頓,1-2,贏[+0.5],大[2.5],雙,,,●,
英超,2012-05-06,保頓,2-2,西布朗,1-0,輸[-0/0.5],大[2.5/3],雙,,,●,
英超,2012-05-03,保頓,1-4,熱刺,0-1,輸[+0.5],大[2.5/3],單,,,●,
英超,2012-04-28,新特蘭,2-2,保頓,1-1,贏[+0.5],大[2.5],雙,,,●,
英超,2012-04-25,阿士東維拉,1-2,保頓,0-0,贏[+0.5],大[2.5],單,,●,,
英超,2012-04-21,保頓,1-1,史雲斯,1-1,輸[-0/0.5],小[2.5],雙,,●,,
英超,2012-04-09,紐卡素,2-0,保頓,0-0,輸[+1],小[2.5/3],雙,,●,,
英超,2012-04-07,保頓,0-3,富咸,0-2,輸[0],大[2.5],單,,●,,
英超,2012-03-31,狼隊,2-3,保頓,0-0,贏[+0/0.5],大[2.5/3],單,,,●,
英足總盃,2012-03-28,熱刺,3-1,保頓,0-0,輸[+1.5],大[3.5],雙,,,●,
英超,2012-03-24,保頓,2-1,布力般流浪,2-0,贏[0],大[2.5],單,,●,,
英超,2012-03-10,保頓,2-1,昆士柏流浪,1-0,贏[-0/0.5],大[2.5],單,,●,,
英超,2012-03-03,曼城,2-0,保頓,1-0,贏[+2/2.5],小[3.5],雙,,●,,
英超,2012-02-25,車路士,3-0,保頓,0-0,輸[+1.5/2],走[3],單,,●,,
英足總盃,2012-02-18,米禾爾,0-2,保頓,0-1,贏[0],小[2.5],雙,,●,,
英超,2012-02-11,保頓,1-2,韋根,0-1,輸[-0.5],大[2.5],單,,●,,
英超,2012-02-04,諾域治,2-0,保頓,0-0,輸[+0.5],小[2.5/3],雙,,●,,
英超,2012-02-02,保頓,0-0,阿仙奴,0-0,贏[+0.5/1],小[2.5/3],雙,●,,,
英足總盃,2012-01-28,保頓,2-1,史雲斯,1-1,贏[-0.5],大[2.5],單,,●,,
英超,2012-01-22,保頓,3-1,利物浦,2-1,贏[+1],大[2.5],雙,,,●,
英足總盃,2012-01-18,保頓,2-0,馬格斯菲特,2-0,贏[-1.5/2],小[3],雙,,●,,
英超,2012-01-14,曼聯,3-0,保頓,1-0,輸[+2/2.5],小[3.5],單,,●,,
英足總盃,2012-01-07,馬格斯菲特,2-2,保頓,1-1,輸[-1/1.5],大[2.5],雙,,,●,
英超,2012-01-05,愛華頓,1-2,保頓,0-0,贏[+1/1.5],大[2.5/3],單,,●,,
英超,2011-12-31,保頓,1-1,狼隊,1-0,輸[-0/0.5],小[2.5/3],雙,,●,,
英超,2011-12-26,保頓,0-2,紐卡素,0-0,輸[0],小[2.5/3],雙,,●,,
英超,2011-12-21,布力般流浪,1-2,保頓,0-2,贏[+0.5],大[2.5/3],單,,●,,
英超,2011-12-17,富咸,2-0,保頓,2-0,輸[+0.5/1],小[2.5],雙,,●,,
英超,2011-12-10,保頓,1-2,阿士東維拉,0-2,輸[-0/0.5],大[2.5],單,,●,,
英超,2011-12-03,熱刺,3-0,保頓,1-0,輸[+1.5/2],小[3/3.5],單,,●,,
英超,2011-11-26,保頓,0-2,愛華頓,0-0,輸[+0/0.5],小[2.5],雙,,●,,
英超,2011-11-19,西布朗,2-1,保頓,1-1,輸[+0.5],大[2.5],單,,●,,
英超,2011-11-06,保頓,5-0,史篤城,2-0,贏[0],大[2.5],單,,,●,
英超,2011-10-29,史雲斯,3-1,保頓,0-0,輸[+0.5],大[2.5],雙,,,●,
英聯賽盃,2011-10-26,阿仙奴,2-1,保頓,0-0,走[+1],走[3],單,,●,,
英超,2011-10-22,保頓,0-2,新特蘭,0-0,輸[-0/0.5],小[2.5],雙,,●,,
英超,2011-10-15,韋根,1-3,保頓,1-2,贏[+0/0.5],大[2.5],雙,,,●,
英超,2011-10-02,保頓,1-5,車路士,0-4,輸[+1/1.5],大[2.5/3],雙,,,●,
英超,2011-09-24,阿仙奴,3-0,保頓,0-0,輸[+1.5],走[3],單,,●,,
英聯賽盃,2011-09-21,阿士東維拉,0-2,保頓,0-0,贏[+0.5],小[2.5/3],雙,,●,,
英超,2011-09-17,保頓,1-2,諾域治,0-2,輸[-0.5],大[2.5],單,,●,,
英超,2011-09-11,保頓,0-5,曼聯,0-3,輸[+1/1.5],大[3/3.5],單,,,●,
英超,2011-08-28,利物浦,3-1,保頓,1-0,輸[+1/1.5],大[2.5/3],雙,,,●,
英聯賽盃,2011-08-25,保頓,2-1,馬格斯菲特,0-1,輸[-1.5],走[3],單,,●,,
英超,2011-08-21,保頓,2-3,曼城,1-2,輸[+0.5/1],大[2.5/3],單,,,●,
英超,2011-08-13,昆士柏流浪,0-4,保頓,0-1,贏[+0/0.5],大[2/2.5],雙,,,●,
友誼賽,2011-08-06,保頓,0-1,利雲特,0-0,贏[-0.5],小[2.5],單,●,,,
友誼賽,2011-08-02,靴爾福特,0-3,保頓,0-1,贏[-0.5/1],大[2.5/3],單,,●,,
友誼賽,2011-07-30,紐波特郡,1-3,保頓,1-3,贏[-1.5],大[3],雙,,,●,
友誼賽,2011-07-28,貝利,0-2,保頓,0-1,贏[-1],小[2.5/3],雙,,●,,
友誼賽,2011-07-24,巴拉福特,1-4,保頓,0-1,贏[-0.5/1],大[2.5],單,,,●,
友誼賽,2011-07-21,侯斯頓戴拿模,0-2,保頓,0-1,贏[-0/0.5],小[2.5/3],雙,,●,,
勝 平 負,,,,,,,,,,,,
英冠,2013-05-04,保頓,2-2,黑池,2-2,輸[-0.5/1],大[2.5/3],雙,,,●,
英冠,2013-04-27,卡迪夫城,1-1,保頓,0-1,贏[+0.5],小[2.5],雙,,●,,
英冠,2013-04-20,保頓,2-1,米杜士堡,0-0,贏[-0.5/1],大[2.5],單,,●,,
英冠,2013-04-17,李斯特城,3-2,保頓,2-1,輸[+0.5],大[2.5],單,,,●,
英冠,2013-04-13,布里斯托城,1-2,保頓,0-1,贏[0],大[2.5],單,,●,,
英冠,2013-04-06,保頓,2-0,狼隊,2-0,贏[-0.5],小[2.5],雙,,●,,
英冠,2013-04-03,保頓,1-0,哈德斯菲爾德,0-0,贏[-0.5],小[2.5],單,●,,,
英冠,2013-03-30,查爾頓,3-2,保頓,1-2,輸[0],大[2.5],單,,,●,
英冠,2013-03-16,葉士域治,1-0,保頓,0-0,輸[+0/0.5],小[2.5],單,●,,,
英冠,2013-03-09,保頓,1-0,白禮頓,1-0,贏[-0/0.5],小[2.5],單,●,,,
