0,1,2,3,4,5,6,7,8,9,10,11,12
英甲,2012-05-05,般尼茅夫,1-0,普雷斯頓,0-0,贏[-0.5],小[2/2.5],單,●,,,
英甲,2012-04-28,斯肯索普,1-1,般尼茅夫,0-1,贏[+0/0.5],小[2/2.5],雙,,●,,
英甲,2012-04-21,般尼茅夫,1-1,高車士打,1-0,輸[-0.5],小[2.5],雙,,●,,
英甲,2012-04-14,貝利,1-0,般尼茅夫,1-0,輸[0],小[2.5],單,●,,,
英甲,2012-04-09,般尼茅夫,2-0,哈德斯菲爾德,0-0,贏[+0/0.5],小[2.5],雙,,●,,
英甲,2012-04-07,錫菲聯,2-1,般尼茅夫,1-0,輸[+0.5/1],大[2.5],單,,●,,
英甲,2012-03-31,般尼茅夫,0-0,伊奧華,0-0,輸[-0.5],小[2.5],雙,●,,,
英甲,2012-03-28,史提芬納治,2-2,般尼茅夫,2-2,贏[+0.5],大[2/2.5],雙,,,●,
英甲,2012-03-24,奧咸,1-0,般尼茅夫,0-0,輸[0],小[2.5],單,●,,,
英甲,2012-03-21,般尼茅夫,1-0,賓福特,1-0,贏[-0/0.5],小[2/2.5],單,●,,,
英甲,2012-03-17,般尼茅夫,1-1,卡素爾,0-1,輸[-0/0.5],小[2.5],雙,,●,,
英甲,2012-03-10,錫周三,3-0,般尼茅夫,3-0,輸[+0.5/1],大[2.5],單,,●,,
英甲,2012-03-03,般尼茅夫,0-1,查爾頓,0-0,輸[+0/0.5],小[2.5],單,●,,,
英甲,2012-02-25,般尼茅夫,0-1,米爾頓凱恩斯,0-1,輸[0],小[2.5],單,●,,,
英甲,2012-02-18,羅奇代爾,1-0,般尼茅夫,0-0,輸[-0/0.5],小[2.5],單,●,,,
英甲,2012-02-15,般尼茅夫,1-2,奧連特,1-1,輸[-0.5],大[2.5],單,,●,,
英甲,2012-02-11,哈特爾浦,0-0,般尼茅夫,0-0,走[0],小[2.5],雙,●,,,
英甲,2012-02-08,般尼茅夫,2-0,埃克塞特,0-0,贏[-1],小[2.5],雙,,●,,
英甲,2012-01-28,車士打菲特,1-0,般尼茅夫,0-0,輸[-0/0.5],小[2.5],單,●,,,
英甲,2012-01-21,般尼茅夫,2-1,燦美爾,2-1,贏[-0.5],大[2.5],單,,●,,
英甲,2012-01-14,般尼茅夫,2-1,諾士郡,1-1,贏[-0.5],大[2.5],單,,●,,
英甲,2012-01-07,華素爾,2-2,般尼茅夫,2-0,走[0],大[2.5],雙,,,●,
英甲,2012-01-02,般尼茅夫,2-0,韋甘比,1-0,贏[-0.5],小[2.5],雙,,●,,
英甲,2011-12-31,伊奧華,1-3,般尼茅夫,0-2,贏[0],大[2/2.5],雙,,,●,
英甲,2011-12-26,賓福特,1-1,般尼茅夫,0-1,贏[+0.5],小[2.5],雙,,●,,
英甲,2011-12-17,般尼茅夫,0-2,錫菲聯,0-1,輸[+0/0.5],小[2.5],雙,,●,,
英甲,2011-12-10,哈德斯菲爾德,0-1,般尼茅夫,0-1,贏[+0.5/1],小[2.5/3],單,●,,,
英甲,2011-11-26,般尼茅夫,0-0,奧咸,0-0,輸[-0/0.5],小[2.5/3],雙,●,,,
英足總盃,2011-11-23,基寧咸,3-2,般尼茅夫,1-0,輸[0],大[2.5/3],單,,,●,
英甲,2011-11-19,韋甘比,0-1,般尼茅夫,0-1,贏[0],小[2.5],單,●,,,
英足總盃,2011-11-12,般尼茅夫,3-3,基寧咸,1-1,輸[-0.5],大[2.5/3],雙,,,●,
英錦賽,2011-11-09,賓福特,6-0,般尼茅夫,2-0,輸[+0.5],大[2.5],雙,,,●,
英甲,2011-11-05,般尼茅夫,2-0,斯肯索普,1-0,贏[-0/0.5],小[2.5/3],雙,,●,,
英甲,2011-10-29,普雷斯頓,1-3,般尼茅夫,1-0,贏[+0.5],大[2.5/3],雙,,,●,
英甲,2011-10-26,高車士打,1-1,般尼茅夫,0-1,贏[+0.5],小[2.5],雙,,●,,
英甲,2011-10-22,般尼茅夫,1-2,貝利,1-1,輸[-0/0.5],大[2.5],單,,●,,
英甲,2011-10-15,米爾頓凱恩斯,2-2,般尼茅夫,1-0,贏[+0.5/1],大[2.5],雙,,,●,
英甲,2011-10-08,般尼茅夫,1-1,羅奇代爾,0-1,輸[-0.5],小[2.5],雙,,●,,
英錦賽,2011-10-05,般尼茅夫,3-2,伊奧華,3-0,贏[-0.5],大[2.5],單,,,●,
英甲,2011-10-01,燦美爾,0-0,般尼茅夫,0-0,贏[+0/0.5],小[2.5],雙,●,,,
英甲,2011-09-24,般尼茅夫,1-2,哈特爾浦,1-1,輸[0],大[2.5],單,,●,,
英甲,2011-09-17,埃克塞特,0-2,般尼茅夫,0-1,贏[+0/0.5],小[2.5],雙,,●,,
英甲,2011-09-14,奧連特,1-3,般尼茅夫,1-1,贏[+0/0.5],大[2.5],雙,,,●,
英甲,2011-09-10,般尼茅夫,0-3,車士打菲特,0-1,輸[-0.5],大[2.5],單,,●,,
英甲,2011-09-03,諾士郡,3-1,般尼茅夫,1-0,輸[+0.5],大[2.5],雙,,,●,
英錦賽,2011-08-31,般尼茅夫,4-1,靴爾福特,1-1,贏[-0.5/1],大[2.5],單,,,●,
英甲,2011-08-27,般尼茅夫,0-2,華素爾,0-1,輸[-0.5],小[2.5],雙,,●,,
英聯賽盃,2011-08-24,般尼茅夫,1-4,西布朗,0-2,輸[+0.5],大[2.5],單,,,●,
英甲,2011-08-20,卡素爾,2-1,般尼茅夫,0-0,輸[+0/0.5],大[2.5],單,,●,,
英甲,2011-08-17,般尼茅夫,1-3,史提芬納治,0-1,輸[-0.5],大[2.5],雙,,,●,
英甲,2011-08-13,般尼茅夫,2-0,錫周三,1-0,贏[-0/0.5],小[2.5],雙,,●,,
英聯賽盃,2011-08-10,般尼茅夫,5-0,達根咸,2-0,贏[-0.5/1],大[2.5],單,,,●,
英甲,2011-08-06,查爾頓,3-0,般尼茅夫,1-0,輸[+0.5],大[2.5],單,,●,,
友誼賽,2011-08-02,多車士打,0-1,般尼茅夫,0-0,贏[+0/0.5],小[2.5],單,●,,,
友誼賽,2011-07-30,般尼茅夫,3-1,水晶宮,0-0,贏[+0/0.5],大[2.5],雙,,,●,
友誼賽,2011-07-23,般尼茅夫,2-1,卡迪夫城,1-0,贏[+0.5],大[2.5],單,,●,,
友誼賽,2011-07-17,般尼茅夫,0-2,沙貝魯根,0-1,輸[0],小[2.5/3],雙,,●,,
友誼賽,2011-07-16,般尼茅夫,1-1,格倫霍德爾學院,1-1,-,小[2.5],雙,,●,,
勝 平 負,,,,,,,,,,,,
英甲,2013-04-27,燦美爾,0-0,般尼茅夫,0-0,輸[-0.5/1],小[2.5],雙,●,,,
英甲,2013-04-20,般尼茅夫,3-1,卡素爾,1-0,贏[-1/1.5],大[2.5/3],雙,,,●,
英甲,2013-04-13,梳士貝利,0-3,般尼茅夫,0-1,贏[-0.5],大[2.5],單,,●,,
英甲,2013-04-06,般尼茅夫,3-1,諾士郡,2-1,贏[-1],大[2.5],雙,,,●,
英甲,2013-04-01,般尼茅夫,1-0,斯肯索普,1-0,走[-1],小[2.5],單,●,,,
英甲,2013-03-29,高車士打,0-1,般尼茅夫,0-1,贏[-0/0.5],小[2.5],單,●,,,
英甲,2013-03-23,般尼茅夫,4-1,貝利,1-1,贏[-1],大[2.5],單,,,●,
英甲,2013-03-16,奧咸,0-1,般尼茅夫,0-1,贏[0],小[2.5],單,●,,,
英甲,2013-03-13,史提芬納治,0-1,般尼茅夫,0-1,贏[-0/0.5],小[2.5],單,●,,,
英甲,2013-03-09,般尼茅夫,1-2,唐卡士打,0-0,輸[-0/0.5],大[2.5],單,,●,,
英甲,2013-03-02,奧連特,3-1,般尼茅夫,1-0,輸[-0/0.5],大[2.5],雙,,,●,
英甲,2013-02-27,般尼茅夫,0-2,高雲地利,0-1,輸[-0.5],小[2.5/3],雙,,●,,
英甲,2013-02-23,般尼茅夫,0-1,錫菲聯,0-1,輸[-0/0.5],小[2.5],單,●,,,
英甲,2013-02-16,普雷斯頓,2-0,般尼茅夫,2-0,輸[-0/0.5],小[2.5],雙,,●,,
英甲,2013-02-13,克魯,1-2,般尼茅夫,0-0,贏[-0/0.5],大[2.5],單,,●,,
英甲,2013-02-09,般尼茅夫,2-0,樸茨茅夫,0-0,贏[-1.5/2],小[3],雙,,●,,
英甲,2013-02-02,米爾頓凱恩斯,0-3,般尼茅夫,0-2,贏[+0/0.5],大[2.5],單,,●,,
英甲,2013-01-26,般尼茅夫,3-1,克魯,1-0,贏[-0.5/1],大[2.5],雙,,,●,
英甲,2013-01-23,哈特爾浦,1-2,般尼茅夫,0-1,贏[-0.5],大[2.5],單,,●,,
英甲,2013-01-19,華素爾,3-1,般尼茅夫,2-0,輸[-0/0.5],大[2.5],雙,,,●,
英足總盃,2013-01-16,般尼茅夫,0-1,韋根,0-1,輸[+0/0.5],小[2.5],單,●,,,
英甲,2013-01-12,般尼茅夫,1-1,史雲頓,1-0,走[0],小[2/2.5],雙,,●,,
英足總盃,2013-01-05,韋根,1-1,般尼茅夫,0-1,贏[+0.5],小[2.5/3],雙,,●,,
英甲,2013-01-01,賓福特,0-0,般尼茅夫,0-0,贏[+0/0.5],小[2.5],雙,●,,,
英甲,2012-12-29,般尼茅夫,3-0,卡維尼,2-0,贏[-0.5/1],大[2.5],單,,●,,
英甲,2012-12-26,般尼茅夫,3-0,伊奧華,1-0,贏[-0.5/1],大[2.5/3],單,,●,,
英甲,2012-12-15,般尼茅夫,1-0,高車士打,1-0,走[-1],小[2.5/3],單,●,,,
英甲,2012-12-08,斯肯索普,1-2,般尼茅夫,0-2,贏[-0/0.5],大[2.5/3],單,,●,,
英足總盃,2012-12-01,卡素爾,1-3,般尼茅夫,0-2,贏[-0/0.5],大[2.5/3],雙,,,●,
英甲,2012-11-24,貝利,2-2,般尼茅夫,1-0,輸[-0/0.5],大[2.5],雙,,,●,
英甲,2012-11-21,般尼茅夫,1-1,史提芬納治,0-1,輸[-0.5],小[2.5/3],雙,,●,,
英甲,2012-11-17,般尼茅夫,4-1,奧咸,0-0,贏[-0.5/1],大[2.5],單,,,●,
英甲,2012-11-10,唐卡士打,0-1,般尼茅夫,0-1,贏[0],小[2.5],單,●,,,
英甲,2012-11-07,般尼茅夫,2-1,梳士貝利,2-1,贏[-0.5/1],大[2.5],單,,●,,
英足總盃,2012-11-03,般尼茅夫,4-0,達根咸,1-0,贏[-1],大[2.5/3],雙,,,●,
英甲,2012-10-27,卡素爾,2-4,般尼茅夫,1-2,贏[0],大[2.5],雙,,,●,
英甲,2012-10-24,諾士郡,3-3,般尼茅夫,2-0,贏[+0/0.5],大[2.5],雙,,,●,
英甲,2012-10-20,般尼茅夫,3-1,燦美爾,0-1,贏[-0/0.5],大[2.5/3],雙,,,●,
英甲,2012-10-13,般尼茅夫,2-0,奧連特,0-0,贏[-0.5],小[2.5],雙,,●,,
英甲,2012-10-06,高雲地利,1-0,般尼茅夫,0-0,輸[+0/0.5],小[2.5],單,●,,,
英甲,2012-10-03,卡維尼,3-1,般尼茅夫,2-0,輸[-0/0.5],大[2.5],雙,,,●,
英甲,2012-09-29,般尼茅夫,1-2,華素爾,0-1,輸[-0.5],大[2/2.5],單,,●,,
英甲,2012-09-22,史雲頓,4-0,般尼茅夫,2-0,輸[+0.5],大[2.5],雙,,,●,
英甲,2012-09-19,般尼茅夫,2-2,賓福特,2-1,輸[-0/0.5],大[2/2.5],雙,,,●,
英甲,2012-09-15,般尼茅夫,1-1,哈特爾浦,0-0,輸[-0.5/1],小[2.5],雙,,●,,
英甲,2012-09-08,伊奧華,0-1,般尼茅夫,0-1,贏[+0/0.5],小[2.5],單,●,,,
英錦賽,2012-09-05,樸茨茅夫,2-2,般尼茅夫,1-1,走[0],大[2.5],雙,,,●,
英甲,2012-09-01,錫菲聯,5-3,般尼茅夫,3-1,輸[+0.5/1],大[2.5],雙,,,,●
英甲,2012-08-25,般尼茅夫,1-1,普雷斯頓,0-0,輸[-0.5],小[2.5],雙,,●,,
英甲,2012-08-22,般尼茅夫,1-1,米爾頓凱恩斯,1-0,走[0],小[2.5],雙,,●,,
英甲,2012-08-18,樸茨茅夫,1-1,般尼茅夫,1-0,輸[-0/0.5],小[2/2.5],雙,,●,,
