0,1,2,3,4,5,6,7,8,9,10,11,12
英冠,2012-04-28,屈福特,2-1,米杜士堡,0-0,贏[0],大[2.5],單,,●,,
英冠,2012-04-21,彼德堡,2-2,屈福特,1-1,贏[+0/0.5],大[2.5/3],雙,,,●,
英冠,2012-04-18,白禮頓,2-2,屈福特,0-2,贏[+0/0.5],大[2/2.5],雙,,,●,
英冠,2012-04-14,屈福特,1-1,侯城,1-1,輸[-0/0.5],小[2/2.5],雙,,●,,
英冠,2012-04-09,卡迪夫城,1-1,屈福特,1-0,贏[+0.5/1],小[2.5],雙,,●,,
英冠,2012-04-06,屈福特,0-2,黑池,0-1,輸[0],小[2.5/3],雙,,●,,
英冠,2012-03-31,列斯聯,0-2,屈福特,0-1,贏[+0.5],小[2.5],雙,,●,,
英冠,2012-03-24,屈福特,2-1,葉士域治,0-1,贏[-0/0.5],大[2.5/3],單,,●,,
英冠,2012-03-21,布里斯托城,0-2,屈福特,0-2,贏[+0/0.5],小[2.5],雙,,●,,
英冠,2012-03-17,屈福特,0-0,高雲地利,0-0,輸[-0.5],小[2.5],雙,●,,,
英冠,2012-03-10,打比郡,1-2,屈福特,1-2,贏[+0/0.5],大[2.5],單,,●,,
英冠,2012-03-08,韋斯咸,1-1,屈福特,0-0,贏[+1/1.5],小[2.5],雙,,●,,
英冠,2012-03-03,屈福特,3-2,般尼,0-1,贏[-0/0.5],大[2.5],單,,,●,
英冠,2012-02-25,屈福特,0-3,修咸頓,0-2,輸[+0.5],大[2.5],單,,●,,
英冠,2012-02-18,水晶宮,4-0,屈福特,2-0,輸[+0/0.5],大[2/2.5],雙,,,●,
英冠,2012-02-15,屈福特,3-2,李斯特城,2-2,贏[+0/0.5],大[2/2.5],單,,,●,
英冠,2012-02-11,諾定咸森林,1-1,屈福特,1-1,贏[+0.5],小[2.5],雙,,●,,
英冠,2012-02-04,屈福特,2-1,班士利,1-0,贏[-0/0.5],大[2.5],單,,●,,
英冠,2012-02-01,米禾爾,0-2,屈福特,0-1,贏[+0.5],小[2/2.5],雙,,●,,
英足總盃,2012-01-28,屈福特,0-1,熱刺,0-1,贏[+1.5],小[2.5/3],單,●,,,
英冠,2012-01-21,伯明翰,3-0,屈福特,1-0,輸[+0.5/1],大[2.5],單,,●,,
英冠,2012-01-15,屈福特,1-2,雷丁,1-1,輸[0],大[2/2.5],單,,●,,
英足總盃,2012-01-07,屈福特,4-2,巴拉福特,2-1,贏[-1/1.5],大[2.5/3],雙,,,●,
英冠,2012-01-02,樸茨茅夫,2-0,屈福特,0-0,輸[+0/0.5],小[2/2.5],雙,,●,,
英冠,2011-12-31,屈福特,4-1,唐卡士打,1-0,贏[-0.5/1],大[2/2.5],單,,,●,
英冠,2011-12-26,屈福特,1-1,卡迪夫城,0-0,走[0],小[2/2.5],雙,,●,,
英冠,2011-12-17,黑池,0-0,屈福特,0-0,贏[+0.5],小[2.5],雙,●,,,
英冠,2011-12-10,屈福特,1-1,列斯聯,1-0,輸[-0/0.5],小[2.5],雙,,●,,
英冠,2011-12-03,葉士域治,1-2,屈福特,1-0,贏[+0/0.5],大[2.5/3],單,,●,,
英冠,2011-11-30,屈福特,2-2,布里斯托城,2-1,輸[-0/0.5],大[2.5],雙,,,●,
英冠,2011-11-26,唐卡士打,0-0,屈福特,0-0,贏[+0/0.5],小[2.5],雙,●,,,
英冠,2011-11-19,屈福特,2-0,樸茨茅夫,2-0,贏[-0/0.5],小[2.5],雙,,●,,
英冠,2011-11-06,米杜士堡,1-0,屈福特,1-0,輸[+0.5/1],小[2.5],單,●,,,
英冠,2011-11-02,屈福特,1-0,白禮頓,0-0,贏[0],小[2.5],單,●,,,
英冠,2011-10-29,屈福特,3-2,彼德堡,3-2,贏[-0/0.5],大[3],單,,,●,
英冠,2011-10-22,侯城,3-2,屈福特,0-1,輸[+0.5],大[2/2.5],單,,,●,
英冠,2011-10-20,李斯特城,2-0,屈福特,2-0,輸[+1],小[2.5/3],雙,,●,,
英冠,2011-10-15,屈福特,0-2,水晶宮,0-0,輸[-0/0.5],小[2.5],雙,,●,,
英冠,2011-10-01,修咸頓,4-0,屈福特,1-0,輸[+0.5/1],大[3],雙,,,●,
英冠,2011-09-28,屈福特,2-1,米禾爾,0-0,贏[-0/0.5],大[2.5],單,,●,,
英冠,2011-09-25,屈福特,0-1,諾定咸森林,0-0,輸[0],小[2.5],單,●,,,
英冠,2011-09-17,班士利,1-1,屈福特,0-1,贏[+0/0.5],小[2.5],雙,,●,,
英冠,2011-09-10,雷丁,0-2,屈福特,0-1,贏[+1],小[2.5],雙,,●,,
英冠,2011-08-28,屈福特,2-2,伯明翰,0-1,輸[-0/0.5],大[2.5],雙,,,●,
英聯賽盃,2011-08-24,布里斯托流浪,1-1,屈福特,1-1,輸[-0/0.5],小[2.5],雙,,●,,
英冠,2011-08-20,高雲地利,0-0,屈福特,0-0,走[0],小[2.5],雙,●,,,
英冠,2011-08-17,屈福特,0-4,韋斯咸,0-2,輸[+0/0.5],大[2.5],雙,,,●,
英冠,2011-08-13,屈福特,0-1,打比郡,0-0,輸[-0.5/1],小[2.5/3],單,●,,,
英冠,2011-08-06,般尼,2-2,屈福特,0-1,贏[+0.5],大[2.5/3],雙,,,●,
友誼賽,2011-07-30,高車士打,1-0,屈福特,1-0,輸[-0/0.5],小[2.5],單,●,,,
友誼賽,2011-07-27,賓福特,0-0,屈福特,0-0,走[0],小[2.5],雙,●,,,
友誼賽,2011-07-23,AFC溫布頓,2-1,屈福特,1-1,輸[-0.5],大[2.5/3],單,,●,,
友誼賽,2011-07-20,石威德,1-3,屈福特,0-2,贏[-1/1.5],大[3],雙,,,●,
友誼賽,2011-07-09,伯瑞漢姆,2-2,屈福特,2-1,輸[-1/1.5],大[3],雙,,,●,
勝 平 負,,,,,,,,,,,,
英冠附,2013-05-27,水晶宮,0-0,屈福特,0-0,輸[-0/0.5],小[2.5],雙,●,,,
英冠附,2013-05-12,屈福特,3-1,李斯特城,1-1,贏[-0.5],大[2.5/3],雙,,,●,
英冠附,2013-05-10,李斯特城,1-0,屈福特,0-0,輸[+0/0.5],小[2.5],單,●,,,
英冠,2013-05-04,屈福特,1-2,列斯聯,1-1,輸[-1],走[3],單,,●,,
英冠,2013-04-27,李斯特城,1-2,屈福特,0-2,贏[+0/0.5],大[2.5/3],單,,●,,
英冠,2013-04-20,屈福特,4-0,布力般流浪,0-0,贏[-0.5],大[2.5],雙,,,●,
英冠,2013-04-17,米禾爾,1-0,屈福特,0-0,輸[-0/0.5],小[2.5],單,●,,,
英冠,2013-04-13,彼德堡,3-2,屈福特,1-0,輸[0],大[2.5/3],單,,,●,
英冠,2013-04-07,屈福特,0-0,卡迪夫城,0-0,輸[-0/0.5],小[2.5],雙,●,,,
英冠,2013-04-03,侯城,0-1,屈福特,0-1,贏[+0.5],小[2.5],單,●,,,
