0,1,2,3,4,5,6,7,8,9,10,11,12
英冠附,2012-05-07,韋斯咸,3-0,卡迪夫城,2-0,輸[+0.5/1],大[2.5],單,,●,,
英冠附,2012-05-04,卡迪夫城,0-2,韋斯咸,0-2,輸[0],小[2/2.5],雙,,●,,
英冠,2012-04-28,水晶宮,1-2,卡迪夫城,1-0,贏[-0/0.5],大[2/2.5],單,,●,,
英冠,2012-04-21,卡迪夫城,1-1,列斯聯,1-0,輸[-0.5],小[2.5],雙,,●,,
英冠,2012-04-18,卡迪夫城,2-0,打比郡,1-0,贏[-0.5/1],小[2.5],雙,,●,,
英冠,2012-04-14,班士利,0-1,卡迪夫城,0-0,贏[-0.5],小[2.5],單,●,,,
英冠,2012-04-09,卡迪夫城,1-1,屈福特,1-0,輸[-0.5/1],小[2.5],雙,,●,,
英冠,2012-04-07,米杜士堡,0-2,卡迪夫城,0-2,贏[+0/0.5],小[2/2.5],雙,,●,,
英冠,2012-03-31,卡迪夫城,0-0,米禾爾,0-0,輸[-0.5],小[2.5],雙,●,,,
英冠,2012-03-25,伯明翰,1-1,卡迪夫城,0-0,贏[+0.5],小[2.5],雙,,●,,
英冠,2012-03-22,卡迪夫城,2-2,高雲地利,1-0,輸[-0.5/1],大[2.5],雙,,,●,
英冠,2012-03-18,卡迪夫城,0-0,般尼,0-0,輸[-0/0.5],小[1/1.5],雙,●,,,
英冠,2012-03-14,卡迪夫城,0-3,侯城,0-1,輸[-0.5],大[2/2.5],單,,●,,
英冠,2012-03-11,布里斯托城,1-2,卡迪夫城,0-1,贏[-0/0.5],大[2/2.5],單,,●,,
英冠,2012-03-08,白禮頓,2-2,卡迪夫城,0-0,走[0],大[2/2.5],雙,,,●,
英冠,2012-03-04,卡迪夫城,0-2,韋斯咸,0-1,輸[0],小[2/2.5],雙,,●,,
英聯賽盃,2012-02-27,卡迪夫城,1-1,利物浦,1-0,贏[+1.5],小[2.5],雙,,●,,
英冠,2012-02-18,葉士域治,3-0,卡迪夫城,1-0,輸[+0/0.5],大[2.5],單,,●,,
英冠,2012-02-15,卡迪夫城,3-1,彼德堡,3-0,贏[-1],大[2.5/3],雙,,,●,
英冠,2012-02-11,李斯特城,2-1,卡迪夫城,1-0,輸[+0.5],大[2/2.5],單,,●,,
英冠,2012-02-04,卡迪夫城,1-3,黑池,0-0,輸[-0.5],大[2.5/3],雙,,,●,
英冠,2012-02-01,修咸頓,1-1,卡迪夫城,0-1,贏[+0.5],小[2.5],雙,,●,,
英聯賽盃,2012-01-25,卡迪夫城,1-0,水晶宮,1-0,贏[-0.5/1],小[2/2.5],單,●,,,
英冠,2012-01-21,卡迪夫城,3-2,樸茨茅夫,1-1,贏[-0.5/1],大[2/2.5],單,,,●,
英冠,2012-01-14,唐卡士打,0-0,卡迪夫城,0-0,輸[-0.5],小[2.5],雙,●,,,
英聯賽盃,2012-01-11,水晶宮,1-0,卡迪夫城,1-0,輸[-0/0.5],小[2/2.5],單,●,,,
英足總盃,2012-01-07,西布朗,4-2,卡迪夫城,2-1,輸[+0.5/1],大[2.5],雙,,,●,
英冠,2012-01-02,卡迪夫城,3-1,雷丁,3-1,贏[-0/0.5],大[2.5],雙,,,●,
英冠,2011-12-31,諾定咸森林,0-1,卡迪夫城,0-0,贏[+0/0.5],小[2/2.5],單,●,,,
英冠,2011-12-26,屈福特,1-1,卡迪夫城,0-0,走[0],小[2/2.5],雙,,●,,
英冠,2011-12-17,卡迪夫城,2-3,米杜士堡,2-1,輸[-0.5],大[2/2.5],單,,,●,
英冠,2011-12-10,米禾爾,0-0,卡迪夫城,0-0,走[0],小[2/2.5],雙,●,,,
英冠,2011-12-04,卡迪夫城,1-0,伯明翰,0-0,贏[-0.5],小[2.5],單,●,,,
英聯賽盃,2011-11-30,卡迪夫城,2-0,布力般流浪,1-0,贏[-0.5],小[2.5/3],雙,,●,,
英冠,2011-11-26,卡迪夫城,1-0,諾定咸森林,0-0,贏[-0.5],小[2.5],單,●,,,
英冠,2011-11-23,高雲地利,1-1,卡迪夫城,0-0,輸[-0.5],小[2.5],雙,,●,,
英冠,2011-11-19,雷丁,1-2,卡迪夫城,0-1,贏[+0/0.5],大[2.5],單,,●,,
英冠,2011-11-05,卡迪夫城,2-0,水晶宮,0-0,贏[-0.5],小[2.5],雙,,●,,
英冠,2011-11-03,打比郡,0-3,卡迪夫城,0-1,贏[-0/0.5],大[2.5],單,,●,,
英冠,2011-10-30,列斯聯,1-1,卡迪夫城,0-1,贏[+0/0.5],小[2.5/3],雙,,●,,
英聯賽盃,2011-10-26,卡迪夫城,1-0,般尼,1-0,贏[-0.5],小[2.5/3],單,●,,,
英冠,2011-10-22,卡迪夫城,5-3,班士利,3-1,贏[-0.5/1],大[2.5],雙,,,,●
英冠,2011-10-19,彼德堡,4-3,卡迪夫城,2-1,輸[+0/0.5],大[2.5/3],單,,,,●
英冠,2011-10-15,卡迪夫城,2-2,葉士域治,1-1,輸[-0.5/1],大[2.5],雙,,,●,
英冠,2011-10-01,侯城,2-1,卡迪夫城,1-0,輸[0],大[2/2.5],單,,●,,
英冠,2011-09-29,卡迪夫城,2-1,修咸頓,0-0,贏[0],大[2.5/3],單,,●,,
英冠,2011-09-25,卡迪夫城,0-0,李斯特城,0-0,輸[-0/0.5],小[2.5],雙,●,,,
英聯賽盃,2011-09-22,卡迪夫城,2-2,李斯特城,1-1,輸[-0/0.5],大[2.5/3],雙,,,●,
英冠,2011-09-17,黑池,1-1,卡迪夫城,0-0,走[0],小[2.5],雙,,●,,
英冠,2011-09-10,卡迪夫城,2-0,唐卡士打,0-0,贏[-1],小[2.5/3],雙,,●,,
英冠,2011-08-27,樸茨茅夫,1-1,卡迪夫城,0-0,走[0],小[2/2.5],雙,,●,,
英聯賽盃,2011-08-24,卡迪夫城,3-3,哈德斯菲爾德,2-0,輸[-0.5],大[2.5],雙,,,●,
英冠,2011-08-20,般尼,1-1,卡迪夫城,1-1,走[0],小[2.5/3],雙,,●,,
英冠,2011-08-18,卡迪夫城,1-3,白禮頓,0-1,輸[-0.5],大[2.5],雙,,,●,
英冠,2011-08-14,卡迪夫城,3-1,布里斯托城,3-0,贏[-0.5],大[2.5/3],雙,,,●,
英聯賽盃,2011-08-11,牛津聯,1-1,卡迪夫城,1-1,輸[-0/0.5],小[2.5],雙,,●,,
英冠,2011-08-07,韋斯咸,0-1,卡迪夫城,0-0,贏[+0.5],小[2.5],單,●,,,
友誼賽,2011-08-06,塔爾波特港,2-2,卡迪夫城,2-1,-,大[2.5],雙,,,●,
友誼賽,2011-07-30,卡迪夫城,0-0,帕爾馬,0-0,走[0],小[2.5],雙,●,,,
