0,1,2,3,4,5,6,7,8,9,10,11,12
歐冠盃,2012-05-20,拜仁慕尼黑,1-1,車路士,0-0,贏[+0.5/1],小[2.5],雙,,●,,
英超,2012-05-13,車路士,2-1,布力般流浪,2-0,輸[-1.5/2],小[3.5],單,,●,,
英超,2012-05-09,利物浦,4-1,車路士,3-0,輸[+0/0.5],大[2.5],單,,,●,
英足總盃,2012-05-06,車路士,2-1,利物浦,1-0,贏[0],大[2/2.5],單,,●,,
英超,2012-05-03,車路士,0-2,紐卡素,0-1,輸[-1/1.5],小[3],雙,,●,,
英超,2012-04-29,車路士,6-1,昆士柏流浪,4-0,贏[-1/1.5],大[3],單,,,,●
冠軍盃,2012-04-25,巴塞隆拿,2-2,車路士,2-1,贏[+1.5/2],大[3/3.5],雙,,,●,
英超,2012-04-21,阿仙奴,0-0,車路士,0-0,贏[+0.5],小[2.5],雙,●,,,
冠軍盃,2012-04-19,車路士,1-0,巴塞隆拿,1-0,贏[+0.5/1],小[2.5],單,●,,,
英足總盃,2012-04-16,熱刺,1-5,車路士,0-1,贏[0],大[2.5],雙,,,●,
英超,2012-04-10,富咸,1-1,車路士,0-1,輸[-0/0.5],小[2.5],雙,,●,,
英超,2012-04-07,車路士,2-1,韋根,0-0,輸[-1.5],走[3],單,,●,,
冠軍盃,2012-04-05,車路士,2-1,賓菲加,1-0,贏[-0.5/1],大[2.5],單,,●,,
英超,2012-03-31,阿士東維拉,2-4,車路士,0-1,贏[-0.5/1],大[2.5],雙,,,●,
冠軍盃,2012-03-28,賓菲加,0-1,車路士,0-0,贏[+0/0.5],小[2/2.5],單,●,,,
英超,2012-03-24,車路士,0-0,熱刺,0-0,輸[-0.5],小[2.5],雙,●,,,
英超,2012-03-22,曼城,2-1,車路士,0-0,輸[+0.5],大[2.5],單,,●,,
英足總盃,2012-03-18,車路士,5-2,李斯特城,2-0,贏[-1.5],大[3],單,,,,●
冠軍盃,2012-03-15,車路士,3-1,拿玻里,1-0,贏[-0.5/1],大[2.5/3],雙,,,●,
英超,2012-03-10,車路士,1-0,史篤城,0-0,輸[-1.5],小[2.5/3],單,●,,,
英足總盃,2012-03-07,伯明翰,0-2,車路士,0-0,贏[-1],小[2.5],雙,,●,,
英超,2012-03-03,西布朗,1-0,車路士,0-0,輸[-0.5],小[2.5],單,●,,,
英超,2012-02-25,車路士,3-0,保頓,0-0,贏[-1.5/2],走[3],單,,●,,
冠軍盃,2012-02-22,拿玻里,3-1,車路士,2-1,輸[+0/0.5],大[2/2.5],雙,,,●,
英足總盃,2012-02-18,車路士,1-1,伯明翰,0-1,輸[-1.5],小[2.5/3],雙,,●,,
英超,2012-02-11,愛華頓,2-0,車路士,1-0,輸[-0/0.5],小[2.5],雙,,●,,
英超,2012-02-06,車路士,3-3,曼聯,1-0,走[0],大[2.5],雙,,,●,
英超,2012-02-01,史雲斯,1-1,車路士,1-0,輸[-0.5],小[2.5],雙,,●,,
英足總盃,2012-01-28,昆士柏流浪,0-1,車路士,0-0,輸[-1/1.5],小[2.5],單,●,,,
英超,2012-01-21,諾域治,0-0,車路士,0-0,輸[-1],小[2.5/3],雙,●,,,
英超,2012-01-14,車路士,1-0,新特蘭,1-0,輸[-1/1.5],小[2.5/3],單,●,,,
英足總盃,2012-01-08,車路士,4-0,樸茨茅夫,0-0,贏[-2],大[3.5],雙,,,●,
英超,2012-01-02,狼隊,1-2,車路士,0-0,走[-1],大[2.5/3],單,,●,,
英超,2011-12-31,車路士,1-3,阿士東維拉,1-1,輸[-1.5/2],大[3],雙,,,●,
英超,2011-12-26,車路士,1-1,富咸,0-0,輸[-1.5],小[2.5/3],雙,,●,,
英超,2011-12-23,熱刺,1-1,車路士,1-1,走[0],小[2.5],雙,,●,,
英超,2011-12-18,韋根,1-1,車路士,0-0,輸[-1.5],小[2.5/3],雙,,●,,
英超,2011-12-13,車路士,2-1,曼城,1-1,贏[-0/0.5],大[2.5/3],單,,●,,
冠軍盃,2011-12-07,車路士,3-0,華倫西亞,2-0,贏[-0.5/1],大[2.5],單,,●,,
英超,2011-12-03,紐卡素,0-3,車路士,0-1,贏[-0.5],大[2.5],單,,●,,
英聯賽盃,2011-11-30,車路士,0-2,利物浦,0-0,輸[-0.5],小[2.5],雙,,●,,
英超,2011-11-26,車路士,3-0,狼隊,3-0,贏[-2],小[3/3.5],單,,●,,
冠軍盃,2011-11-24,利華古遜,2-1,車路士,0-0,輸[-0/0.5],大[2.5],單,,●,,
英超,2011-11-21,車路士,1-2,利物浦,0-1,輸[-0.5],大[2.5],單,,●,,
英超,2011-11-05,布力般流浪,0-1,車路士,0-0,輸[-1/1.5],小[3],單,●,,,
冠軍盃,2011-11-02,亨克,1-1,車路士,0-1,輸[-1.5/2],小[3],雙,,●,,
英超,2011-10-29,車路士,3-5,阿仙奴,2-1,輸[-1],大[2.5/3],雙,,,,●
英聯賽盃,2011-10-27,愛華頓,1-1,車路士,0-1,走[0],小[2.5],雙,,●,,
英超,2011-10-23,昆士柏流浪,1-0,車路士,1-0,輸[-1.5],小[2.5/3],單,●,,,
冠軍盃,2011-10-20,車路士,5-0,亨克,4-0,贏[-2.5],大[3.5],單,,,●,
英超,2011-10-16,車路士,3-1,愛華頓,2-0,贏[-1/1.5],大[2.5/3],雙,,,●,
英超,2011-10-02,保頓,1-5,車路士,0-4,贏[-1/1.5],大[2.5/3],雙,,,●,
冠軍盃,2011-09-29,華倫西亞,1-1,車路士,0-0,走[0],小[2/2.5],雙,,●,,
英超,2011-09-24,車路士,4-1,史雲斯,2-0,贏[-2],大[3/3.5],單,,,●,
英聯賽盃,2011-09-22,車路士,0-0,富咸,0-0,輸[-1.5/2],小[3],雙,●,,,
英超,2011-09-18,曼聯,3-1,車路士,3-0,輸[+0.5],大[2.5/3],雙,,,●,
冠軍盃,2011-09-14,車路士,2-0,利華古遜,0-0,贏[-1],小[2.5/3],雙,,●,,
英超,2011-09-10,新特蘭,1-2,車路士,0-1,贏[-0.5/1],大[2.5],單,,●,,
英超,2011-08-27,車路士,3-1,諾域治,1-0,走[-2],大[3/3.5],雙,,,●,
英超,2011-08-21,車路士,2-1,西布朗,0-1,輸[-1.5],走[3],單,,●,,
