0,1,2,3,4,5,6,7,8,9,10,11,12
英冠,2012-04-28,水晶宮,1-2,卡迪夫城,1-0,輸[+0/0.5],大[2/2.5],單,,●,,
英冠,2012-04-21,雷丁,2-2,水晶宮,1-1,贏[+1],大[2.5/3],雙,,,●,
英冠,2012-04-18,樸茨茅夫,2-1,水晶宮,1-0,輸[+0.5],大[2/2.5],單,,●,,
英冠,2012-04-14,水晶宮,1-1,葉士域治,1-0,贏[+0/0.5],小[2.5],雙,,●,,
英冠,2012-04-09,水晶宮,0-2,修咸頓,0-1,輸[+0.5],小[2/2.5],雙,,●,,
英冠,2012-04-07,伯明翰,3-1,水晶宮,3-1,輸[+1],大[2/2.5],雙,,,●,
英冠,2012-03-31,水晶宮,0-3,諾定咸森林,0-0,輸[0],大[2/2.5],單,,●,,
英冠,2012-03-28,水晶宮,1-1,唐卡士打,0-0,輸[-0.5],小[2/2.5],雙,,●,,
英冠,2012-03-24,打比郡,3-2,水晶宮,2-0,輸[+0/0.5],大[2],單,,,●,
英冠,2012-03-21,水晶宮,1-0,班士利,0-0,贏[-0.5],小[2/2.5],單,●,,,
英冠,2012-03-17,水晶宮,0-0,侯城,0-0,走[0],小[2],雙,●,,,
英冠,2012-03-10,般尼,1-1,水晶宮,1-0,贏[+0.5],小[2/2.5],雙,,●,,
英冠,2012-03-07,高雲地利,1-1,水晶宮,0-1,走[0],小[2/2.5],雙,,●,,
英冠,2012-03-03,水晶宮,1-0,彼德堡,0-0,贏[-0.5],小[2/2.5],單,●,,,
英冠,2012-02-25,韋斯咸,0-0,水晶宮,0-0,贏[+0.5/1],小[2.5],雙,●,,,
英冠,2012-02-18,水晶宮,4-0,屈福特,2-0,贏[-0/0.5],大[2/2.5],雙,,,●,
英冠,2012-02-15,布里斯托城,2-2,水晶宮,0-1,贏[+0/0.5],大[2],雙,,,●,
英冠,2012-02-04,米杜士堡,0-0,水晶宮,0-0,贏[+0.5/1],小[2/2.5],雙,●,,,
英冠,2012-02-01,水晶宮,1-1,白禮頓,0-0,輸[-0/0.5],小[2/2.5],雙,,●,,
英聯賽盃,2012-01-25,卡迪夫城,1-0,水晶宮,1-0,輸[+0.5/1],小[2/2.5],單,●,,,
英冠,2012-01-21,黑池,2-1,水晶宮,0-1,贏[+1/1.5],大[2/2.5],單,,●,,
英冠,2012-01-14,水晶宮,1-1,列斯聯,1-0,走[0],小[2/2.5],雙,,●,,
英聯賽盃,2012-01-11,水晶宮,1-0,卡迪夫城,1-0,贏[+0/0.5],小[2/2.5],單,●,,,
英足總盃,2012-01-07,打比郡,1-0,水晶宮,1-0,輸[+0.5],小[2/2.5],單,●,,,
英冠,2012-01-02,水晶宮,1-2,李斯特城,1-2,輸[+0/0.5],大[2/2.5],單,,●,,
英冠,2011-12-31,米禾爾,0-1,水晶宮,0-1,贏[+0/0.5],小[2/2.5],單,●,,,
英冠,2011-12-26,修咸頓,2-0,水晶宮,1-0,輸[+1/1.5],小[2.5/3],雙,,●,,
英冠,2011-12-20,水晶宮,1-0,伯明翰,0-0,贏[+0/0.5],小[2/2.5],單,●,,,
英冠,2011-12-10,諾定咸森林,0-1,水晶宮,0-0,贏[+0.5],小[2/2.5],單,●,,,
英冠,2011-12-07,班士利,2-1,水晶宮,1-1,輸[+0/0.5],大[2/2.5],單,,●,,
英冠,2011-12-03,水晶宮,1-1,打比郡,1-0,輸[-0/0.5],小[2/2.5],雙,,●,,
英聯賽盃,2011-12-01,曼聯,1-1,水晶宮,0-0,贏[+2],小[3],雙,,●,,
英冠,2011-11-26,水晶宮,0-0,米禾爾,0-0,走[0],小[2/2.5],雙,●,,,
英冠,2011-11-20,李斯特城,3-0,水晶宮,0-0,輸[+0.5/1],大[2.5],單,,●,,
英冠,2011-11-05,卡迪夫城,2-0,水晶宮,0-0,輸[+0.5],小[2.5],雙,,●,,
英冠,2011-11-02,水晶宮,0-0,樸茨茅夫,0-0,輸[-0/0.5],小[2/2.5],雙,●,,,
英冠,2011-10-29,水晶宮,0-0,雷丁,0-0,走[0],小[2/2.5],雙,●,,,
英聯賽盃,2011-10-26,水晶宮,2-0,修咸頓,0-0,贏[0],小[2.5/3],雙,,●,,
英冠,2011-10-22,葉士域治,0-1,水晶宮,0-0,贏[+0.5],小[2.5],單,●,,,
英冠,2011-10-19,水晶宮,1-0,布里斯托城,0-0,贏[-0.5],小[2.5],單,●,,,
英冠,2011-10-15,屈福特,0-2,水晶宮,0-0,贏[+0/0.5],小[2.5],雙,,●,,
英冠,2011-10-01,水晶宮,2-2,韋斯咸,1-1,贏[+0.5],大[2.5],雙,,,●,
英冠,2011-09-28,白禮頓,1-3,水晶宮,1-0,贏[+0.5/1],大[2.5/3],雙,,,●,
英冠,2011-09-24,唐卡士打,1-0,水晶宮,0-0,輸[0],小[2/2.5],單,●,,,
英聯賽盃,2011-09-21,水晶宮,2-1,米杜士堡,1-0,贏[+0/0.5],大[2.5/3],單,,●,,
英冠,2011-09-17,水晶宮,0-1,米杜士堡,0-0,輸[+0/0.5],小[2.5],單,●,,,
英聯賽盃,2011-09-14,水晶宮,2-1,韋根,2-0,贏[0],大[2.5],單,,●,,
英冠,2011-09-10,列斯聯,3-2,水晶宮,1-2,輸[+0.5],大[2.5/3],單,,,●,
英冠,2011-08-27,水晶宮,1-1,黑池,0-1,贏[+0/0.5],小[2.5],雙,,●,,
英聯賽盃,2011-08-24,水晶宮,2-0,卡維尼,0-0,贏[0],小[2.5],雙,,●,,
英冠,2011-08-20,侯城,0-1,水晶宮,0-1,贏[+0.5],小[2/2.5],單,●,,,
英冠,2011-08-17,水晶宮,2-1,高雲地利,0-0,贏[-0/0.5],大[2/2.5],單,,●,,
英冠,2011-08-13,水晶宮,2-0,般尼,1-0,贏[0],小[2.5],雙,,●,,
英冠,2011-08-06,彼德堡,2-1,水晶宮,0-1,輸[+0.5],大[2.5],單,,●,,
友誼賽,2011-08-03,布羅姆利,1-2,水晶宮,1-1,贏[0],大[2.5/3],單,,●,,
友誼賽,2011-07-30,般尼茅夫,3-1,水晶宮,0-0,輸[-0/0.5],大[2.5],雙,,,●,
友誼賽,2011-07-28,達爾維奇希爾,4-3,水晶宮,2-2,-,大[2.5],單,,,,●
友誼賽,2011-07-27,水晶宮,1-0,諾域治,0-0,贏[+0.5],小[2.5],單,●,,,
友誼賽,2011-07-23,卡維尼,0-0,水晶宮,0-0,贏[+0/0.5],小[2.5],雙,●,,,
勝 平 負,,,,,,,,,,,,
英冠附,2013-05-27,水晶宮,0-0,屈福特,0-0,贏[+0/0.5],小[2.5],雙,●,,,
英冠附,2013-05-14,白禮頓,0-2,水晶宮,0-0,贏[+0.5],小[2/2.5],雙,,●,,
英冠附,2013-05-11,水晶宮,0-0,白禮頓,0-0,走[0],小[2/2.5],雙,●,,,
英冠,2013-05-04,水晶宮,3-2,彼德堡,1-1,贏[-0.5/1],大[2.5/3],單,,,●,
英冠,2013-05-01,米禾爾,0-0,水晶宮,0-0,走[0],小[2.5],雙,●,,,
英冠,2013-04-27,布力般流浪,1-1,水晶宮,1-1,輸[-0/0.5],小[2.5],雙,,●,,
英冠,2013-04-20,水晶宮,2-2,李斯特城,1-1,贏[+0/0.5],大[2.5],雙,,,●,
英冠,2013-04-17,葉士域治,3-0,水晶宮,3-0,輸[-0/0.5],大[2/2.5],單,,●,,
英冠,2013-04-06,水晶宮,0-0,班士利,0-0,輸[-0.5],小[2.5],雙,●,,,
英冠,2013-04-01,黑池,1-0,水晶宮,0-0,輸[+0/0.5],小[2/2.5],單,●,,,
英冠,2013-03-30,水晶宮,0-4,伯明翰,0-2,輸[-0.5],大[2.5],雙,,,●,
英冠,2013-03-17,白禮頓,3-0,水晶宮,2-0,輸[0],大[2.5],單,,●,,
英冠,2013-03-09,水晶宮,2-2,列斯聯,1-0,輸[-0.5],大[2.5],雙,,,●,
