0,1,2,3,4,5,6,7,8,9,10,11,12
英超,2012-05-13,愛華頓,3-1,紐卡素,2-0,贏[-0/0.5],大[2.5/3],雙,,,●,
英超,2012-05-06,狼隊,0-0,愛華頓,0-0,輸[-0.5/1],小[2.5/3],雙,●,,,
英超,2012-05-02,史篤城,1-1,愛華頓,0-1,輸[-0/0.5],小[2/2.5],雙,,●,,
英超,2012-04-28,愛華頓,4-0,富咸,3-0,贏[-0.5],大[2.5],雙,,,●,
英超,2012-04-22,曼聯,4-4,愛華頓,1-1,贏[+1/1.5],大[2.5/3],雙,,,,●
英足總盃,2012-04-14,利物浦,2-1,愛華頓,0-1,輸[+0/0.5],大[2/2.5],單,,●,,
英超,2012-04-09,愛華頓,4-0,新特蘭,0-0,贏[-0.5],大[2/2.5],雙,,,●,
英超,2012-04-07,諾域治,2-2,愛華頓,1-1,輸[-0/0.5],大[2/2.5],雙,,,●,
英超,2012-03-31,愛華頓,2-0,西布朗,1-0,贏[-0.5/1],小[2.5],雙,,●,,
英足總盃,2012-03-28,新特蘭,0-2,愛華頓,0-1,贏[+0/0.5],小[2/2.5],雙,,●,,
英超,2012-03-24,史雲斯,0-2,愛華頓,0-0,贏[+0/0.5],小[2/2.5],雙,,●,,
英超,2012-03-22,愛華頓,0-1,阿仙奴,0-1,輸[+0/0.5],小[2.5],單,●,,,
英足總盃,2012-03-17,愛華頓,1-1,新特蘭,1-1,輸[-0.5],小[2/2.5],雙,,●,,
英超,2012-03-14,利物浦,3-0,愛華頓,1-0,輸[+0.5/1],大[2.5],單,,●,,
英超,2012-03-11,愛華頓,1-0,熱刺,1-0,贏[0],小[2.5],單,●,,,
英超,2012-03-03,昆士柏流浪,1-1,愛華頓,1-1,輸[-0/0.5],小[2/2.5],雙,,●,,
英足總盃,2012-02-18,愛華頓,2-0,黑池,2-0,贏[-1/1.5],小[2.5/3],雙,,●,,
英超,2012-02-11,愛華頓,2-0,車路士,1-0,贏[+0/0.5],小[2.5],雙,,●,,
英超,2012-02-04,韋根,1-1,愛華頓,0-0,輸[-0.5],小[2.5],雙,,●,,
英超,2012-02-01,愛華頓,1-0,曼城,0-0,贏[+0.5],小[2.5],單,●,,,
英足總盃,2012-01-28,愛華頓,2-1,富咸,1-1,贏[-0.5],大[2/2.5],單,,●,,
英超,2012-01-21,愛華頓,1-1,布力般流浪,1-0,輸[-1],小[2.5],雙,,●,,
英超,2012-01-14,阿士東維拉,1-1,愛華頓,0-0,贏[+0/0.5],小[2/2.5],雙,,●,,
英超,2012-01-12,熱刺,2-0,愛華頓,1-0,輸[+1],小[2.5],雙,,●,,
英足總盃,2012-01-07,愛華頓,2-0,譚禾夫,1-0,輸[-2.5/3],小[3.5],雙,,●,,
英超,2012-01-05,愛華頓,1-2,保頓,0-0,輸[-1/1.5],大[2.5/3],單,,●,,
英超,2012-01-01,西布朗,0-1,愛華頓,0-0,贏[0],小[2.5],單,●,,,
英超,2011-12-26,新特蘭,1-1,愛華頓,1-0,贏[+0/0.5],小[2.5],雙,,●,,
英超,2011-12-22,愛華頓,1-0,史雲斯,0-0,走[-1],小[2.5],單,●,,,
英超,2011-12-17,愛華頓,1-1,諾域治,0-1,輸[-1],小[2.5/3],雙,,●,,
英超,2011-12-10,阿仙奴,1-0,愛華頓,0-0,走[+1],小[2.5/3],單,●,,,
英超,2011-12-04,愛華頓,0-1,史篤城,0-1,輸[-0.5/1],小[2.5],單,●,,,
英超,2011-11-26,保頓,0-2,愛華頓,0-0,贏[-0/0.5],小[2.5],雙,,●,,
英超,2011-11-19,愛華頓,2-1,狼隊,1-1,走[-1],大[2.5],單,,●,,
英超,2011-11-05,紐卡素,2-1,愛華頓,2-1,輸[+0/0.5],大[2.5],單,,●,,
英超,2011-10-29,愛華頓,0-1,曼聯,0-1,輸[+0.5],小[2.5],單,●,,,
英聯賽盃,2011-10-27,愛華頓,1-1,車路士,0-1,走[0],小[2.5],雙,,●,,
英超,2011-10-23,富咸,1-3,愛華頓,0-1,贏[+0/0.5],大[2/2.5],雙,,,●,
英超,2011-10-16,車路士,3-1,愛華頓,2-0,輸[+1/1.5],大[2.5/3],雙,,,●,
英超,2011-10-01,愛華頓,0-2,利物浦,0-0,輸[+0/0.5],小[2.5],雙,,●,,
英超,2011-09-24,曼城,2-0,愛華頓,0-0,輸[+1/1.5],小[2.5/3],雙,,●,,
英聯賽盃,2011-09-22,愛華頓,1-1,西布朗,1-1,輸[-0.5/1],小[2.5],雙,,●,,
英超,2011-09-17,愛華頓,3-1,韋根,1-1,贏[-1],大[2.5],雙,,,●,
英超,2011-09-10,愛華頓,2-2,阿士東維拉,1-0,輸[-0.5],大[2.5],雙,,,●,
英超,2011-08-27,布力般流浪,0-1,愛華頓,0-0,贏[-0/0.5],小[2/2.5],單,●,,,
英聯賽盃,2011-08-25,愛華頓,3-1,錫菲聯,3-1,贏[-1/1.5],大[2.5],雙,,,●,
英超,2011-08-20,愛華頓,0-1,昆士柏流浪,0-1,輸[-1/1.5],小[2.5],單,●,,,
