0,1,2,3,4,5,6,7,8,9,10,11,12
英超,2012-05-13,熱刺,2-0,富咸,1-0,輸[+1.5],小[3],雙,,●,,
英超,2012-05-06,富咸,2-1,新特蘭,2-1,贏[-0.5/1],大[2.5],單,,●,,
英超,2012-05-02,利物浦,0-1,富咸,0-1,贏[+0.5/1],小[2.5/3],單,●,,,
英超,2012-04-28,愛華頓,4-0,富咸,3-0,輸[+0.5],大[2.5],雙,,,●,
英超,2012-04-21,富咸,2-1,韋根,0-0,贏[-0.5],大[2.5],單,,●,,
英超,2012-04-10,富咸,1-1,車路士,0-1,贏[+0/0.5],小[2.5],雙,,●,,
英超,2012-04-07,保頓,0-3,富咸,0-2,贏[0],大[2.5],單,,●,,
英超,2012-03-31,富咸,2-1,諾域治,2-0,贏[-0.5/1],大[2.5/3],單,,●,,
英超,2012-03-27,曼聯,1-0,富咸,1-0,贏[+1.5/2],小[3],單,●,,,
英超,2012-03-17,富咸,0-3,史雲斯,0-1,輸[-0.5/1],大[2.5],單,,●,,
英超,2012-03-10,阿士東維拉,1-0,富咸,0-0,輸[0],小[2.5],單,●,,,
英超,2012-03-04,富咸,5-0,狼隊,2-0,贏[-0.5/1],大[2.5/3],單,,,●,
英超,2012-02-25,昆士柏流浪,0-1,富咸,0-1,贏[0],小[2/2.5],單,●,,,
英超,2012-02-11,富咸,2-1,史篤城,2-0,贏[-0.5],大[2/2.5],單,,●,,
英超,2012-02-05,曼城,3-0,富咸,2-0,輸[+1.5],大[2.5/3],單,,●,,
英超,2012-02-02,富咸,1-1,西布朗,0-0,輸[-0.5],小[2.5],雙,,●,,
英足總盃,2012-01-28,愛華頓,2-1,富咸,1-1,輸[+0.5],大[2/2.5],單,,●,,
英超,2012-01-21,富咸,5-2,紐卡素,0-1,贏[-0.5],大[2.5],單,,,,●
英超,2012-01-14,布力般流浪,3-1,富咸,1-0,輸[-0/0.5],大[2.5],雙,,,●,
英足總盃,2012-01-07,富咸,4-0,查爾頓,1-0,贏[-1/1.5],大[2.5/3],雙,,,●,
英超,2012-01-03,富咸,2-1,阿仙奴,0-1,贏[+0.5],大[2.5/3],單,,●,,
英超,2011-12-31,諾域治,1-1,富咸,0-1,走[0],小[2.5],雙,,●,,
英超,2011-12-26,車路士,1-1,富咸,0-0,贏[+1.5],小[2.5/3],雙,,●,,
英超,2011-12-22,富咸,0-5,曼聯,0-3,輸[+0.5],大[2.5],單,,,●,
英超,2011-12-17,富咸,2-0,保頓,2-0,贏[-0.5/1],小[2.5],雙,,●,,
歐霸盃,2011-12-15,富咸,2-2,奧丹斯,2-0,輸[-1.5/2],大[2.5/3],雙,,,●,
英超,2011-12-10,史雲斯,2-0,富咸,0-0,輸[0],小[2/2.5],雙,,●,,
英超,2011-12-06,富咸,1-0,利物浦,0-0,贏[+0.5],小[2.5],單,●,,,
歐霸盃,2011-12-02,川迪,1-0,富咸,0-0,輸[+0.5],小[2.5],單,●,,,
英超,2011-11-27,阿仙奴,1-1,富咸,0-0,贏[+1],小[2.5/3],雙,,●,,
英超,2011-11-19,新特蘭,0-0,富咸,0-0,贏[+0/0.5],小[2/2.5],雙,●,,,
英超,2011-11-07,富咸,1-3,熱刺,0-2,輸[+0/0.5],大[2.5],雙,,,●,
歐霸盃,2011-11-04,富咸,4-1,克拉科夫,2-1,贏[-1.5],大[2.5],單,,,●,
英超,2011-10-29,韋根,0-2,富咸,0-1,贏[-0/0.5],小[2/2.5],雙,,●,,
英超,2011-10-23,富咸,1-3,愛華頓,0-1,輸[-0/0.5],大[2/2.5],雙,,,●,
歐霸盃,2011-10-21,克拉科夫,1-0,富咸,0-0,輸[-0/0.5],小[2/2.5],單,●,,,
英超,2011-10-15,史篤城,2-0,富咸,0-0,輸[+0/0.5],小[2/2.5],雙,,●,,
英超,2011-10-02,富咸,6-0,昆士柏流浪,3-0,贏[-0.5],大[2.5],雙,,,●,
歐霸盃,2011-09-30,奧丹斯,0-2,富咸,0-1,贏[-0/0.5],小[2/2.5],雙,,●,,
英超,2011-09-24,西布朗,0-0,富咸,0-0,贏[+0/0.5],小[2/2.5],雙,●,,,
英聯賽盃,2011-09-22,車路士,0-0,富咸,0-0,贏[+1.5/2],小[3],雙,●,,,
英超,2011-09-18,富咸,2-2,曼城,0-1,贏[+0.5/1],大[2.5/3],雙,,,●,
歐霸盃,2011-09-16,富咸,1-1,川迪,1-1,走[0],小[2.5],雙,,●,,
英超,2011-09-11,富咸,1-1,布力般流浪,1-1,輸[-0.5/1],小[2.5],雙,,●,,
英超,2011-08-28,紐卡素,2-1,富咸,0-0,輸[+0/0.5],大[2/2.5],單,,●,,
歐霸盃,2011-08-26,迪尼普,1-0,富咸,1-0,輸[+0/0.5],小[2/2.5],單,●,,,
英超,2011-08-21,狼隊,2-0,富咸,2-0,輸[0],小[2/2.5],雙,,●,,
歐霸盃,2011-08-19,富咸,3-0,迪尼普,2-0,贏[-0.5/1],大[2/2.5],單,,●,,
英超,2011-08-13,富咸,0-0,阿士東維拉,0-0,輸[-0.5],小[2/2.5],雙,●,,,
歐霸盃,2011-08-05,富咸,2-0,施普列特,1-0,贏[-1.5/2],小[2.5/3],雙,,●,,
歐霸盃,2011-07-29,施普列特,0-0,富咸,0-0,輸[-1/1.5],小[2.5],雙,●,,,
歐霸盃,2011-07-22,富咸,4-0,十字軍,1-0,贏[-2.5/3],大[3.5/4],雙,,,●,
歐霸盃,2011-07-15,十字軍,1-3,富咸,0-1,贏[-1.5/2],大[2.5/3],雙,,,●,
歐霸盃,2011-07-08,NSI魯納維克,0-0,富咸,0-0,輸[-2.5],小[3.5],雙,●,,,
歐霸盃,2011-07-01,富咸,3-0,NSI魯納維克,1-0,贏[-2.5/3],小[3.5/4],單,,●,,
勝 平 負,,,,,,,,,,,,
英超,2013-05-19,史雲斯,0-3,富咸,0-1,贏[+0.5/1],大[2.5],單,,●,,
英超,2013-05-12,富咸,1-3,利物浦,1-1,輸[+0.5],大[2.5/3],雙,,,●,
英超,2013-05-04,富咸,2-4,雷丁,0-1,輸[-0.5/1],大[2.5/3],雙,,,●,
英超,2013-04-27,愛華頓,1-0,富咸,1-0,贏[+1/1.5],小[2.5/3],單,●,,,
英超,2013-04-20,富咸,0-1,阿仙奴,0-1,走[+1],小[2.5/3],單,●,,,
英超,2013-04-18,富咸,0-3,車路士,0-2,輸[+0.5/1],大[2.5/3],單,,●,,
英超,2013-04-13,阿士東維拉,1-1,富咸,0-0,贏[+0/0.5],小[2.5],雙,,●,,
英超,2013-04-07,紐卡素,1-0,富咸,0-0,輸[+0.5],小[2.5],單,●,,,
英超,2013-04-02,富咸,3-2,昆士柏流浪,3-1,贏[-0.5],大[2.5],單,,,●,
英超,2013-03-17,熱刺,0-1,富咸,0-0,贏[+1],小[2.5/3],單,●,,,
英超,2013-03-02,新特蘭,2-2,富咸,1-2,贏[+0/0.5],大[2/2.5],雙,,,●,
英超,2013-02-23,富咸,1-0,史篤城,1-0,贏[-0.5],小[2/2.5],單,●,,,
英超,2013-02-09,諾域治,0-0,富咸,0-0,贏[+0/0.5],小[2.5],雙,●,,,
英超,2013-02-03,富咸,0-1,曼聯,0-0,走[+1],小[3],單,●,,,
英超,2013-01-31,富咸,3-1,韋斯咸,1-0,贏[-0/0.5],大[2.5],雙,,,●,
英足總盃,2013-01-27,曼聯,4-1,富咸,1-0,輸[+1.5],大[3],單,,,●,
英超,2013-01-19,曼城,2-0,富咸,1-0,輸[+1.5/2],小[3],雙,,●,,
英足總盃,2013-01-16,黑池,1-1,富咸,1-1,贏[+0/0.5],小[2.5],雙,,●,,
英超,2013-01-12,富咸,1-1,韋根,1-0,輸[-0.5],小[2.5/3],雙,,●,,
英足總盃,2013-01-05,富咸,1-1,黑池,0-0,輸[-0.5/1],小[2.5/3],雙,,●,,
英超,2013-01-01,西布朗,1-2,富咸,0-1,贏[+0.5],大[2.5],單,,●,,
英超,2012-12-29,富咸,1-2,史雲斯,0-1,輸[-0/0.5],大[2.5],單,,●,,
英超,2012-12-26,富咸,1-1,修咸頓,1-0,輸[-0.5],小[2.5/3],雙,,●,,
英超,2012-12-23,利物浦,4-0,富咸,2-0,輸[+1/1.5],大[2.5/3],雙,,,●,
英超,2012-12-15,昆士柏流浪,2-1,富咸,0-0,輸[0],大[2.5],單,,●,,
英超,2012-12-11,富咸,2-1,紐卡素,1-0,贏[-0.5],大[2.5],單,,●,,
英超,2012-12-01,富咸,0-3,熱刺,0-0,輸[+0/0.5],大[2.5/3],單,,●,,
英超,2012-11-29,車路士,0-0,富咸,0-0,贏[+1/1.5],小[3],雙,●,,,
英超,2012-11-24,史篤城,1-0,富咸,1-0,輸[+0/0.5],小[2.5],單,●,,,
英超,2012-11-19,富咸,1-3,新特蘭,0-0,輸[-0.5/1],大[2.5],雙,,,●,
英超,2012-11-10,阿仙奴,3-3,富咸,2-2,贏[+1],大[2.5/3],雙,,,●,
英超,2012-11-03,富咸,2-2,愛華頓,1-0,走[0],大[2.5],雙,,,●,
英超,2012-10-27,雷丁,3-3,富咸,1-0,輸[-0/0.5],大[2.5],雙,,,●,
英超,2012-10-20,富咸,1-0,阿士東維拉,0-0,贏[-0.5/1],小[2.5],單,●,,,
英超,2012-10-07,修咸頓,2-2,富咸,1-0,走[0],大[2.5/3],雙,,,●,
英超,2012-09-29,富咸,1-2,曼城,1-1,輸[+0.5],大[2.5],單,,●,,
英超,2012-09-22,韋根,1-2,富咸,0-1,贏[+0/0.5],大[2.5],單,,●,,
英超,2012-09-15,富咸,3-0,西布朗,2-0,贏[-0.5],大[2.5/3],單,,●,,
英超,2012-09-01,韋斯咸,3-0,富咸,3-0,輸[+0/0.5],大[2.5],單,,●,,
英聯賽盃,2012-08-29,錫周三,1-0,富咸,0-0,輸[-0/0.5],小[2.5],單,●,,,
英超,2012-08-25,曼聯,3-2,富咸,3-1,贏[+1.5],大[3],單,,,●,
英超,2012-08-18,富咸,5-0,諾域治,2-0,贏[-0.5],大[2.5],單,,,●,
友誼賽,2012-08-11,富咸,1-2,查爾頓,1-0,-,大[2.5],單,,●,,
友誼賽,2012-08-08,米爾頓凱恩斯,0-1,富咸,0-0,贏[-0.5/1],小[2.5],單,●,,,
友誼賽,2012-08-05,奈斯,0-4,富咸,0-2,贏[0],大[2.5],雙,,,●,
友誼賽,2012-07-28,韋甘比,0-3,富咸,0-1,贏[-1],大[2.5/3],單,,●,,
友誼賽,2012-07-21,凱沙羅頓,2-2,富咸,2-1,走[0],大[2.5],雙,,,●,
友誼賽,2012-07-19,萊比錫火車頭,0-4,富咸,0-2,贏[-1.5],大[3/3.5],雙,,,●,
友誼賽,2012-07-15,HB高治,0-0,富咸,0-0,輸[-1],小[2.5/3],雙,●,,,
勝 平 負,,,,,,,,,,,,
英超,2014-05-11,富咸,2-2,水晶宮,0-1,走[0],大[2.5/3],雙,,,●,
英超,2014-05-03,史篤城,4-1,富咸,1-0,輸[+0/0.5],大[2.5],單,,,●,
英超,2014-04-26,富咸,2-2,侯城,0-0,輸[-0/0.5],大[2.5],雙,,,●,
英超,2014-04-19,熱刺,3-1,富咸,1-1,輸[+1],大[3],雙,,,●,
英超,2014-04-12,富咸,1-0,諾域治,1-0,贏[-0.5],小[2.5],單,●,,,
英超,2014-04-05,阿士東維拉,1-2,富咸,0-0,贏[+0.5],大[2.5],單,,●,,
英超,2014-03-30,富咸,1-3,愛華頓,0-0,輸[+0.5/1],大[2.5],雙,,,●,
英超,2014-03-22,曼城,5-0,富咸,1-0,輸[+2/2.5],大[3.5],單,,,●,
英超,2014-03-15,富咸,1-0,紐卡素,0-0,贏[+0/0.5],小[2.5],單,●,,,
英超,2014-03-08,卡迪夫城,3-1,富咸,1-0,輸[+0/0.5],大[2.5],雙,,,●,
英超,2014-03-01,富咸,1-3,車路士,0-0,輸[+1/1.5],大[2.5/3],雙,,,●,
英超,2014-02-22,西布朗,1-1,富咸,0-1,贏[+0.5/1],小[2.5/3],雙,,●,,
英超,2014-02-13,富咸,2-3,利物浦,1-1,贏[+1/1.5],大[3],單,,,●,
英超,2014-02-10,曼聯,2-2,富咸,0-1,贏[+2],大[3/3.5],雙,,,●,
英足總盃,2014-02-05,富咸,0-0,錫菲聯,0-0,輸[-1],小[2.5],雙,●,,,
英超,2014-02-01,富咸,0-3,修咸頓,0-0,輸[+0/0.5],大[2.5/3],單,,●,,
英超,2014-01-29,史雲斯,2-0,富咸,0-0,輸[+0.5/1],大[1/1.5],雙,,●,,
英足總盃,2014-01-26,錫菲聯,1-1,富咸,1-0,走[0],小[2.5],雙,,●,,
英超,2014-01-18,阿仙奴,2-0,富咸,0-0,輸[+1.5/2],小[3/3.5],雙,,●,,
英足總盃,2014-01-15,富咸,3-0,諾域治,2-0,贏[-0/0.5],大[2.5],單,,●,,
英超,2014-01-11,富咸,1-4,新特蘭,0-2,輸[-0/0.5],大[2.5],單,,,●,
英足總盃,2014-01-04,諾域治,1-1,富咸,1-1,贏[+0/0.5],小[2.5],雙,,●,,
英超,2014-01-01,富咸,2-1,韋斯咸,1-1,贏[-0/0.5],大[2.5],單,,●,,
英超,2013-12-28,侯城,6-0,富咸,0-0,輸[+0.5],大[2/2.5],雙,,,●,
英超,2013-12-26,諾域治,1-2,富咸,1-1,贏[+0.5],大[2.5],單,,●,,
英超,2013-12-21,富咸,2-4,曼城,0-2,輸[+1.5],大[3/3.5],雙,,,●,
英超,2013-12-14,愛華頓,4-1,富咸,1-0,輸[+1/1.5],大[2.5/3],單,,,●,
英超,2013-12-08,富咸,2-0,阿士東維拉,2-0,贏[0],小[2.5],雙,,●,,
英超,2013-12-05,富咸,1-2,熱刺,0-0,走[+1],大[2.5],單,,●,,
英超,2013-11-30,韋斯咸,3-0,富咸,0-0,輸[+0.5/1],大[2.5],單,,●,,
英超,2013-11-23,富咸,1-2,史雲斯,0-0,輸[+0/0.5],大[2/2.5],單,,●,,
英超,2013-11-09,利物浦,4-0,富咸,3-0,輸[+2],大[3/3.5],雙,,,●,
英超,2013-11-02,富咸,1-3,曼聯,0-3,輸[+1],大[2.5],雙,,,●,
