0,1,2,3,4,5,6,7,8,9,10,11,12
英冠,2012-04-28,韋斯咸,2-1,侯城,1-0,走[+1],大[2.5],單,,●,,
英冠,2012-04-21,侯城,2-1,諾定咸森林,0-0,贏[-0/0.5],大[2/2.5],單,,●,,
英冠,2012-04-18,侯城,3-1,班士利,2-0,贏[-0.5],大[2/2.5],雙,,,●,
英冠,2012-04-14,屈福特,1-1,侯城,1-1,贏[+0/0.5],小[2/2.5],雙,,●,,
英冠,2012-04-09,侯城,2-1,米杜士堡,0-1,贏[0],大[2/2.5],單,,●,,
英冠,2012-04-07,米禾爾,2-0,侯城,1-0,輸[+0.5],小[2/2.5],雙,,●,,
英冠,2012-03-31,侯城,0-2,高雲地利,0-1,輸[-0.5/1],小[2/2.5],雙,,●,,
英冠,2012-03-28,樸茨茅夫,2-0,侯城,2-0,輸[0],小[2/2.5],雙,,●,,
英冠,2012-03-24,李斯特城,2-1,侯城,2-1,輸[+0/0.5],大[2/2.5],單,,●,,
英冠,2012-03-21,侯城,0-2,修咸頓,0-1,輸[0],小[2/2.5],雙,,●,,
英冠,2012-03-17,水晶宮,0-0,侯城,0-0,走[0],小[2],雙,●,,,
英冠,2012-03-14,卡迪夫城,0-3,侯城,0-1,贏[+0.5],大[2/2.5],單,,●,,
英冠,2012-03-10,侯城,2-2,葉士域治,1-0,輸[-0.5],大[2/2.5],雙,,,●,
英冠,2012-03-07,侯城,0-0,列斯聯,0-0,輸[-0.5],小[2/2.5],雙,●,,,
英冠,2012-03-03,黑池,1-1,侯城,1-0,贏[+0/0.5],小[2.5],雙,,●,,
英冠,2012-02-23,侯城,0-0,白禮頓,0-0,輸[-0.5/1],小[2/2.5],雙,●,,,
英冠,2012-02-15,伯明翰,0-0,侯城,0-0,贏[+0.5],小[2/2.5],雙,●,,,
英冠,2012-02-11,侯城,3-0,布里斯托城,2-0,贏[-0.5],大[2/2.5],單,,●,,
英冠,2012-02-01,侯城,0-0,唐卡士打,0-0,輸[-1],小[2.5],雙,●,,,
英足總盃,2012-01-28,侯城,0-1,卡維尼,0-0,輸[-0.5],小[2.5],單,●,,,
英冠,2012-01-21,雷丁,0-1,侯城,0-0,贏[+0.5],小[2/2.5],單,●,,,
英冠,2012-01-14,侯城,1-0,彼德堡,1-0,贏[-0.5],小[2.5],單,●,,,
英足總盃,2012-01-07,侯城,3-1,葉士域治,2-0,贏[-0.5],大[2.5],雙,,,●,
英冠,2012-01-02,侯城,0-1,打比郡,0-0,輸[-0.5/1],小[2/2.5],單,●,,,
英冠,2011-12-31,般尼,1-0,侯城,1-0,輸[+0/0.5],小[2.5],單,●,,,
英冠,2011-12-26,米杜士堡,1-0,侯城,0-0,輸[+0.5],小[2/2.5],單,●,,,
英冠,2011-12-17,侯城,2-0,米禾爾,0-0,贏[-0.5],小[2/2.5],雙,,●,,
英冠,2011-12-10,高雲地利,0-1,侯城,0-0,贏[0],小[2/2.5],單,●,,,
英冠,2011-12-08,侯城,2-1,伯明翰,0-1,贏[-0/0.5],大[2/2.5],單,,●,,
英冠,2011-12-03,侯城,2-1,李斯特城,1-1,贏[+0/0.5],大[2/2.5],單,,●,,
英冠,2011-11-30,修咸頓,2-1,侯城,0-1,走[+1],大[2.5],單,,●,,
英冠,2011-11-26,侯城,2-3,般尼,1-0,輸[-0.5],大[2/2.5],單,,,●,
英冠,2011-11-19,打比郡,0-2,侯城,0-2,贏[0],小[2.5],雙,,●,,
英冠,2011-11-05,侯城,0-2,韋斯咸,0-0,輸[0],小[2.5],雙,,●,,
英冠,2011-11-02,班士利,2-1,侯城,0-0,輸[0],大[2/2.5],單,,●,,
英冠,2011-10-29,諾定咸森林,0-1,侯城,0-0,贏[+0.5],小[2/2.5],單,●,,,
英冠,2011-10-22,侯城,3-2,屈福特,0-1,贏[-0.5],大[2/2.5],單,,,●,
英冠,2011-10-16,白禮頓,0-0,侯城,0-0,贏[+0/0.5],小[2.5],雙,●,,,
英冠,2011-10-01,侯城,2-1,卡迪夫城,1-0,贏[0],大[2/2.5],單,,●,,
英冠,2011-09-28,唐卡士打,1-1,侯城,0-1,走[0],小[2/2.5],雙,,●,,
英冠,2011-09-24,布里斯托城,1-1,侯城,0-0,走[0],小[2/2.5],雙,,●,,
英冠,2011-09-17,侯城,1-0,樸茨茅夫,1-0,贏[-0.5],小[2.5],單,●,,,
英冠,2011-09-10,彼德堡,0-1,侯城,0-0,贏[+0/0.5],小[3],單,●,,,
英冠,2011-08-27,侯城,1-0,雷丁,0-0,贏[+0/0.5],小[2/2.5],單,●,,,
英冠,2011-08-20,侯城,0-1,水晶宮,0-1,輸[-0.5],小[2/2.5],單,●,,,
英冠,2011-08-17,列斯聯,4-1,侯城,2-1,輸[+0/0.5],大[2.5],單,,,●,
英冠,2011-08-13,葉士域治,0-1,侯城,0-0,贏[+0.5],小[2.5],單,●,,,
英聯賽盃,2011-08-10,侯城,0-2,馬格斯菲特,0-1,輸[-1],小[2.5],雙,,●,,
英冠,2011-08-06,侯城,0-1,黑池,0-0,輸[-0/0.5],小[2.5],單,●,,,
友誼賽,2011-07-30,車士打菲特,0-2,侯城,0-1,贏[-0/0.5],小[2.5],雙,,●,,
友誼賽,2011-07-28,侯城,3-1,巴拉福特,2-0,贏[-1],大[2.5],雙,,,●,
友誼賽,2011-07-23,侯城,3-0,利物浦,2-0,贏[+1],大[2.5/3],單,,●,,
友誼賽,2011-07-21,Winterton Rangers FC,1-2,侯城,0-2,-,大[2.5],單,,●,,
友誼賽,2011-07-20,費利比北聯,1-4,侯城,1-3,-,大[2.5],單,,,●,
勝 平 負,,,,,,,,,,,,
英冠,2013-05-04,侯城,2-2,卡迪夫城,0-0,輸[-0.5],大[2.5],雙,,,●,
英冠,2013-04-27,班士利,2-0,侯城,1-0,輸[-0/0.5],小[2/2.5],雙,,●,,
英冠,2013-04-20,侯城,0-0,布里斯托城,0-0,輸[-1/1.5],小[2.5/3],雙,●,,,
英冠,2013-04-17,狼隊,1-0,侯城,0-0,輸[-0.5],小[2/2.5],單,●,,,
英冠,2013-04-13,葉士域治,1-2,侯城,0-1,贏[-0/0.5],大[2/2.5],單,,●,,
英冠,2013-04-06,侯城,1-0,米杜士堡,0-0,贏[-0.5/1],小[2.5],單,●,,,
英冠,2013-04-03,侯城,0-1,屈福特,0-1,輸[-0.5],小[2.5],單,●,,,
英冠,2013-03-31,哈德斯菲爾德,0-1,侯城,0-0,贏[-0/0.5],小[2/2.5],單,●,,,
英冠,2013-03-16,侯城,1-2,諾定咸森林,1-0,輸[-0.5],大[2.5],單,,●,,
英冠,2013-03-12,般尼,0-1,侯城,0-0,贏[0],小[2.5],單,●,,,
英冠,2013-03-06,水晶宮,4-2,侯城,1-0,輸[+0/0.5],大[2.5],雙,,,●,
英冠,2013-03-02,侯城,5-2,伯明翰,3-0,贏[-0.5/1],大[2/2.5],單,,,,●
英冠,2013-02-23,保頓,4-1,侯城,3-0,輸[-0/0.5],大[2/2.5],單,,,●,
英冠,2013-02-20,侯城,2-0,布力般流浪,0-0,贏[-0.5],小[2/2.5],雙,,●,,
英冠,2013-02-16,侯城,1-0,查爾頓,1-0,贏[-0.5],小[2.5],單,●,,,
英冠,2013-02-13,侯城,2-1,打比郡,0-0,贏[-0.5],大[2.5],單,,●,,
英冠,2013-02-10,白禮頓,1-0,侯城,0-0,輸[+0/0.5],小[2/2.5],單,●,,,
英冠,2013-02-02,米禾爾,0-1,侯城,0-1,贏[-0/0.5],小[2/2.5],單,●,,,
英足總盃,2013-01-26,侯城,0-1,班士利,0-0,輸[-0.5],小[2.5],單,●,,,
英冠,2013-01-19,彼德堡,1-1,侯城,0-1,輸[-0/0.5],小[2.5/3],雙,,●,,
英足總盃,2013-01-16,奧連特,1-1,侯城,0-1,輸[-0/0.5],小[2.5],雙,,●,,
英冠,2013-01-13,侯城,1-3,錫周三,0-1,輸[-0.5/1],大[2.5],雙,,,●,
英足總盃,2013-01-05,侯城,1-1,奧連特,0-0,輸[-1/1.5],小[2.5/3],雙,,●,,
英冠,2013-01-01,黑池,0-0,侯城,0-0,贏[+0/0.5],小[2.5],雙,●,,,
英冠,2012-12-29,侯城,2-0,列斯聯,0-0,贏[-0.5],小[2.5],雙,,●,,
英冠,2012-12-26,侯城,0-0,李斯特城,0-0,走[0],小[2.5],雙,●,,,
英冠,2012-12-22,打比郡,1-2,侯城,1-1,贏[0],大[2.5],單,,●,,
英冠,2012-12-15,侯城,2-0,哈德斯菲爾德,1-0,贏[-0.5],小[2.5/3],雙,,●,,
英冠,2012-12-08,屈福特,1-2,侯城,0-1,贏[+0.5],大[2.5],單,,●,,
英冠,2012-12-01,諾定咸森林,1-2,侯城,1-1,贏[0],大[2.5],單,,●,,
英冠,2012-11-28,侯城,0-0,水晶宮,0-0,輸[-0/0.5],小[2.5/3],雙,●,,,
英冠,2012-11-24,侯城,0-1,般尼,0-1,輸[-0.5/1],小[2.5/3],單,●,,,
英冠,2012-11-17,伯明翰,2-3,侯城,1-3,贏[0],大[2.5],單,,,●,
英冠,2012-11-10,卡迪夫城,2-1,侯城,1-0,輸[+0.5],大[2.5],單,,●,,
英冠,2012-11-07,侯城,2-1,狼隊,1-0,贏[-0.5],大[2.5],單,,●,,
英冠,2012-11-03,侯城,1-0,班士利,1-0,贏[-0.5/1],小[2.5],單,●,,,
英冠,2012-10-28,布里斯托城,1-2,侯城,1-1,贏[-0/0.5],大[2.5/3],單,,●,,
