0,1,2,3,4,5,6,7,8,9,10,11,12
英冠,2012-04-28,列斯聯,1-2,李斯特城,0-1,贏[0],大[2.5],單,,●,,
英冠,2012-04-24,李斯特城,1-2,韋斯咸,1-1,輸[+0.5],大[2.5/3],單,,●,,
英冠,2012-04-18,李斯特城,0-0,般尼,0-0,輸[-0.5/1],小[2.5/3],雙,●,,,
英冠,2012-04-14,米禾爾,2-1,李斯特城,1-0,輸[0],大[2.5],單,,●,,
英冠,2012-04-09,葉士域治,1-2,李斯特城,1-1,贏[0],大[2.5/3],單,,●,,
英冠,2012-04-07,李斯特城,4-0,唐卡士打,1-0,贏[-1],大[2.5/3],雙,,,●,
英冠,2012-03-31,彼德堡,1-0,李斯特城,0-0,輸[-0.5],小[2.5/3],單,●,,,
英冠,2012-03-28,李斯特城,0-0,諾定咸森林,0-0,輸[-0.5],小[2.5],雙,●,,,
英冠,2012-03-24,李斯特城,2-1,侯城,2-1,贏[-0/0.5],大[2/2.5],單,,●,,
英冠,2012-03-22,黑池,3-3,李斯特城,1-1,走[0],大[2.5/3],雙,,,●,
英足總盃,2012-03-18,車路士,5-2,李斯特城,2-0,輸[+1.5],大[3],單,,,,●
英冠,2012-03-14,李斯特城,3-1,伯明翰,1-1,贏[0],大[2/2.5],雙,,,●,
英冠,2012-03-10,雷丁,3-1,李斯特城,1-0,輸[+0/0.5],大[2/2.5],雙,,,●,
英冠,2012-03-07,布里斯托城,3-2,李斯特城,1-1,輸[-0.5],大[2.5],單,,,●,
英冠,2012-03-03,李斯特城,2-0,高雲地利,1-0,贏[-1],小[2.5],雙,,●,,
英冠,2012-02-24,打比郡,0-1,李斯特城,0-1,贏[-0/0.5],小[2/2.5],單,●,,,
英足總盃,2012-02-18,諾域治,1-2,李斯特城,1-1,贏[+0.5],大[2.5],單,,●,,
英冠,2012-02-15,屈福特,3-2,李斯特城,2-2,輸[-0/0.5],大[2/2.5],單,,,●,
英冠,2012-02-11,李斯特城,2-1,卡迪夫城,1-0,贏[-0.5],大[2/2.5],單,,●,,
英冠,2012-02-04,白禮頓,1-0,李斯特城,0-0,輸[0],小[2.5],單,●,,,
英冠,2012-02-02,李斯特城,2-2,米杜士堡,1-1,輸[-0.5],大[2.5],雙,,,●,
英足總盃,2012-01-28,李斯特城,2-0,史雲頓,1-0,贏[-1],小[2.5],雙,,●,,
英冠,2012-01-24,修咸頓,0-2,李斯特城,0-2,贏[+0.5],小[2/2.5],雙,,●,,
英足總盃,2012-01-18,李斯特城,4-0,諾定咸森林,2-0,贏[-0.5/1],大[2/2.5],雙,,,●,
英冠,2012-01-14,李斯特城,1-2,班士利,1-2,輸[-0.5/1],大[2.5],單,,●,,
英足總盃,2012-01-07,諾定咸森林,0-0,李斯特城,0-0,走[0],小[2.5],雙,●,,,
英冠,2012-01-02,水晶宮,1-2,李斯特城,1-2,贏[-0/0.5],大[2/2.5],單,,●,,
英冠,2011-12-31,李斯特城,1-1,樸茨茅夫,1-1,輸[-0.5/1],小[2/2.5],雙,,●,,
英冠,2011-12-26,李斯特城,1-1,葉士域治,0-1,輸[-1],小[2.5/3],雙,,●,,
英冠,2011-12-17,唐卡士打,2-1,李斯特城,0-1,輸[-0.5],大[2.5],單,,●,,
英冠,2011-12-10,李斯特城,1-1,彼德堡,0-0,輸[-0.5/1],小[3],雙,,●,,
英冠,2011-12-03,侯城,2-1,李斯特城,1-1,輸[-0/0.5],大[2/2.5],單,,●,,
英冠,2011-11-30,李斯特城,2-0,黑池,1-0,贏[-0.5/1],小[2.5/3],雙,,●,,
英冠,2011-11-26,樸茨茅夫,1-1,李斯特城,0-0,走[0],小[2.5],雙,,●,,
英冠,2011-11-20,李斯特城,3-0,水晶宮,0-0,贏[-0.5/1],大[2.5],單,,●,,
英冠,2011-11-06,李斯特城,0-1,列斯聯,0-0,輸[-0.5/1],小[2.5/3],單,●,,,
英冠,2011-11-02,般尼,1-3,李斯特城,1-1,贏[-0/0.5],大[2.5],雙,,,●,
英冠,2011-10-29,韋斯咸,3-2,李斯特城,2-0,輸[+0.5],大[2.5],單,,,●,
英冠,2011-10-22,李斯特城,0-3,米禾爾,0-2,輸[-0.5/1],大[2.5],單,,●,,
英冠,2011-10-20,李斯特城,2-0,屈福特,2-0,贏[-1],小[2.5/3],雙,,●,,
英冠,2011-10-16,伯明翰,2-0,李斯特城,0-0,輸[0],小[2/2.5],雙,,●,,
英冠,2011-10-02,李斯特城,4-0,打比郡,2-0,贏[-1],大[2.5/3],雙,,,●,
英冠,2011-09-29,米杜士堡,0-0,李斯特城,0-0,贏[+0/0.5],小[2.5],雙,●,,,
英冠,2011-09-25,卡迪夫城,0-0,李斯特城,0-0,贏[+0/0.5],小[2.5],雙,●,,,
英聯賽盃,2011-09-22,卡迪夫城,2-2,李斯特城,1-1,贏[+0/0.5],大[2.5/3],雙,,,●,
英冠,2011-09-17,李斯特城,1-0,白禮頓,0-0,贏[-0/0.5],小[2.5],單,●,,,
英冠,2011-09-10,班士利,1-1,李斯特城,1-0,輸[-0/0.5],小[2.5],雙,,●,,
