0,1,2,3,4,5,6,7,8,9,10,11,12
英超,2012-05-13,史雲斯,1-0,利物浦,0-0,輸[-0/0.5],小[2.5/3],單,●,,,
英超,2012-05-09,利物浦,4-1,車路士,3-0,贏[-0/0.5],大[2.5],單,,,●,
英足總盃,2012-05-06,車路士,2-1,利物浦,1-0,輸[0],大[2/2.5],單,,●,,
英超,2012-05-02,利物浦,0-1,富咸,0-1,輸[-0.5/1],小[2.5/3],單,●,,,
英超,2012-04-29,諾域治,0-3,利物浦,0-2,贏[-0.5],大[2.5/3],單,,●,,
英超,2012-04-22,利物浦,0-1,西布朗,0-0,輸[-1.5],小[2.5/3],單,●,,,
英足總盃,2012-04-14,利物浦,2-1,愛華頓,0-1,贏[-0/0.5],大[2/2.5],單,,●,,
英超,2012-04-11,布力般流浪,2-3,利物浦,1-2,贏[-0/0.5],大[2.5],單,,,●,
英超,2012-04-07,利物浦,1-1,阿士東維拉,0-1,輸[-1/1.5],小[2.5/3],雙,,●,,
英超,2012-04-01,紐卡素,2-0,利物浦,1-0,輸[-0/0.5],小[2.5],雙,,●,,
英超,2012-03-24,利物浦,1-2,韋根,0-1,輸[-1.5],走[3],單,,●,,
英超,2012-03-22,昆士柏流浪,3-2,利物浦,0-0,輸[-0.5],大[2.5],單,,,●,
英足總盃,2012-03-19,利物浦,2-1,史篤城,1-1,輸[-1/1.5],大[2.5],單,,●,,
英超,2012-03-14,利物浦,3-0,愛華頓,1-0,贏[-0.5/1],大[2.5],單,,●,,
英超,2012-03-10,新特蘭,1-0,利物浦,0-0,輸[-0.5],小[2/2.5],單,●,,,
英超,2012-03-03,利物浦,1-2,阿仙奴,1-1,輸[-0.5],大[2.5],單,,●,,
英聯賽盃,2012-02-27,卡迪夫城,1-1,利物浦,1-0,輸[-1.5],小[2.5],雙,,●,,
英足總盃,2012-02-20,利物浦,6-1,白禮頓,2-1,贏[-2],大[3],單,,,,●
英超,2012-02-11,曼聯,2-1,利物浦,0-0,輸[+0.5],大[2.5],單,,●,,
英超,2012-02-07,利物浦,0-0,熱刺,0-0,輸[-0.5],小[2.5],雙,●,,,
英超,2012-02-01,狼隊,0-3,利物浦,0-0,贏[-0.5/1],大[2.5],單,,●,,
英足總盃,2012-01-28,利物浦,2-1,曼聯,1-1,贏[-0/0.5],大[2/2.5],單,,●,,
英聯賽盃,2012-01-26,利物浦,2-2,曼城,1-1,走[0],大[2/2.5],雙,,,●,
英超,2012-01-22,保頓,3-1,利物浦,2-1,輸[-1],大[2.5],雙,,,●,
英超,2012-01-14,利物浦,0-0,史篤城,0-0,輸[-1/1.5],小[2.5],雙,●,,,
英聯賽盃,2012-01-12,曼城,0-1,利物浦,0-1,贏[+0.5],小[2.5],單,●,,,
英足總盃,2012-01-07,利物浦,5-1,奧咸,2-1,贏[-2],大[3/3.5],雙,,,●,
英超,2012-01-04,曼城,3-0,利物浦,2-0,輸[+0.5],大[2.5],單,,●,,
英超,2011-12-31,利物浦,3-1,紐卡素,1-1,贏[-1],大[2.5],雙,,,●,
英超,2011-12-26,利物浦,1-1,布力般流浪,0-1,輸[-2],小[3],雙,,●,,
英超,2011-12-22,韋根,0-0,利物浦,0-0,輸[-1],小[2.5],雙,●,,,
英超,2011-12-18,阿士東維拉,0-2,利物浦,0-2,贏[-0.5/1],小[2/2.5],雙,,●,,
英超,2011-12-10,利物浦,1-0,昆士柏流浪,0-0,輸[-1.5/2],小[2.5/3],單,●,,,
英超,2011-12-06,富咸,1-0,利物浦,0-0,輸[-0.5],小[2.5],單,●,,,
英聯賽盃,2011-11-30,車路士,0-2,利物浦,0-0,贏[+0.5],小[2.5],雙,,●,,
英超,2011-11-28,利物浦,1-1,曼城,1-1,走[0],小[2.5],雙,,●,,
英超,2011-11-21,車路士,1-2,利物浦,0-1,贏[+0.5],大[2.5],單,,●,,
英超,2011-11-05,利物浦,0-0,史雲斯,0-0,輸[-1.5],小[3],雙,●,,,
英超,2011-10-30,西布朗,0-2,利物浦,0-2,贏[-0.5],小[2.5],雙,,●,,
英聯賽盃,2011-10-27,史篤城,1-2,利物浦,1-0,贏[-0.5],大[2/2.5],單,,●,,
英超,2011-10-23,利物浦,1-1,諾域治,1-0,輸[-1.5],小[2.5/3],雙,,●,,
友誼賽,2011-10-19,格拉斯哥流浪,1-0,利物浦,1-0,輸[-0/0.5],小[2.5],單,●,,,
英超,2011-10-15,利物浦,1-1,曼聯,0-0,走[0],小[2.5],雙,,●,,
英超,2011-10-01,愛華頓,0-2,利物浦,0-0,贏[-0/0.5],小[2.5],雙,,●,,
英超,2011-09-24,利物浦,2-1,狼隊,2-0,輸[-1.5],大[2.5/3],單,,●,,
英聯賽盃,2011-09-22,白禮頓,1-2,利物浦,0-1,贏[-0.5/1],走[3],單,,●,,
英超,2011-09-18,熱刺,4-0,利物浦,1-0,輸[0],大[2/2.5],雙,,,●,
英超,2011-09-10,史篤城,1-0,利物浦,1-0,輸[-0/0.5],小[2/2.5],單,●,,,
英超,2011-08-28,利物浦,3-1,保頓,1-0,贏[-1/1.5],大[2.5/3],雙,,,●,
英聯賽盃,2011-08-25,埃克塞特,1-3,利物浦,0-1,贏[-1.5],大[3/3.5],雙,,,●,
英超,2011-08-20,阿仙奴,0-2,利物浦,0-0,贏[+0/0.5],小[2.5],雙,,●,,
英超,2011-08-13,利物浦,1-1,新特蘭,1-0,輸[-1/1.5],小[2.5],雙,,●,,
友誼賽,2011-08-07,利物浦,2-0,華倫西亞,1-0,贏[-0/0.5],小[2.5],雙,,●,,
友誼賽,2011-08-02,華拿倫加,3-3,利物浦,2-1,輸[-1.5],大[2.5/3],雙,,,●,
友誼賽,2011-07-29,加拉塔沙雷,3-0,利物浦,2-0,輸[-0/0.5],大[2.5],單,,●,,
友誼賽,2011-07-23,侯城,3-0,利物浦,2-0,輸[-1],大[2.5/3],單,,●,,
友誼賽,2011-07-16,馬來西亞明星隊,3-6,利物浦,1-1,贏[-2.5/3],大[3.5/4],單,,,,●
友誼賽,2011-07-13,廣東日之泉,3-4,利物浦,1-2,輸[-2.5],大[3.5/4],單,,,,●
勝 平 負,,,,,,,,,,,,
英超,2013-05-19,利物浦,1-0,昆士柏流浪,1-0,輸[-1.5/2],小[3/3.5],單,●,,,
英超,2013-05-12,富咸,1-3,利物浦,1-1,贏[-0.5],大[2.5/3],雙,,,●,
英超,2013-05-05,利物浦,0-0,愛華頓,0-0,輸[-0.5],小[2.5/3],雙,●,,,
英超,2013-04-28,紐卡素,0-6,利物浦,0-2,贏[-0/0.5],大[2.5/3],雙,,,●,
英超,2013-04-21,利物浦,2-2,車路士,0-1,輸[-0/0.5],大[2.5/3],雙,,,●,
英超,2013-04-13,雷丁,0-0,利物浦,0-0,輸[-1/1.5],小[3],雙,●,,,
英超,2013-04-07,利物浦,0-0,韋斯咸,0-0,輸[-1.5],小[3],雙,●,,,
英超,2013-03-31,阿士東維拉,1-2,利物浦,1-0,贏[-0.5/1],大[2.5/3],單,,●,,
英超,2013-03-16,修咸頓,3-1,利物浦,2-1,輸[-0.5],大[2.5/3],雙,,,●,
英超,2013-03-11,利物浦,3-2,熱刺,1-1,贏[-0.5],大[2.5/3],單,,,●,
英超,2013-03-03,韋根,0-4,利物浦,0-3,贏[-0.5/1],大[2.5/3],雙,,,●,
歐霸盃,2013-02-22,利物浦,3-1,聖彼德斯堡,2-1,贏[-1],大[2.5/3],雙,,,●,
英超,2013-02-17,利物浦,5-0,史雲斯,1-0,贏[-1/1.5],大[2.5/3],單,,,●,
