0,1,2,3,4,5,6,7,8,9,10,11,12
英超,2012-05-13,曼城,3-2,昆士柏流浪,1-0,輸[-2/2.5],大[3.5],單,,,●,
英超,2012-05-06,紐卡素,0-2,曼城,0-0,贏[-0.5/1],小[2.5/3],雙,,●,,
英超,2012-05-01,曼城,1-0,曼聯,1-0,贏[-0/0.5],小[2.5/3],單,●,,,
英超,2012-04-22,狼隊,0-2,曼城,0-1,走[-2],小[3/3.5],雙,,●,,
英超,2012-04-14,諾域治,1-6,曼城,0-2,贏[-1],大[2.5/3],單,,,,●
英超,2012-04-12,曼城,4-0,西布朗,1-0,贏[-1.5/2],大[3],雙,,,●,
英超,2012-04-08,阿仙奴,1-0,曼城,0-0,輸[+0/0.5],小[2.5/3],單,●,,,
英超,2012-03-31,曼城,3-3,新特蘭,1-2,輸[-1.5/2],大[3],雙,,,●,
英超,2012-03-25,史篤城,1-1,曼城,0-0,輸[-0.5/1],小[2.5],雙,,●,,
英超,2012-03-22,曼城,2-1,車路士,0-0,贏[-0.5],大[2.5],單,,●,,
歐霸盃,2012-03-16,曼城,3-2,士砵亭,0-2,輸[-1.5/2],大[3],單,,,●,
英超,2012-03-11,史雲斯,1-0,曼城,0-0,輸[-0.5/1],小[2.5],單,●,,,
歐霸盃,2012-03-09,士砵亭,1-0,曼城,0-0,輸[-0.5],小[2/2.5],單,●,,,
英超,2012-03-03,曼城,2-0,保頓,1-0,輸[-2/2.5],小[3.5],雙,,●,,
英超,2012-02-26,曼城,3-0,布力般流浪,1-0,贏[-2/2.5],小[3.5],單,,●,,
歐霸盃,2012-02-23,曼城,4-0,波圖,1-0,贏[-0.5/1],大[2.5/3],雙,,,●,
歐霸盃,2012-02-17,波圖,1-2,曼城,1-0,贏[0],大[2.5],單,,●,,
英超,2012-02-13,阿士東維拉,0-1,曼城,0-0,贏[-0.5/1],小[2.5],單,●,,,
英超,2012-02-05,曼城,3-0,富咸,2-0,贏[-1.5],大[2.5/3],單,,●,,
英超,2012-02-01,愛華頓,1-0,曼城,0-0,輸[-0.5],小[2.5],單,●,,,
英聯賽盃,2012-01-26,利物浦,2-2,曼城,1-1,走[0],大[2/2.5],雙,,,●,
英超,2012-01-22,曼城,3-2,熱刺,0-0,贏[-0.5],大[2.5/3],單,,,●,
英超,2012-01-17,韋根,0-1,曼城,0-1,輸[-1/1.5],小[3],單,●,,,
英聯賽盃,2012-01-12,曼城,0-1,利物浦,0-1,輸[-0.5],小[2.5],單,●,,,
英足總盃,2012-01-08,曼城,2-3,曼聯,0-3,輸[-0/0.5],大[2.5/3],單,,,●,
英超,2012-01-04,曼城,3-0,利物浦,2-0,贏[-0.5],大[2.5],單,,●,,
英超,2012-01-01,新特蘭,1-0,曼城,0-0,輸[-0.5/1],小[2.5/3],單,●,,,
英超,2011-12-26,西布朗,0-0,曼城,0-0,輸[-1/1.5],小[2.5/3],雙,●,,,
英超,2011-12-22,曼城,3-0,史篤城,2-0,贏[-1.5/2],走[3],單,,●,,
英超,2011-12-19,曼城,1-0,阿仙奴,0-0,贏[-0.5/1],小[2.5/3],單,●,,,
英超,2011-12-13,車路士,2-1,曼城,1-1,輸[+0/0.5],大[2.5/3],單,,●,,
冠軍盃,2011-12-08,曼城,2-0,拜仁慕尼黑,1-0,贏[-1],小[2.5/3],雙,,●,,
英超,2011-12-03,曼城,5-1,諾域治,1-0,贏[-2],大[3.5],雙,,,●,
英聯賽盃,2011-11-30,阿仙奴,0-1,曼城,0-0,贏[-0/0.5],小[2.5/3],單,●,,,
英超,2011-11-28,利物浦,1-1,曼城,1-1,走[0],小[2.5],雙,,●,,
冠軍盃,2011-11-23,拿玻里,2-1,曼城,1-1,輸[-0/0.5],大[2.5],單,,●,,
英超,2011-11-19,曼城,3-1,紐卡素,2-0,贏[-1.5],大[3],雙,,,●,
英超,2011-11-06,昆士柏流浪,2-3,曼城,1-1,輸[-1/1.5],大[3],單,,,●,
冠軍盃,2011-11-03,維拉利爾,0-3,曼城,0-2,贏[-0.5/1],大[2.5],單,,●,,
英超,2011-10-29,曼城,3-1,狼隊,0-0,走[-2],大[3.5],雙,,,●,
英聯賽盃,2011-10-27,狼隊,2-5,曼城,1-3,贏[-1/1.5],大[2.5/3],單,,,,●
英超,2011-10-23,曼聯,1-6,曼城,0-1,贏[+0.5],大[2.5],單,,,,●
冠軍盃,2011-10-19,曼城,2-1,維拉利爾,1-1,輸[-1.5],大[2.5/3],單,,●,,
英超,2011-10-15,曼城,4-1,阿士東維拉,1-0,贏[-1.5],大[2.5/3],單,,,●,
英超,2011-10-01,布力般流浪,0-4,曼城,0-0,贏[-1/1.5],大[2.5/3],雙,,,●,
冠軍盃,2011-09-28,拜仁慕尼黑,2-0,曼城,2-0,輸[+0.5/1],小[2.5/3],雙,,●,,
英超,2011-09-24,曼城,2-0,愛華頓,0-0,贏[-1/1.5],小[2.5/3],雙,,●,,
英聯賽盃,2011-09-22,曼城,2-0,伯明翰,2-0,走[-2],小[3.5],雙,,●,,
英超,2011-09-18,富咸,2-2,曼城,0-1,輸[-0.5/1],大[2.5/3],雙,,,●,
冠軍盃,2011-09-15,曼城,1-1,拿玻里,0-0,輸[-1.5],小[3],雙,,●,,
英超,2011-09-10,曼城,3-0,韋根,1-0,贏[-2],小[3/3.5],單,,●,,
英超,2011-08-28,熱刺,1-5,曼城,0-2,贏[-0/0.5],大[2.5/3],雙,,,●,
英超,2011-08-21,保頓,2-3,曼城,1-2,贏[-0.5/1],大[2.5/3],單,,,●,
英超,2011-08-16,曼城,4-0,史雲斯,0-0,贏[-1/1.5],大[2.5/3],雙,,,●,
英慈善盾,2011-08-07,曼城,2-3,曼聯,2-0,贏[-0/0.5],大[2/2.5],單,,,●,
友誼賽,2011-07-31,曼城,3-0,國際米蘭,1-0,贏[-0/0.5],大[2.5],單,,●,,
友誼賽,2011-07-30,愛爾蘭聯賽隊,0-3,曼城,0-0,贏[-2],小[3/3.5],單,,●,,
國際冠軍盃,2011-07-25,洛杉磯銀河,1-1,曼城,0-1,輸[-1],小[2.5/3],雙,,●,,
國際冠軍盃,2011-07-19,溫哥華白帽,1-2,曼城,1-0,輸[-1.5],走[3],單,,●,,
國際冠軍盃,2011-07-17,阿美利加會,0-2,曼城,0-2,贏[-0.5/1],小[3],雙,,●,,
勝 平 負,,,,,,,,,,,,
英超,2013-05-19,曼城,2-3,諾域治,1-1,輸[-1.5/2],大[3/3.5],單,,,●,
英超,2013-05-15,雷丁,0-2,曼城,0-1,贏[-1/1.5],小[3],雙,,●,,
英足總盃,2013-05-12,曼城,0-1,韋根,0-0,輸[-1.5],小[2.5/3],單,●,,,
英超,2013-05-08,曼城,1-0,西布朗,1-0,輸[-1/1.5],小[3],單,●,,,
英超,2013-05-04,史雲斯,0-0,曼城,0-0,輸[-0.5/1],小[2.5],雙,●,,,
英超,2013-04-27,曼城,2-1,韋斯咸,1-0,輸[-1.5/2],走[3],單,,●,,
英超,2013-04-21,熱刺,3-1,曼城,0-1,輸[0],大[2.5],雙,,,●,
英超,2013-04-18,曼城,1-0,韋根,0-0,輸[-1.5],小[3],單,●,,,
英足總盃,2013-04-14,車路士,1-2,曼城,0-1,贏[-0/0.5],大[2.5],單,,●,,
英超,2013-04-09,曼聯,1-2,曼城,0-0,贏[+0/0.5],大[2.5/3],單,,●,,
英超,2013-03-30,曼城,4-0,紐卡素,2-0,贏[-1.5/2],大[3],雙,,,●,
英超,2013-03-16,愛華頓,2-0,曼城,1-0,輸[-0/0.5],小[2.5],雙,,●,,
英足總盃,2013-03-10,曼城,5-0,班士利,3-0,贏[-2.5],大[3.5],單,,,●,
英超,2013-03-05,阿士東維拉,0-1,曼城,0-1,輸[-1/1.5],小[2.5/3],單,●,,,
英超,2013-02-24,曼城,2-0,車路士,0-0,贏[-0.5],小[2.5/3],雙,,●,,
英足總盃,2013-02-17,曼城,4-0,列斯聯,2-0,贏[-2/2.5],大[3.5],雙,,,●,
英超,2013-02-10,修咸頓,3-1,曼城,2-1,輸[-0.5/1],大[2.5/3],雙,,,●,
英超,2013-02-04,曼城,2-2,利物浦,1-1,輸[-0.5],大[2.5/3],雙,,,●,
英超,2013-01-30,昆士柏流浪,0-0,曼城,0-0,輸[-1/1.5],小[2.5/3],雙,●,,,
英足總盃,2013-01-26,史篤城,0-1,曼城,0-0,贏[-0.5],小[2.5],單,●,,,
英超,2013-01-19,曼城,2-0,富咸,1-0,贏[-1.5/2],小[3],雙,,●,,
英超,2013-01-14,阿仙奴,0-2,曼城,0-2,贏[0],小[2.5/3],雙,,●,,
英足總盃,2013-01-05,曼城,3-0,屈福特,2-0,贏[-2.5],小[3.5],單,,●,,
英超,2013-01-01,曼城,3-0,史篤城,1-0,贏[-1.5],大[2.5/3],單,,●,,
英超,2012-12-29,諾域治,3-4,曼城,1-2,走[-1],大[2.5/3],單,,,,●
英超,2012-12-26,新特蘭,1-0,曼城,0-0,輸[-1],小[2.5],單,●,,,
英超,2012-12-22,曼城,1-0,雷丁,0-0,輸[-2.5],小[3.5],單,●,,,
英超,2012-12-15,紐卡素,1-3,曼城,0-2,贏[-0.5/1],大[2.5/3],雙,,,●,
英超,2012-12-09,曼城,2-3,曼聯,0-2,輸[-0.5],大[2.5/3],單,,,●,
冠軍盃,2012-12-05,多蒙特,1-0,曼城,0-0,輸[+0.5],小[2.5/3],單,●,,,
英超,2012-12-01,曼城,1-1,愛華頓,1-1,輸[-1],小[2.5/3],雙,,●,,
英超,2012-11-29,韋根,0-2,曼城,0-0,贏[-1/1.5],小[2.5/3],雙,,●,,
英超,2012-11-26,車路士,0-0,曼城,0-0,走[0],小[2.5/3],雙,●,,,
冠軍盃,2012-11-22,曼城,1-1,皇家馬德里,0-1,贏[+0/0.5],小[3],雙,,●,,
英超,2012-11-17,曼城,5-0,阿士東維拉,1-0,贏[-1.5/2],大[3/3.5],單,,,●,
英超,2012-11-11,曼城,2-1,熱刺,0-1,走[-1],大[2.5/3],單,,●,,
冠軍盃,2012-11-07,曼城,2-2,阿積士,1-2,輸[-1/1.5],大[3],雙,,,●,
英超,2012-11-04,韋斯咸,0-0,曼城,0-0,輸[-0.5/1],小[2.5/3],雙,●,,,
英超,2012-10-28,曼城,1-0,史雲斯,0-0,輸[-1.5/2],小[3/3.5],單,●,,,
冠軍盃,2012-10-25,阿積士,3-1,曼城,1-1,輸[-0.5],大[2.5/3],雙,,,●,
英超,2012-10-20,西布朗,1-2,曼城,0-0,贏[-0.5/1],大[2.5/3],單,,●,,
英超,2012-10-06,曼城,3-0,新特蘭,1-0,贏[-1.5],走[3],單,,●,,
冠軍盃,2012-10-04,曼城,1-1,多蒙特,0-0,輸[-0.5],小[2.5/3],雙,,●,,
英超,2012-09-29,富咸,1-2,曼城,1-1,贏[-0.5],大[2.5],單,,●,,
英聯賽盃,2012-09-26,曼城,2-2,阿士東維拉,1-0,輸[-1/1.5],大[3/3.5],雙,,,●,
英超,2012-09-23,曼城,1-1,阿仙奴,1-0,輸[-0.5/1],小[2.5/3],雙,,●,,
冠軍盃,2012-09-19,皇家馬德里,3-2,曼城,0-0,走[+1],大[3],單,,,●,
英超,2012-09-15,史篤城,1-1,曼城,1-1,輸[-0.5/1],小[2.5],雙,,●,,
英超,2012-09-02,曼城,3-1,昆士柏流浪,1-0,走[-2],大[3.5],雙,,,●,
英超,2012-08-26,利物浦,2-2,曼城,1-0,輸[-0/0.5],大[2.5],雙,,,●,
英超,2012-08-19,曼城,3-2,修咸頓,1-0,輸[-2/2.5],大[3/3.5],單,,,●,
英社區盾,2012-08-12,車路士,2-3,曼城,1-0,贏[-0/0.5],大[2.5/3],單,,,●,
友誼賽,2012-08-06,利麥立克,0-4,曼城,0-3,贏[-2],大[3.5/4],雙,,,●,
友誼賽,2012-08-05,沃爾夫斯堡,0-2,曼城,0-1,贏[-0.5],小[2.5/3],雙,,●,,
友誼賽,2012-07-30,馬來西亞明星隊,1-3,曼城,0-1,輸[-2.5],大[3.5],雙,,,●,
友誼賽,2012-07-27,曼城,2-0,阿仙奴,2-0,贏[-0.5],小[2.5],雙,,●,,
友誼賽,2012-07-21,比錫達斯,0-2,曼城,0-1,贏[-1],小[2.5/3],雙,,●,,
友誼賽,2012-07-18,特雷斯登,0-0,曼城,0-0,輸[-1.5],小[3],雙,●,,,
友誼賽,2012-07-14,希拉爾,1-0,曼城,0-0,輸[-2/2.5],小[3.5],單,●,,,
勝 平 負,,,,,,,,,,,,
英超,2014-05-11,曼城,2-0,韋斯咸,1-0,輸[-2/2.5],小[3.5/4],雙,,●,,
英超,2014-05-08,曼城,4-0,阿士東維拉,0-0,贏[-2/2.5],大[3.5],雙,,,●,
英超,2014-05-04,愛華頓,2-3,曼城,1-2,贏[-0.5/1],大[3],單,,,●,
英超,2014-04-27,水晶宮,0-2,曼城,0-2,贏[-1/1.5],小[2.5/3],雙,,●,,
英超,2014-04-22,曼城,3-1,西布朗,3-1,贏[-1.5/2],大[3.5],雙,,,●,
英超,2014-04-17,曼城,2-2,新特蘭,1-0,輸[-2/2.5],大[3.5],雙,,,●,
英超,2014-04-13,利物浦,3-2,曼城,2-0,輸[+0/0.5],大[3/3.5],單,,,●,
英超,2014-04-05,曼城,4-1,修咸頓,3-1,贏[-1.5],大[3/3.5],單,,,●,
英超,2014-03-30,阿仙奴,1-1,曼城,0-1,輸[-0.5],小[2.5],雙,,●,,
英超,2014-03-26,曼聯,0-3,曼城,0-1,贏[-0/0.5],大[2.5/3],單,,●,,
英超,2014-03-22,曼城,5-0,富咸,1-0,贏[-2/2.5],大[3.5],單,,,●,
英超,2014-03-15,侯城,0-2,曼城,0-1,贏[-1],小[2.5/3],雙,,●,,
歐冠盃,2014-03-13,巴塞隆拿,2-1,曼城,0-0,走[+1],小[3/3.5],單,,●,,
英足總盃,2014-03-10,曼城,1-2,韋根,0-1,輸[-2],小[3/3.5],單,,●,,
英聯賽盃,2014-03-02,曼城,3-1,新特蘭,0-1,贏[-1.5/2],大[3],雙,,,●,
