0,1,2,3,4,5,6,7,8,9,10,11,12
英超,2012-05-13,新特蘭,0-1,曼聯,0-1,輸[-1/1.5],小[3],單,●,,,
英超,2012-05-06,曼聯,2-0,史雲斯,2-0,輸[-2/2.5],小[3/3.5],雙,,●,,
英超,2012-05-01,曼城,1-0,曼聯,1-0,輸[+0/0.5],小[2.5/3],單,●,,,
英超,2012-04-22,曼聯,4-4,愛華頓,1-1,輸[-1/1.5],大[2.5/3],雙,,,,●
英超,2012-04-15,曼聯,4-0,阿士東維拉,2-0,贏[-2],大[3],雙,,,●,
英超,2012-04-12,韋根,1-0,曼聯,0-0,輸[-1/1.5],小[2.5/3],單,●,,,
英超,2012-04-08,曼聯,2-0,昆士柏流浪,1-0,走[-2],小[3/3.5],雙,,●,,
英超,2012-04-03,布力般流浪,0-2,曼聯,0-0,贏[-1/1.5],小[3],雙,,●,,
英超,2012-03-27,曼聯,1-0,富咸,1-0,輸[-1.5/2],小[3],單,●,,,
英超,2012-03-18,狼隊,0-5,曼聯,0-3,贏[-1.5],大[3],單,,,●,
歐霸盃,2012-03-16,畢爾包,2-1,曼聯,1-0,輸[0],走[3],單,,●,,
英超,2012-03-11,曼聯,2-0,西布朗,1-0,贏[-1.5],小[3],雙,,●,,
歐霸盃,2012-03-09,曼聯,2-3,畢爾包,1-1,輸[-1],大[2.5/3],單,,,●,
英超,2012-03-05,熱刺,1-3,曼聯,0-1,贏[-0/0.5],大[2.5/3],雙,,,●,
英超,2012-02-26,諾域治,1-2,曼聯,0-1,走[-1],大[2.5/3],單,,●,,
歐霸盃,2012-02-24,曼聯,1-2,阿積士,1-1,輸[-1/1.5],大[2.5/3],單,,●,,
歐霸盃,2012-02-17,阿積士,0-2,曼聯,0-0,贏[-0.5],小[2.5/3],雙,,●,,
英超,2012-02-11,曼聯,2-1,利物浦,0-0,贏[-0.5],大[2.5],單,,●,,
英超,2012-02-06,車路士,3-3,曼聯,1-0,走[0],大[2.5],雙,,,●,
英超,2012-02-01,曼聯,2-0,史篤城,1-0,贏[-1.5],小[2.5/3],雙,,●,,
英足總盃,2012-01-28,利物浦,2-1,曼聯,1-1,輸[+0/0.5],大[2/2.5],單,,●,,
英超,2012-01-23,阿仙奴,1-2,曼聯,0-1,贏[0],大[2.5/3],單,,●,,
英超,2012-01-14,曼聯,3-0,保頓,1-0,贏[-2/2.5],小[3.5],單,,●,,
英足總盃,2012-01-08,曼城,2-3,曼聯,0-3,贏[+0/0.5],大[2.5/3],單,,,●,
英超,2012-01-05,紐卡素,3-0,曼聯,1-0,輸[-0.5/1],大[2.5],單,,●,,
英超,2011-12-31,曼聯,2-3,布力般流浪,0-1,輸[-2.5],大[3.5],單,,,●,
英超,2011-12-26,曼聯,5-0,韋根,2-0,贏[-2],大[3/3.5],單,,,●,
英超,2011-12-22,富咸,0-5,曼聯,0-3,贏[-0.5],大[2.5],單,,,●,
英超,2011-12-18,昆士柏流浪,0-2,曼聯,0-1,贏[-1],小[2.5/3],雙,,●,,
英超,2011-12-10,曼聯,4-1,狼隊,2-0,贏[-1.5/2],大[3/3.5],單,,,●,
冠軍盃,2011-12-08,巴素利,2-1,曼聯,1-0,輸[-0.5/1],大[2.5/3],單,,●,,
英超,2011-12-04,阿士東維拉,0-1,曼聯,0-1,贏[-0.5/1],小[2.5/3],單,●,,,
英聯賽盃,2011-12-01,曼聯,1-1,水晶宮,0-0,輸[-2],小[3],雙,,●,,
英超,2011-11-26,曼聯,1-1,紐卡素,0-0,輸[-1.5],小[3],雙,,●,,
冠軍盃,2011-11-23,曼聯,2-2,賓菲加,1-1,輸[-0.5/1],大[2.5],雙,,,●,
英超,2011-11-20,史雲斯,0-1,曼聯,0-1,走[-1],小[2.5/3],單,●,,,
英超,2011-11-05,曼聯,1-0,新特蘭,1-0,輸[-1.5/2],小[3],單,●,,,
冠軍盃,2011-11-03,曼聯,2-0,加拉治,1-0,輸[-2.5],小[3/3.5],雙,,●,,
英超,2011-10-29,愛華頓,0-1,曼聯,0-1,贏[-0.5],小[2.5],單,●,,,
英聯賽盃,2011-10-26,艾迪索特,0-3,曼聯,0-2,贏[-1.5/2],小[3/3.5],單,,●,,
英超,2011-10-23,曼聯,1-6,曼城,0-1,輸[-0.5],大[2.5],單,,,,●
冠軍盃,2011-10-19,加拉治,0-2,曼聯,0-0,贏[-1.5],小[2.5/3],雙,,●,,
英超,2011-10-15,利物浦,1-1,曼聯,0-0,走[0],小[2.5],雙,,●,,
英超,2011-10-01,曼聯,2-0,諾域治,0-0,輸[-2/2.5],小[3.5],雙,,●,,
冠軍盃,2011-09-28,曼聯,3-3,巴素利,2-0,輸[-1.5/2],大[3/3.5],雙,,,●,
英超,2011-09-25,史篤城,1-1,曼聯,0-1,輸[-0.5/1],小[2.5/3],雙,,●,,
英聯賽盃,2011-09-21,列斯聯,0-3,曼聯,0-3,贏[-1],小[3/3.5],單,,●,,
英超,2011-09-18,曼聯,3-1,車路士,3-0,贏[-0.5],大[2.5/3],雙,,,●,
冠軍盃,2011-09-15,賓菲加,1-1,曼聯,1-1,輸[-0.5],小[2.5],雙,,●,,
英超,2011-09-11,保頓,0-5,曼聯,0-3,贏[-1/1.5],大[3/3.5],單,,,●,
英超,2011-08-28,曼聯,8-2,阿仙奴,3-1,贏[-1/1.5],大[2.5/3],雙,,,,●
英超,2011-08-23,曼聯,3-0,熱刺,0-0,贏[-1],大[2.5/3],單,,●,,
英超,2011-08-14,西布朗,1-2,曼聯,1-1,贏[-0.5/1],大[2.5/3],單,,●,,
英慈善盾,2011-08-07,曼城,2-3,曼聯,2-0,輸[+0/0.5],大[2/2.5],單,,,●,
友誼賽,2011-08-06,曼聯,6-0,紐約宇宙,2-0,贏[-2.5],大[4.5],雙,,,●,
國際冠軍盃,2011-07-31,巴塞隆拿,1-2,曼聯,0-1,贏[+0/0.5],大[2.5/3],單,,●,,
美職全明星,2011-07-28,美職聯明星隊,0-4,曼聯,0-2,贏[-1/1.5],走[4],雙,,,●,
國際冠軍盃,2011-07-24,芝加哥火燄,1-3,曼聯,1-0,贏[-1.5],大[3.5/4],雙,,,●,
友誼賽,2011-07-21,西雅圖海灣者,0-7,曼聯,0-1,贏[-1/1.5],大[3/3.5],單,,,,●
國際冠軍盃,2011-07-14,新英倫革命,1-4,曼聯,0-0,贏[-1.5],大[3/3.5],單,,,●,
友誼賽,2011-05-25,曼聯,1-2,祖雲達斯,1-1,輸[-0/0.5],小[3.5],單,,●,,
勝 平 負,,,,,,,,,,,,
英超,2013-05-19,西布朗,5-5,曼聯,1-3,輸[-0.5],大[2.5/3],雙,,,,●
英超,2013-05-12,曼聯,2-1,史雲斯,1-0,輸[-1.5],走[3],單,,●,,
英超,2013-05-05,曼聯,0-1,車路士,0-0,輸[-0/0.5],小[2.5/3],單,●,,,
英超,2013-04-28,阿仙奴,1-1,曼聯,1-1,贏[+0/0.5],小[2.5/3],雙,,●,,
英超,2013-04-23,曼聯,3-0,阿士東維拉,3-0,贏[-1.5/2],小[3/3.5],單,,●,,
英超,2013-04-18,韋斯咸,2-2,曼聯,1-1,輸[-0.5/1],大[2.5/3],雙,,,●,
英超,2013-04-14,史篤城,0-2,曼聯,0-1,贏[-1],小[2.5],雙,,●,,
英超,2013-04-09,曼聯,1-2,曼城,0-0,輸[-0/0.5],大[2.5/3],單,,●,,
英足總盃,2013-04-01,車路士,1-0,曼聯,0-0,輸[+0/0.5],小[2.5/3],單,●,,,
英超,2013-03-30,新特蘭,0-1,曼聯,0-1,贏[-0.5/1],小[2.5],單,●,,,
英超,2013-03-17,曼聯,1-0,雷丁,1-0,輸[-2/2.5],小[3.5],單,●,,,
英足總盃,2013-03-11,曼聯,2-2,車路士,2-0,輸[-0.5],大[2.5/3],雙,,,●,
冠軍盃,2013-03-06,曼聯,1-2,皇家馬德里,0-0,輸[+0/0.5],走[3],單,,●,,
英超,2013-03-02,曼聯,4-0,諾域治,1-0,贏[-1.5],大[3],雙,,,●,
英超,2013-02-23,昆士柏流浪,0-2,曼聯,0-1,贏[-1],小[2.5/3],雙,,●,,
英足總盃,2013-02-19,曼聯,2-1,雷丁,0-0,輸[-1.5/2],小[3/3.5],單,,●,,
冠軍盃,2013-02-14,皇家馬德里,1-1,曼聯,1-1,贏[+1],小[3],雙,,●,,
英超,2013-02-11,曼聯,2-0,愛華頓,2-0,贏[-0.5/1],小[3],雙,,●,,
英超,2013-02-03,富咸,0-1,曼聯,0-0,走[-1],小[3],單,●,,,
英超,2013-01-31,曼聯,2-1,修咸頓,2-1,輸[-1.5/2],小[3.5],單,,●,,
英足總盃,2013-01-27,曼聯,4-1,富咸,1-0,贏[-1.5],大[3],單,,,●,
英超,2013-01-21,熱刺,1-1,曼聯,0-1,輸[-0/0.5],小[2.5/3],雙,,●,,
英足總盃,2013-01-17,曼聯,1-0,韋斯咸,1-0,輸[-1.5],小[3/3.5],單,●,,,
