0,1,2,3,4,5,6,7,8,9,10,11,12
英超,2012-05-13,愛華頓,3-1,紐卡素,2-0,輸[+0/0.5],大[2.5/3],雙,,,●,
英超,2012-05-06,紐卡素,0-2,曼城,0-0,輸[+0.5/1],小[2.5/3],雙,,●,,
英超,2012-05-03,車路士,0-2,紐卡素,0-1,贏[+1/1.5],小[3],雙,,●,,
英超,2012-04-28,韋根,4-0,紐卡素,4-0,輸[0],大[2.5],雙,,,●,
英超,2012-04-21,紐卡素,3-0,史篤城,2-0,贏[-0.5/1],大[2.5],單,,●,,
英超,2012-04-09,紐卡素,2-0,保頓,0-0,贏[-1],小[2.5/3],雙,,●,,
英超,2012-04-06,史雲斯,0-2,紐卡素,0-1,贏[+0/0.5],小[2/2.5],雙,,●,,
英超,2012-04-01,紐卡素,2-0,利物浦,1-0,贏[+0/0.5],小[2.5],雙,,●,,
英超,2012-03-25,西布朗,1-3,紐卡素,0-3,贏[+0.5],大[2.5],雙,,,●,
英超,2012-03-19,紐卡素,1-0,諾域治,1-0,贏[-0.5/1],小[2.5/3],單,●,,,
英超,2012-03-13,阿仙奴,2-1,紐卡素,1-1,贏[+1/1.5],走[3],單,,●,,
英超,2012-03-04,紐卡素,1-1,新特蘭,0-1,輸[-0/0.5],小[2.5],雙,,●,,
英超,2012-02-25,紐卡素,2-2,狼隊,2-0,輸[-1],大[2.5],雙,,,●,
英超,2012-02-12,熱刺,5-0,紐卡素,4-0,輸[+1],大[2.5/3],單,,,●,
英超,2012-02-05,紐卡素,2-1,阿士東維拉,1-1,贏[-0.5],大[2.5],單,,●,,
英超,2012-02-02,布力般流浪,0-2,紐卡素,0-1,贏[+0/0.5],小[2.5],雙,,●,,
英足總盃,2012-01-29,白禮頓,1-0,紐卡素,0-0,輸[-0/0.5],小[2.5],單,●,,,
英超,2012-01-21,富咸,5-2,紐卡素,0-1,輸[+0.5],大[2.5],單,,,,●
英超,2012-01-15,紐卡素,1-0,昆士柏流浪,1-0,贏[-0.5/1],小[2.5],單,●,,,
英足總盃,2012-01-07,紐卡素,2-1,布力般流浪,0-1,贏[-0.5/1],大[2.5],單,,●,,
英超,2012-01-05,紐卡素,3-0,曼聯,1-0,贏[+0.5/1],大[2.5],單,,●,,
英超,2011-12-31,利物浦,3-1,紐卡素,1-1,輸[+1],大[2.5],雙,,,●,
英超,2011-12-26,保頓,0-2,紐卡素,0-0,贏[0],小[2.5/3],雙,,●,,
英超,2011-12-22,紐卡素,2-3,西布朗,1-2,輸[-0.5],大[2.5],單,,,●,
英超,2011-12-17,紐卡素,0-0,史雲斯,0-0,輸[-0.5/1],小[2.5],雙,●,,,
英超,2011-12-10,諾域治,4-2,紐卡素,1-1,輸[+0/0.5],大[2.5],雙,,,●,
英超,2011-12-03,紐卡素,0-3,車路士,0-1,輸[+0.5],大[2.5],單,,●,,
英超,2011-11-26,曼聯,1-1,紐卡素,0-0,贏[+1.5],小[3],雙,,●,,
英超,2011-11-19,曼城,3-1,紐卡素,2-0,輸[+1.5],大[3],雙,,,●,
英超,2011-11-05,紐卡素,2-1,愛華頓,2-1,贏[-0/0.5],大[2.5],單,,●,,
英超,2011-11-01,史篤城,1-3,紐卡素,0-2,贏[+0.5],大[2/2.5],雙,,,●,
英聯賽盃,2011-10-27,布力般流浪,2-2,紐卡素,1-0,輸[-0/0.5],大[2.5],雙,,,●,
英超,2011-10-22,紐卡素,1-0,韋根,0-0,走[-1],小[2.5],單,●,,,
英超,2011-10-16,紐卡素,2-2,熱刺,0-1,走[0],大[2.5],雙,,,●,
英超,2011-10-01,狼隊,1-2,紐卡素,0-2,贏[+0/0.5],大[2.5],單,,●,,
英超,2011-09-24,紐卡素,3-1,布力般流浪,2-1,贏[-0.5],大[2.5],雙,,,●,
英聯賽盃,2011-09-21,諾定咸森林,2-2,紐卡素,0-1,走[0],大[2.5/3],雙,,,●,
英超,2011-09-17,阿士東維拉,1-1,紐卡素,1-0,贏[+0.5],小[2.5],雙,,●,,
英超,2011-09-13,昆士柏流浪,0-0,紐卡素,0-0,贏[+0/0.5],小[2/2.5],雙,●,,,
英超,2011-08-28,紐卡素,2-1,富咸,0-0,贏[-0/0.5],大[2/2.5],單,,●,,
英聯賽盃,2011-08-26,斯肯索普,1-1,紐卡素,1-0,輸[-0.5/1],小[2.5/3],雙,,●,,
英超,2011-08-20,新特蘭,0-1,紐卡素,0-0,贏[+0/0.5],小[2/2.5],單,●,,,
英超,2011-08-14,紐卡素,0-0,阿仙奴,0-0,贏[+0.5],小[2.5/3],雙,●,,,
友誼賽,2011-07-31,列斯聯,3-2,紐卡素,1-1,輸[-0/0.5],大[2.5],單,,,●,
友誼賽,2011-07-27,哥倫布機員,0-3,紐卡素,0-1,贏[-0.5],大[2.5],單,,●,,
友誼賽,2011-07-21,肯薩斯體育會,0-0,紐卡素,0-0,輸[-0.5],小[2.5/3],雙,●,,,
友誼賽,2011-07-16,達寧頓,0-2,紐卡素,0-1,贏[-1/1.5],小[3],雙,,●,,
勝 平 負,,,,,,,,,,,,
英超,2013-05-19,紐卡素,0-1,阿仙奴,0-0,走[+1],小[3],單,●,,,
英超,2013-05-12,昆士柏流浪,1-2,紐卡素,1-2,贏[-0/0.5],大[2.5],單,,●,,
英超,2013-05-04,韋斯咸,0-0,紐卡素,0-0,贏[+0/0.5],小[2.5/3],雙,●,,,
英超,2013-04-28,紐卡素,0-6,利物浦,0-2,輸[+0/0.5],大[2.5/3],雙,,,●,
英超,2013-04-20,西布朗,1-1,紐卡素,0-1,贏[+0/0.5],小[2.5/3],雙,,●,,
英超,2013-04-14,紐卡素,0-3,新特蘭,0-1,輸[-0.5],大[2.5],單,,●,,
歐霸盃,2013-04-12,紐卡素,1-1,賓菲加,0-0,贏[+0/0.5],小[2.5],雙,,●,,
英超,2013-04-07,紐卡素,1-0,富咸,0-0,贏[-0.5],小[2.5],單,●,,,
歐霸盃,2013-04-05,賓菲加,3-1,紐卡素,1-1,輸[+1/1.5],大[2.5],雙,,,●,
英超,2013-03-30,曼城,4-0,紐卡素,2-0,輸[+1.5/2],大[3],雙,,,●,
英超,2013-03-18,韋根,2-1,紐卡素,1-0,輸[+0/0.5],大[2.5],單,,●,,
歐霸盃,2013-03-15,紐卡素,1-0,安捷,0-0,贏[-0/0.5],小[2/2.5],單,●,,,
英超,2013-03-10,紐卡素,2-1,史篤城,0-0,贏[-0.5],大[2/2.5],單,,●,,
歐霸盃,2013-03-08,安捷,0-0,紐卡素,0-0,贏[+1],小[2.5],雙,●,,,
英超,2013-03-02,史雲斯,1-0,紐卡素,0-0,輸[+0.5],小[2.5],單,●,,,
英超,2013-02-24,紐卡素,4-2,修咸頓,2-1,贏[-0/0.5],大[2.5/3],雙,,,●,
