0,1,2,3,4,5,6,7,8,9,10,11,12
英超,2012-05-13,諾域治,2-0,阿士東維拉,2-0,贏[-0/0.5],小[2.5/3],雙,,●,,
英超,2012-05-05,阿仙奴,3-3,諾域治,1-2,贏[+2/2.5],大[3.5],雙,,,●,
英超,2012-04-29,諾域治,0-3,利物浦,0-2,輸[+0.5],大[2.5/3],單,,●,,
英超,2012-04-21,布力般流浪,2-0,諾域治,1-0,輸[+0.5],小[2.5/3],雙,,●,,
英超,2012-04-14,諾域治,1-6,曼城,0-2,輸[+1],大[2.5/3],單,,,,●
英超,2012-04-09,熱刺,1-2,諾域治,1-1,贏[+1.5/2],小[3/3.5],單,,●,,
英超,2012-04-07,諾域治,2-2,愛華頓,1-1,贏[+0/0.5],大[2/2.5],雙,,,●,
英超,2012-03-31,富咸,2-1,諾域治,2-0,輸[+0.5/1],大[2.5/3],單,,●,,
英超,2012-03-24,諾域治,2-1,狼隊,2-1,贏[-0.5],大[2.5/3],單,,●,,
英超,2012-03-19,紐卡素,1-0,諾域治,1-0,輸[+0.5/1],小[2.5/3],單,●,,,
英超,2012-03-12,諾域治,1-1,韋根,1-0,輸[-0.5],小[2.5],雙,,●,,
英超,2012-03-03,史篤城,1-0,諾域治,0-0,輸[+0.5],小[2.5],單,●,,,
英超,2012-02-26,諾域治,1-2,曼聯,0-1,走[+1],大[2.5/3],單,,●,,
英足總盃,2012-02-18,諾域治,1-2,李斯特城,1-1,輸[-0.5],大[2.5],單,,●,,
英超,2012-02-11,史雲斯,2-3,諾域治,1-0,贏[+0.5/1],大[2.5],單,,,●,
英超,2012-02-04,諾域治,2-0,保頓,0-0,贏[-0.5],小[2.5/3],雙,,●,,
英超,2012-02-02,新特蘭,3-0,諾域治,2-0,輸[+0.5/1],大[2.5],單,,●,,
英足總盃,2012-01-28,西布朗,1-2,諾域治,0-1,贏[+0.5],大[2.5/3],單,,●,,
英超,2012-01-21,諾域治,0-0,車路士,0-0,贏[+1],小[2.5/3],雙,●,,,
英超,2012-01-14,西布朗,1-2,諾域治,0-1,贏[+0.5],大[2.5],單,,●,,
英足總盃,2012-01-07,諾域治,4-1,般尼,2-1,贏[-0.5/1],大[2.5],單,,,●,
英超,2012-01-02,昆士柏流浪,1-2,諾域治,1-1,贏[+0.5],大[2.5],單,,●,,
英超,2011-12-31,諾域治,1-1,富咸,0-1,走[0],小[2.5],雙,,●,,
英超,2011-12-28,諾域治,0-2,熱刺,0-0,輸[+0.5/1],小[2.5/3],雙,,●,,
英超,2011-12-21,狼隊,2-2,諾域治,1-1,贏[+0.5],大[2.5/3],雙,,,●,
英超,2011-12-17,愛華頓,1-1,諾域治,0-1,贏[+1],小[2.5/3],雙,,●,,
