0,1,2,3,4,5,6,7,8,9,10,11,12
英超,2012-05-13,曼城,3-2,昆士柏流浪,1-0,贏[+2/2.5],大[3.5],單,,,●,
英超,2012-05-06,昆士柏流浪,1-0,史篤城,0-0,贏[-0.5],小[2.5],單,●,,,
英超,2012-04-29,車路士,6-1,昆士柏流浪,4-0,輸[+1/1.5],大[3],單,,,,●
英超,2012-04-22,昆士柏流浪,1-0,熱刺,1-0,贏[+0.5],小[2.5/3],單,●,,,
英超,2012-04-14,西布朗,1-0,昆士柏流浪,1-0,輸[+0/0.5],小[2.5],單,●,,,
英超,2012-04-12,昆士柏流浪,3-0,史雲斯,1-0,贏[-0.5],大[2.5],單,,●,,
英超,2012-04-08,曼聯,2-0,昆士柏流浪,1-0,走[+2],小[3/3.5],雙,,●,,
英超,2012-03-31,昆士柏流浪,2-1,阿仙奴,1-1,贏[+1],大[2.5/3],單,,●,,
英超,2012-03-24,新特蘭,3-1,昆士柏流浪,1-0,輸[+0.5],大[2.5],雙,,,●,
英超,2012-03-22,昆士柏流浪,3-2,利物浦,0-0,贏[+0.5],大[2.5],單,,,●,
英超,2012-03-10,保頓,2-1,昆士柏流浪,1-0,輸[+0/0.5],大[2.5],單,,●,,
英超,2012-03-03,昆士柏流浪,1-1,愛華頓,1-1,贏[+0/0.5],小[2/2.5],雙,,●,,
英超,2012-02-25,昆士柏流浪,0-1,富咸,0-1,輸[0],小[2/2.5],單,●,,,
英超,2012-02-11,布力般流浪,3-2,昆士柏流浪,3-0,輸[+0/0.5],大[2.5],單,,,●,
英超,2012-02-04,昆士柏流浪,1-2,狼隊,1-0,輸[-0.5],大[2.5],單,,●,,
英超,2012-02-02,阿士東維拉,2-2,昆士柏流浪,1-2,贏[+0.5],大[2.5],雙,,,●,
英足總盃,2012-01-28,昆士柏流浪,0-1,車路士,0-0,贏[+1/1.5],小[2.5],單,●,,,
英超,2012-01-21,昆士柏流浪,3-1,韋根,2-0,贏[-0.5],大[2.5],雙,,,●,
英足總盃,2012-01-18,昆士柏流浪,1-0,米爾頓凱恩斯,0-0,贏[-0.5],小[2.5],單,●,,,
英超,2012-01-15,紐卡素,1-0,昆士柏流浪,1-0,輸[+0.5/1],小[2.5],單,●,,,
英足總盃,2012-01-07,米爾頓凱恩斯,1-1,昆士柏流浪,0-0,走[0],小[2.5],雙,,●,,
英超,2012-01-02,昆士柏流浪,1-2,諾域治,1-1,輸[-0.5],大[2.5],單,,●,,
英超,2011-12-31,阿仙奴,1-0,昆士柏流浪,0-0,贏[+1.5/2],小[3/3.5],單,●,,,
英超,2011-12-28,史雲斯,1-1,昆士柏流浪,1-0,贏[+0.5],小[2.5],雙,,●,,
英超,2011-12-22,昆士柏流浪,2-3,新特蘭,0-1,輸[0],大[2.5],單,,,●,
英超,2011-12-18,昆士柏流浪,0-2,曼聯,0-1,輸[+1],小[2.5/3],雙,,●,,
英超,2011-12-10,利物浦,1-0,昆士柏流浪,0-0,贏[+1.5/2],小[2.5/3],單,●,,,
英超,2011-12-03,昆士柏流浪,1-1,西布朗,1-0,輸[-0/0.5],小[2/2.5],雙,,●,,
英超,2011-11-26,諾域治,2-1,昆士柏流浪,1-0,輸[+0.5],大[2.5],單,,●,,
英超,2011-11-19,史篤城,2-3,昆士柏流浪,1-2,贏[+0.5],大[2/2.5],單,,,●,
英超,2011-11-06,昆士柏流浪,2-3,曼城,1-1,贏[+1/1.5],大[3],單,,,●,
英超,2011-10-31,熱刺,3-1,昆士柏流浪,2-0,輸[+1/1.5],大[2.5/3],雙,,,●,
英超,2011-10-23,昆士柏流浪,1-0,車路士,1-0,贏[+1.5],小[2.5/3],單,●,,,
英超,2011-10-15,昆士柏流浪,1-1,布力般流浪,1-1,輸[-0.5],小[2.5],雙,,●,,
英超,2011-10-02,富咸,6-0,昆士柏流浪,3-0,輸[+0.5],大[2.5],雙,,,●,
英超,2011-09-25,昆士柏流浪,1-1,阿士東維拉,0-0,輸[-0.5],小[2/2.5],雙,,●,,
英超,2011-09-17,狼隊,0-3,昆士柏流浪,0-2,贏[+0.5],大[2.5],單,,●,,
英超,2011-09-13,昆士柏流浪,0-0,紐卡素,0-0,輸[-0/0.5],小[2/2.5],雙,●,,,
英超,2011-08-27,韋根,2-0,昆士柏流浪,1-0,輸[+0.5],小[2/2.5],雙,,●,,
英聯賽盃,2011-08-24,昆士柏流浪,0-2,羅奇代爾,0-1,輸[-1],小[2.5],雙,,●,,
英超,2011-08-20,愛華頓,0-1,昆士柏流浪,0-1,贏[+1/1.5],小[2.5],單,●,,,
