0,1,2,3,4,5,6,7,8,9,10,11,12
英冠,2012-04-28,伯明翰,2-0,雷丁,1-0,輸[+0/0.5],小[2.5],雙,,●,,
英冠,2012-04-21,雷丁,2-2,水晶宮,1-1,輸[-1],大[2.5/3],雙,,,●,
英冠,2012-04-18,雷丁,1-0,諾定咸森林,0-0,贏[-0.5/1],小[2.5],單,●,,,
英冠,2012-04-14,修咸頓,1-3,雷丁,0-1,贏[+0/0.5],大[2.5],雙,,,●,
英冠,2012-04-11,白禮頓,0-1,雷丁,0-1,贏[-0/0.5],小[2/2.5],單,●,,,
英冠,2012-04-06,雷丁,2-0,列斯聯,0-0,贏[-1],小[2.5/3],雙,,●,,
英冠,2012-03-31,韋斯咸,2-4,雷丁,1-2,贏[+0/0.5],大[2/2.5],雙,,,●,
英冠,2012-03-24,雷丁,3-1,黑池,2-1,贏[-0.5],大[2.5/3],雙,,,●,
英冠,2012-03-21,彼德堡,3-1,雷丁,2-1,輸[-0.5],大[2.5/3],雙,,,●,
英冠,2012-03-17,班士利,0-4,雷丁,0-0,贏[-0.5],大[2/2.5],雙,,,●,
英冠,2012-03-14,唐卡士打,1-1,雷丁,1-0,輸[-0.5],小[2/2.5],雙,,●,,
英冠,2012-03-10,雷丁,3-1,李斯特城,1-0,贏[-0/0.5],大[2/2.5],雙,,,●,
英冠,2012-03-07,雷丁,1-0,樸茨茅夫,1-0,贏[-0.5/1],小[2.5],單,●,,,
英冠,2012-03-03,米禾爾,1-2,雷丁,1-1,贏[-0/0.5],大[2/2.5],單,,●,,
英冠,2012-02-25,米杜士堡,0-2,雷丁,0-1,贏[0],走[2],雙,,●,,
英冠,2012-02-18,雷丁,1-0,般尼,1-0,贏[-0.5],小[2/2.5],單,●,,,
英冠,2012-02-15,打比郡,0-1,雷丁,0-0,贏[-0/0.5],小[2/2.5],單,●,,,
英冠,2012-02-11,雷丁,2-0,高雲地利,2-0,贏[-0.5/1],小[2.5],雙,,●,,
英冠,2012-01-28,雷丁,1-0,布里斯托城,0-0,贏[-0.5/1],小[2.5],單,●,,,
英冠,2012-01-21,雷丁,0-1,侯城,0-0,輸[-0.5],小[2/2.5],單,●,,,
英冠,2012-01-15,屈福特,1-2,雷丁,1-1,贏[0],大[2/2.5],單,,●,,
英足總盃,2012-01-07,雷丁,0-1,史提芬納治,0-1,輸[-1],小[2.5],單,●,,,
英冠,2012-01-02,卡迪夫城,3-1,雷丁,3-1,輸[+0/0.5],大[2.5],雙,,,●,
英冠,2011-12-31,雷丁,1-0,葉士域治,0-0,贏[-0.5/1],小[2.5/3],單,●,,,
英冠,2011-12-26,雷丁,3-0,白禮頓,2-0,贏[-0.5/1],大[2/2.5],單,,●,,
英冠,2011-12-17,列斯聯,0-1,雷丁,0-1,贏[+0/0.5],小[2.5],單,●,,,
英冠,2011-12-10,雷丁,3-0,韋斯咸,0-0,贏[0],大[2.5],單,,●,,
英冠,2011-12-03,黑池,1-0,雷丁,0-0,輸[0],小[2.5],單,●,,,
英冠,2011-11-30,雷丁,3-2,彼德堡,1-1,贏[-0.5/1],大[2.5/3],單,,,●,
英冠,2011-11-26,葉士域治,2-3,雷丁,0-0,贏[0],大[2.5],單,,,●,
英冠,2011-11-19,雷丁,1-2,卡迪夫城,0-1,輸[-0/0.5],大[2.5],單,,●,,
英冠,2011-11-06,雷丁,1-0,伯明翰,0-0,贏[-0.5],小[2/2.5],單,●,,,
英冠,2011-11-02,諾定咸森林,1-0,雷丁,0-0,輸[+0/0.5],小[2.5],單,●,,,
英冠,2011-10-29,水晶宮,0-0,雷丁,0-0,走[0],小[2/2.5],雙,●,,,
英冠,2011-10-23,雷丁,1-1,修咸頓,0-0,贏[+0/0.5],小[2.5/3],雙,,●,,
英冠,2011-10-19,雷丁,2-2,打比郡,0-0,輸[-0.5/1],大[2.5],雙,,,●,
英冠,2011-10-15,般尼,0-1,雷丁,0-0,贏[0],小[2.5],單,●,,,
英冠,2011-10-01,雷丁,0-0,米杜士堡,0-0,輸[-0/0.5],小[2.5],雙,●,,,
英冠,2011-09-28,布里斯托城,2-3,雷丁,1-0,贏[-0/0.5],大[2/2.5],單,,,●,
英冠,2011-09-24,高雲地利,1-1,雷丁,1-1,輸[-0.5],小[2/2.5],雙,,●,,
英冠,2011-09-17,雷丁,2-0,唐卡士打,0-0,贏[-0.5/1],小[2.5/3],雙,,●,,
英冠,2011-09-10,雷丁,0-2,屈福特,0-1,輸[-1],小[2.5],雙,,●,,
英冠,2011-08-27,侯城,1-0,雷丁,0-0,輸[-0/0.5],小[2/2.5],單,●,,,
英聯賽盃,2011-08-24,查爾頓,2-1,雷丁,1-0,輸[-0/0.5],大[2.5],單,,●,,
英冠,2011-08-20,雷丁,1-2,班士利,0-1,輸[-1],大[2.5/3],單,,●,,
英冠,2011-08-17,樸茨茅夫,1-0,雷丁,0-0,輸[-0/0.5],小[2/2.5],單,●,,,
英冠,2011-08-13,李斯特城,0-2,雷丁,0-0,贏[+0/0.5],小[2.5/3],雙,,●,,
英冠,2011-08-06,雷丁,2-2,米禾爾,0-0,輸[-0.5],大[2.5],雙,,,●,
友誼賽,2011-07-30,史雲頓,1-2,雷丁,1-0,-,小[2.5],單,,●,,
友誼賽,2011-07-27,布里斯托流浪,1-2,雷丁,1-0,贏[-0.5],大[2.5],單,,●,,
友誼賽,2011-07-23,諾咸頓,0-3,雷丁,0-1,贏[-0.5],大[2.5/3],單,,●,,
友誼賽,2011-07-20,卡拉布克,3-1,雷丁,3-1,輸[-0/0.5],大[2.5/3],雙,,,●,
勝 平 負,,,,,,,,,,,,
英超,2013-05-19,韋斯咸,4-2,雷丁,2-0,輸[+1],大[2.5/3],雙,,,●,
英超,2013-05-15,雷丁,0-2,曼城,0-1,輸[+1/1.5],小[3],雙,,●,,
英超,2013-05-04,富咸,2-4,雷丁,0-1,贏[+0.5/1],大[2.5/3],雙,,,●,
英超,2013-04-28,雷丁,0-0,昆士柏流浪,0-0,走[0],小[2.5],雙,●,,,
英超,2013-04-20,諾域治,2-1,雷丁,0-0,輸[+0.5/1],大[2.5],單,,●,,
英超,2013-04-13,雷丁,0-0,利物浦,0-0,贏[+1/1.5],小[3],雙,●,,,
英超,2013-04-06,雷丁,0-2,修咸頓,0-1,輸[+0/0.5],小[2.5],雙,,●,,
英超,2013-03-30,阿仙奴,4-1,雷丁,1-0,輸[+1.5/2],大[3/3.5],單,,,●,
英超,2013-03-17,曼聯,1-0,雷丁,1-0,贏[+2/2.5],小[3.5],單,●,,,
英超,2013-03-09,雷丁,1-2,阿士東維拉,1-2,輸[0],大[2.5],單,,●,,
英超,2013-03-02,愛華頓,3-1,雷丁,1-0,輸[+1.5],大[2.5/3],雙,,,●,
英超,2013-02-23,雷丁,0-3,韋根,0-2,輸[0],大[2.5],單,,●,,
英足總盃,2013-02-19,曼聯,2-1,雷丁,0-0,贏[+1.5/2],小[3/3.5],單,,●,,
英超,2013-02-09,史篤城,2-1,雷丁,0-0,輸[+0.5],大[2.5],單,,●,,
英超,2013-02-02,雷丁,2-1,新特蘭,1-1,贏[-0/0.5],大[2.5],單,,●,,
