0,1,2,3,4,5,6,7,8,9,10,11,12
英冠,2012-04-28,修咸頓,4-0,高雲地利,2-0,贏[-1.5],大[2.5/3],雙,,,●,
英冠,2012-04-22,米杜士堡,2-1,修咸頓,1-1,輸[-0/0.5],大[2.5],單,,●,,
英冠,2012-04-18,彼德堡,1-3,修咸頓,0-2,贏[-1],大[3],雙,,,●,
英冠,2012-04-14,修咸頓,1-3,雷丁,0-1,輸[-0/0.5],大[2.5],雙,,,●,
英冠,2012-04-09,水晶宮,0-2,修咸頓,0-1,贏[-0.5],小[2/2.5],雙,,●,,
英冠,2012-04-07,修咸頓,2-2,樸茨茅夫,1-1,輸[-1/1.5],大[2.5],雙,,,●,
英冠,2012-04-01,黑池,3-0,修咸頓,2-0,輸[0],大[2.5],單,,●,,
英冠,2012-03-24,修咸頓,2-0,唐卡士打,0-0,贏[-1.5],小[2.5/3],雙,,●,,
英冠,2012-03-21,侯城,0-2,修咸頓,0-1,贏[0],小[2/2.5],雙,,●,,
英冠,2012-03-17,米禾爾,2-3,修咸頓,2-1,贏[-0.5],大[2.5],單,,,●,
英冠,2012-03-10,修咸頓,2-0,班士利,1-0,贏[-1/1.5],小[2.5/3],雙,,●,,
英冠,2012-03-07,修咸頓,1-1,葉士域治,0-0,輸[-0.5/1],小[2.5/3],雙,,●,,
英冠,2012-03-04,列斯聯,0-1,修咸頓,0-1,贏[-0/0.5],小[2.5],單,●,,,
英冠,2012-02-25,屈福特,0-3,修咸頓,0-2,贏[-0.5],大[2.5],單,,●,,
英冠,2012-02-18,修咸頓,4-0,打比郡,1-0,贏[-1],大[2.5],雙,,,●,
英冠,2012-02-15,韋斯咸,1-1,修咸頓,1-0,贏[+0/0.5],小[2.5],雙,,●,,
英冠,2012-02-11,修咸頓,2-0,般尼,2-0,贏[-0.5],小[2.5],雙,,●,,
英足總盃,2012-02-08,修咸頓,2-3,米禾爾,1-1,輸[-0.5/1],大[2.5],單,,,●,
英冠,2012-02-05,伯明翰,0-0,修咸頓,0-0,贏[+0.5],小[2.5],雙,●,,,
英冠,2012-02-01,修咸頓,1-1,卡迪夫城,0-1,輸[-0.5],小[2.5],雙,,●,,
英足總盃,2012-01-28,米禾爾,1-1,修咸頓,0-1,走[0],小[2.5],雙,,●,,
英冠,2012-01-24,修咸頓,0-2,李斯特城,0-2,輸[-0.5],小[2/2.5],雙,,●,,
英冠,2012-01-14,諾定咸森林,0-3,修咸頓,0-1,贏[-0/0.5],大[2.5],單,,●,,
英足總盃,2012-01-07,高雲地利,1-2,修咸頓,1-0,贏[-0/0.5],大[2.5],單,,●,,
英冠,2012-01-02,白禮頓,3-0,修咸頓,0-0,輸[-0.5],大[2.5],單,,●,,
英冠,2011-12-31,修咸頓,0-1,布里斯托城,0-0,輸[-1/1.5],小[2.5/3],單,●,,,
