0,1,2,3,4,5,6,7,8,9,10,11,12
英超,2012-05-13,史篤城,2-2,保頓,1-2,輸[-0.5],大[2.5],雙,,,●,
英超,2012-05-06,昆士柏流浪,1-0,史篤城,0-0,輸[+0.5],小[2.5],單,●,,,
英超,2012-05-02,史篤城,1-1,愛華頓,0-1,贏[+0/0.5],小[2/2.5],雙,,●,,
英超,2012-04-28,史篤城,1-1,阿仙奴,1-1,贏[+0.5],小[2.5],雙,,●,,
英超,2012-04-21,紐卡素,3-0,史篤城,2-0,輸[+0.5/1],大[2.5],單,,●,,
英超,2012-04-10,阿士東維拉,1-1,史篤城,1-0,贏[+0/0.5],小[2/2.5],雙,,●,,
英超,2012-04-08,史篤城,2-1,狼隊,1-1,贏[-0.5/1],大[2.5],單,,●,,
英超,2012-03-31,韋根,2-0,史篤城,0-0,輸[+0/0.5],小[2/2.5],雙,,●,,
英超,2012-03-25,史篤城,1-1,曼城,0-0,贏[+0.5/1],小[2.5],雙,,●,,
英超,2012-03-22,熱刺,1-1,史篤城,0-0,贏[+1/1.5],小[2.5],雙,,●,,
英足總盃,2012-03-19,利物浦,2-1,史篤城,1-1,贏[+1/1.5],大[2.5],單,,●,,
英超,2012-03-10,車路士,1-0,史篤城,0-0,贏[+1.5],小[2.5/3],單,●,,,
英超,2012-03-03,史篤城,1-0,諾域治,0-0,贏[-0.5],小[2.5],單,●,,,
英超,2012-02-26,史篤城,2-0,史雲斯,2-0,贏[-0.5],小[2/2.5],雙,,●,,
歐霸盃,2012-02-24,華倫西亞,1-0,史篤城,1-0,贏[+1.5],小[2.5],單,●,,,
英足總盃,2012-02-19,卡維尼,0-2,史篤城,0-1,贏[-0/0.5],小[2.5],雙,,●,,
歐霸盃,2012-02-17,史篤城,0-1,華倫西亞,0-1,輸[+0/0.5],小[2/2.5],單,●,,,
英超,2012-02-11,富咸,2-1,史篤城,2-0,輸[+0.5],大[2/2.5],單,,●,,
英超,2012-02-04,史篤城,0-1,新特蘭,0-0,輸[-0/0.5],小[2.5],單,●,,,
英超,2012-02-01,曼聯,2-0,史篤城,1-0,輸[+1.5],小[2.5/3],雙,,●,,
英足總盃,2012-01-28,打比郡,0-2,史篤城,0-1,贏[-0/0.5],小[2.5],雙,,●,,
英超,2012-01-21,史篤城,1-2,西布朗,0-1,輸[-0.5],大[2.5],單,,●,,
英超,2012-01-14,利物浦,0-0,史篤城,0-0,贏[+1/1.5],小[2.5],雙,●,,,
英足總盃,2012-01-07,基寧咸,1-3,史篤城,1-2,贏[-0.5],大[2.5],雙,,,●,
英超,2012-01-02,布力般流浪,1-2,史篤城,0-2,贏[0],大[2.5],單,,●,,
英超,2011-12-31,史篤城,2-2,韋根,0-1,輸[-0.5],大[2.5],雙,,,●,
英超,2011-12-27,史篤城,0-0,阿士東維拉,0-0,輸[-0.5],小[2.5],雙,●,,,
英超,2011-12-22,曼城,3-0,史篤城,2-0,輸[+1.5/2],走[3],單,,●,,
英超,2011-12-17,狼隊,1-2,史篤城,1-0,贏[+0/0.5],大[2.5],單,,●,,
歐霸盃,2011-12-15,比錫達斯,3-1,史篤城,0-1,輸[+0.5],大[2/2.5],雙,,,●,
英超,2011-12-12,史篤城,2-1,熱刺,2-0,贏[+0.5],大[2.5],單,,●,,
英超,2011-12-04,愛華頓,0-1,史篤城,0-1,贏[+0.5/1],小[2.5],單,●,,,
歐霸盃,2011-12-02,史篤城,1-1,基輔戴拿模,0-1,走[0],小[2.5],雙,,●,,
英超,2011-11-26,史篤城,3-1,布力般流浪,1-0,贏[-0.5],大[2.5],雙,,,●,
英超,2011-11-19,史篤城,2-3,昆士柏流浪,1-2,輸[-0.5],大[2/2.5],單,,,●,
英超,2011-11-06,保頓,5-0,史篤城,2-0,輸[0],大[2.5],單,,,●,
歐霸盃,2011-11-04,特拉維夫馬卡比,1-2,史篤城,0-0,贏[0],大[2.5],單,,●,,
英超,2011-11-01,史篤城,1-3,紐卡素,0-2,輸[-0.5],大[2/2.5],雙,,,●,
英聯賽盃,2011-10-27,史篤城,1-2,利物浦,1-0,輸[+0.5],大[2/2.5],單,,●,,
英超,2011-10-23,阿仙奴,3-1,史篤城,1-1,輸[+1],大[2.5/3],雙,,,●,
歐霸盃,2011-10-21,史篤城,3-0,特拉維夫馬卡比,3-0,贏[-1/1.5],大[2.5],單,,●,,
英超,2011-10-15,史篤城,2-0,富咸,0-0,贏[-0/0.5],小[2/2.5],雙,,●,,
英超,2011-10-02,史雲斯,2-0,史篤城,1-0,輸[0],小[2/2.5],雙,,●,,
歐霸盃,2011-09-30,史篤城,2-1,比錫達斯,1-1,贏[-0.5],大[2/2.5],單,,●,,
英超,2011-09-25,史篤城,1-1,曼聯,0-1,贏[+0.5/1],小[2.5/3],雙,,●,,
英聯賽盃,2011-09-21,史篤城,0-0,熱刺,0-0,走[0],小[2.5],雙,●,,,
英超,2011-09-18,新特蘭,4-0,史篤城,3-0,輸[+0/0.5],大[2/2.5],雙,,,●,
歐霸盃,2011-09-16,基輔戴拿模,1-1,史篤城,0-0,贏[+0.5],小[2/2.5],雙,,●,,
英超,2011-09-10,史篤城,1-0,利物浦,1-0,贏[+0/0.5],小[2/2.5],單,●,,,
英超,2011-08-28,西布朗,0-1,史篤城,0-0,贏[+0/0.5],小[2.5],單,●,,,
歐霸盃,2011-08-26,史篤城,4-1,杜安,3-0,贏[-1],大[2.5],單,,,●,
英超,2011-08-21,諾域治,1-1,史篤城,1-0,走[0],小[2/2.5],雙,,●,,
歐霸盃,2011-08-19,杜安,0-1,史篤城,0-1,贏[-0/0.5],小[2/2.5],單,●,,,
英超,2011-08-14,史篤城,0-0,車路士,0-0,贏[+0.5],小[2.5],雙,●,,,
歐霸盃,2011-08-05,夏積杜克,0-1,史篤城,0-0,贏[-0.5],小[2/2.5],單,●,,,
友誼賽,2011-07-30,錫周三,0-0,史篤城,0-0,輸[-0.5],小[2.5],雙,●,,,
歐霸盃,2011-07-29,史篤城,1-0,夏積杜克,1-0,輸[-1/1.5],小[2.5],單,●,,,
友誼賽,2011-07-23,艾迪索特,1-0,史篤城,0-0,輸[-1],小[2.5/3],單,●,,,
友誼賽,2011-07-23,賓福特,1-0,史篤城,0-0,輸[-0.5/1],小[2.5],單,●,,,
友誼賽,2011-07-21,紐卡素鎮,0-6,史篤城,0-1,-,大[2.5],雙,,,●,
友誼賽,2011-07-16,紐波特郡,1-1,史篤城,1-0,輸[-1/1.5],小[2.5/3],雙,,●,,
勝 平 負,,,,,,,,,,,,
英超,2013-05-19,修咸頓,1-1,史篤城,0-0,贏[+0.5/1],小[2.5],雙,,●,,
英超,2013-05-12,史篤城,1-2,熱刺,1-1,輸[+0.5],大[2.5],單,,●,,
英超,2013-05-07,新特蘭,1-1,史篤城,0-1,贏[+0/0.5],小[2/2.5],雙,,●,,
英超,2013-04-27,史篤城,1-0,諾域治,0-0,贏[-0/0.5],小[2/2.5],單,●,,,
英超,2013-04-20,昆士柏流浪,0-2,史篤城,0-1,贏[+0/0.5],小[2/2.5],雙,,●,,
英超,2013-04-14,史篤城,0-2,曼聯,0-1,輸[+1],小[2.5],雙,,●,,
英超,2013-04-06,史篤城,1-3,阿士東維拉,0-1,輸[-0.5],大[2/2.5],雙,,,●,
英超,2013-03-31,愛華頓,1-0,史篤城,1-0,輸[+0.5/1],小[2.5],單,●,,,
英超,2013-03-16,史篤城,0-0,西布朗,0-0,走[0],小[2/2.5],雙,●,,,
英超,2013-03-10,紐卡素,2-1,史篤城,0-0,輸[+0.5],大[2/2.5],單,,●,,
英超,2013-03-02,史篤城,0-1,韋斯咸,0-1,輸[-0/0.5],小[2/2.5],單,●,,,
英超,2013-02-23,富咸,1-0,史篤城,1-0,輸[+0.5],小[2/2.5],單,●,,,
英超,2013-02-09,史篤城,2-1,雷丁,0-0,贏[-0.5],大[2.5],單,,●,,
英超,2013-02-02,阿仙奴,1-0,史篤城,0-0,贏[+1/1.5],小[2.5/3],單,●,,,
英超,2013-01-30,史篤城,2-2,韋根,1-0,輸[-0/0.5],大[2/2.5],雙,,,●,
英足總盃,2013-01-26,史篤城,0-1,曼城,0-0,輸[+0.5],小[2.5],單,●,,,
