0,1,2,3,4,5,6,7,8,9,10,11,12
英超,2012-05-13,新特蘭,0-1,曼聯,0-1,贏[+1/1.5],小[3],單,●,,,
英超,2012-05-06,富咸,2-1,新特蘭,2-1,輸[+0.5/1],大[2.5],單,,●,,
英超,2012-04-28,新特蘭,2-2,保頓,1-1,輸[-0.5],大[2.5],雙,,,●,
英超,2012-04-21,阿士東維拉,0-0,新特蘭,0-0,贏[+0/0.5],小[2.5],雙,●,,,
英超,2012-04-14,新特蘭,0-0,狼隊,0-0,輸[-1],小[2.5/3],雙,●,,,
英超,2012-04-09,愛華頓,4-0,新特蘭,0-0,輸[+0.5],大[2/2.5],雙,,,●,
英超,2012-04-07,新特蘭,0-0,熱刺,0-0,贏[+0/0.5],小[2.5],雙,●,,,
英超,2012-03-31,曼城,3-3,新特蘭,1-2,贏[+1.5/2],大[3],雙,,,●,
英足總盃,2012-03-28,新特蘭,0-2,愛華頓,0-1,輸[-0/0.5],小[2/2.5],雙,,●,,
英超,2012-03-24,新特蘭,3-1,昆士柏流浪,1-0,贏[-0.5],大[2.5],雙,,,●,
英超,2012-03-21,布力般流浪,2-0,新特蘭,0-0,輸[+0/0.5],小[2.5],雙,,●,,
英足總盃,2012-03-17,愛華頓,1-1,新特蘭,1-1,贏[+0.5],小[2/2.5],雙,,●,,
英超,2012-03-10,新特蘭,1-0,利物浦,0-0,贏[+0.5],小[2/2.5],單,●,,,
英超,2012-03-04,紐卡素,1-1,新特蘭,0-1,贏[+0/0.5],小[2.5],雙,,●,,
英超,2012-02-25,西布朗,4-0,新特蘭,2-0,輸[+0/0.5],大[2/2.5],雙,,,●,
英足總盃,2012-02-19,新特蘭,2-0,阿仙奴,1-0,贏[+0/0.5],小[2.5],雙,,●,,
英超,2012-02-11,新特蘭,1-2,阿仙奴,0-0,輸[+0.5],大[2.5],單,,●,,
英足總盃,2012-02-09,米杜士堡,1-1,新特蘭,0-1,輸[-0.5],小[2/2.5],雙,,●,,
英超,2012-02-04,史篤城,0-1,新特蘭,0-0,贏[+0/0.5],小[2.5],單,●,,,
英超,2012-02-02,新特蘭,3-0,諾域治,2-0,贏[-0.5/1],大[2.5],單,,●,,
英足總盃,2012-01-29,新特蘭,1-1,米杜士堡,0-1,輸[-1],小[2.5],雙,,●,,
英超,2012-01-21,新特蘭,2-0,史雲斯,1-0,贏[-0.5],小[2/2.5],雙,,●,,
英超,2012-01-14,車路士,1-0,新特蘭,1-0,贏[+1/1.5],小[2.5/3],單,●,,,
英足總盃,2012-01-08,彼德堡,0-2,新特蘭,0-0,贏[-0.5],小[2.5],雙,,●,,
英超,2012-01-04,韋根,1-4,新特蘭,0-1,贏[0],大[2.5],單,,,●,
英超,2012-01-01,新特蘭,1-0,曼城,0-0,贏[+0.5/1],小[2.5/3],單,●,,,
英超,2011-12-26,新特蘭,1-1,愛華頓,1-0,輸[-0/0.5],小[2.5],雙,,●,,
英超,2011-12-22,昆士柏流浪,2-3,新特蘭,0-1,贏[0],大[2.5],單,,,●,
英超,2011-12-18,熱刺,1-0,新特蘭,0-0,贏[+1/1.5],小[2.5/3],單,●,,,
英超,2011-12-11,新特蘭,2-1,布力般流浪,0-1,贏[-0.5],大[2.5],單,,●,,
英超,2011-12-05,狼隊,2-1,新特蘭,0-0,輸[+0/0.5],大[2.5],單,,●,,
英超,2011-11-26,新特蘭,1-2,韋根,1-1,輸[-0.5/1],大[2.5],單,,●,,
英超,2011-11-19,新特蘭,0-0,富咸,0-0,輸[-0/0.5],小[2/2.5],雙,●,,,
英超,2011-11-05,曼聯,1-0,新特蘭,1-0,贏[+1.5/2],小[3],單,●,,,
英超,2011-10-29,新特蘭,2-2,阿士東維拉,1-1,輸[-0.5],大[2.5],雙,,,●,
英超,2011-10-22,保頓,0-2,新特蘭,0-0,贏[+0/0.5],小[2.5],雙,,●,,
英超,2011-10-16,阿仙奴,2-1,新特蘭,1-1,贏[+1/1.5],大[2.5/3],單,,●,,
英超,2011-10-01,新特蘭,2-2,西布朗,2-2,輸[-0/0.5],大[2/2.5],雙,,,●,
英超,2011-09-27,諾域治,2-1,新特蘭,1-0,輸[+0/0.5],大[2.5],單,,●,,
英超,2011-09-18,新特蘭,4-0,史篤城,3-0,贏[-0/0.5],大[2/2.5],雙,,,●,
英超,2011-09-10,新特蘭,1-2,車路士,0-1,輸[+0.5/1],大[2.5],單,,●,,
英超,2011-08-27,史雲斯,0-0,新特蘭,0-0,贏[+0/0.5],小[2/2.5],雙,●,,,
英聯賽盃,2011-08-24,白禮頓,0-0,新特蘭,0-0,輸[-0/0.5],小[2.5],雙,●,,,
英超,2011-08-20,新特蘭,0-1,紐卡素,0-0,輸[-0/0.5],小[2/2.5],單,●,,,
英超,2011-08-13,利物浦,1-1,新特蘭,1-0,贏[+1/1.5],小[2.5],雙,,●,,
友誼賽,2011-08-06,喜百年,0-0,新特蘭,0-0,輸[-0.5],小[2.5],雙,●,,,
友誼賽,2011-08-03,哈特爾浦,1-3,新特蘭,1-1,贏[-0.5/1],大[2.5],雙,,,●,
友誼賽,2011-07-30,般尼,1-0,新特蘭,1-0,輸[-0/0.5],小[2.5],單,●,,,
