0,1,2,3,4,5,6,7,8,9,10,11,12
英超,2012-05-13,史雲斯,1-0,利物浦,0-0,贏[+0/0.5],小[2.5/3],單,●,,,
英超,2012-05-06,曼聯,2-0,史雲斯,2-0,贏[+2/2.5],小[3/3.5],雙,,●,,
英超,2012-04-28,史雲斯,4-4,狼隊,4-2,輸[-1],大[2.5/3],雙,,,,●
英超,2012-04-21,保頓,1-1,史雲斯,1-1,贏[+0/0.5],小[2.5],雙,,●,,
英超,2012-04-14,史雲斯,3-0,布力般流浪,2-0,贏[-0.5],大[2.5],單,,●,,
英超,2012-04-12,昆士柏流浪,3-0,史雲斯,1-0,輸[+0.5],大[2.5],單,,●,,
英超,2012-04-06,史雲斯,0-2,紐卡素,0-1,輸[-0/0.5],小[2/2.5],雙,,●,,
英超,2012-04-01,熱刺,3-1,史雲斯,1-0,輸[+1/1.5],大[2.5/3],雙,,,●,
英超,2012-03-24,史雲斯,0-2,愛華頓,0-0,輸[-0/0.5],小[2/2.5],雙,,●,,
英超,2012-03-17,富咸,0-3,史雲斯,0-1,贏[+0.5/1],大[2.5],單,,●,,
英超,2012-03-11,史雲斯,1-0,曼城,0-0,贏[+0.5/1],小[2.5],單,●,,,
英超,2012-03-03,韋根,0-2,史雲斯,0-1,贏[0],小[2/2.5],雙,,●,,
英超,2012-02-26,史篤城,2-0,史雲斯,2-0,輸[+0.5],小[2/2.5],雙,,●,,
英超,2012-02-11,史雲斯,2-3,諾域治,1-0,輸[-0.5/1],大[2.5],單,,,●,
英超,2012-02-04,西布朗,1-2,史雲斯,0-0,贏[+0.5],大[2/2.5],單,,●,,
英超,2012-02-01,史雲斯,1-1,車路士,1-0,贏[+0.5],小[2.5],雙,,●,,
英足總盃,2012-01-28,保頓,2-1,史雲斯,1-1,輸[+0.5],大[2.5],單,,●,,
英超,2012-01-21,新特蘭,2-0,史雲斯,1-0,輸[+0.5],小[2/2.5],雙,,●,,
英超,2012-01-16,史雲斯,3-2,阿仙奴,1-1,贏[+0.5],大[2.5],單,,,●,
英足總盃,2012-01-07,班士利,2-4,史雲斯,1-1,贏[-0/0.5],大[2.5],雙,,,●,
英超,2012-01-02,阿士東維拉,0-2,史雲斯,0-1,贏[+0.5],小[2/2.5],雙,,●,,
英超,2011-12-31,史雲斯,1-1,熱刺,0-1,贏[+0.5/1],小[2.5],雙,,●,,
英超,2011-12-28,史雲斯,1-1,昆士柏流浪,1-0,輸[-0.5],小[2.5],雙,,●,,
英超,2011-12-22,愛華頓,1-0,史雲斯,0-0,走[+1],小[2.5],單,●,,,
英超,2011-12-17,紐卡素,0-0,史雲斯,0-0,贏[+0.5/1],小[2.5],雙,●,,,
英超,2011-12-10,史雲斯,2-0,富咸,0-0,贏[0],小[2/2.5],雙,,●,,
英超,2011-12-03,布力般流浪,4-2,史雲斯,2-1,輸[+0.5],大[2.5],雙,,,●,
英超,2011-11-27,史雲斯,0-0,阿士東維拉,0-0,輸[-0/0.5],小[2.5],雙,●,,,
英超,2011-11-20,史雲斯,0-1,曼聯,0-1,走[+1],小[2.5/3],單,●,,,
英超,2011-11-05,利物浦,0-0,史雲斯,0-0,贏[+1.5],小[3],雙,●,,,
英超,2011-10-29,史雲斯,3-1,保頓,0-0,贏[-0.5],大[2.5],雙,,,●,
英超,2011-10-22,狼隊,2-2,史雲斯,0-2,贏[+0.5],大[2.5],雙,,,●,
英超,2011-10-15,諾域治,3-1,史雲斯,2-1,輸[+0.5],大[2.5],雙,,,●,
英超,2011-10-02,史雲斯,2-0,史篤城,1-0,贏[0],小[2/2.5],雙,,●,,
英超,2011-09-24,車路士,4-1,史雲斯,2-0,輸[+2],大[3/3.5],單,,,●,
英超,2011-09-17,史雲斯,3-0,西布朗,2-0,贏[0],大[2/2.5],單,,●,,
英超,2011-09-10,阿仙奴,1-0,史雲斯,1-0,贏[+1/1.5],小[2.5/3],單,●,,,
英超,2011-08-27,史雲斯,0-0,新特蘭,0-0,輸[-0/0.5],小[2/2.5],雙,●,,,
英聯賽盃,2011-08-24,梳士貝利,3-1,史雲斯,1-1,輸[-0/0.5],大[2.5],雙,,,●,
英超,2011-08-20,史雲斯,0-0,韋根,0-0,輸[-0.5],小[2.5],雙,●,,,
英超,2011-08-16,曼城,4-0,史雲斯,0-0,輸[+1/1.5],大[2.5/3],雙,,,●,
友誼賽,2011-08-06,史雲斯,1-0,貝迪斯,0-0,贏[-0/0.5],小[2.5],單,●,,,
友誼賽,2011-08-04,史雲斯,2-0,些路迪,0-0,贏[-0/0.5],小[2.5],雙,,●,,
友誼賽,2011-07-16,塔爾波特港,1-3,史雲斯,0-2,-,大[2.5],雙,,,●,
友誼賽,2011-07-16,尼斯夫,1-0,史雲斯,1-0,輸[-1/1.5],小[3],單,●,,,
勝 平 負,,,,,,,,,,,,
英超,2013-05-19,史雲斯,0-3,富咸,0-1,輸[-0.5/1],大[2.5],單,,●,,
英超,2013-05-12,曼聯,2-1,史雲斯,1-0,贏[+1.5],走[3],單,,●,,
英超,2013-05-08,韋根,2-3,史雲斯,1-0,贏[+0.5/1],大[2.5],單,,,●,
英超,2013-05-04,史雲斯,0-0,曼城,0-0,贏[+0.5/1],小[2.5],雙,●,,,
英超,2013-04-28,車路士,2-0,史雲斯,2-0,輸[+1/1.5],小[3],雙,,●,,
英超,2013-04-20,史雲斯,0-0,修咸頓,0-0,輸[-0/0.5],小[2.5/3],雙,●,,,
英超,2013-04-06,諾域治,2-2,史雲斯,1-1,走[0],大[2.5],雙,,,●,
英超,2013-03-30,史雲斯,1-2,熱刺,0-2,輸[+0/0.5],大[2.5],單,,●,,
