0,1,2,3,4,5,6,7,8,9,10,11,12
英超,2012-05-13,熱刺,2-0,富咸,1-0,贏[-1.5],小[3],雙,,●,,
英超,2012-05-06,阿士東維拉,1-1,熱刺,1-0,輸[-0.5],小[2.5],雙,,●,,
英超,2012-05-03,保頓,1-4,熱刺,0-1,贏[-0.5],大[2.5/3],單,,,●,
英超,2012-04-29,熱刺,2-0,布力般流浪,1-0,贏[-1.5],小[3/3.5],雙,,●,,
英超,2012-04-22,昆士柏流浪,1-0,熱刺,1-0,輸[-0.5],小[2.5/3],單,●,,,
英足總盃,2012-04-16,熱刺,1-5,車路士,0-1,輸[0],大[2.5],雙,,,●,
英超,2012-04-09,熱刺,1-2,諾域治,1-1,輸[-1.5/2],小[3/3.5],單,,●,,
英超,2012-04-07,新特蘭,0-0,熱刺,0-0,輸[-0/0.5],小[2.5],雙,●,,,
英超,2012-04-01,熱刺,3-1,史雲斯,1-0,贏[-1/1.5],大[2.5/3],雙,,,●,
英足總盃,2012-03-28,熱刺,3-1,保頓,0-0,贏[-1.5],大[3.5],雙,,,●,
英超,2012-03-24,車路士,0-0,熱刺,0-0,贏[+0.5],小[2.5],雙,●,,,
英超,2012-03-22,熱刺,1-1,史篤城,0-0,輸[-1/1.5],小[2.5],雙,,●,,
英超,2012-03-11,愛華頓,1-0,熱刺,1-0,輸[0],小[2.5],單,●,,,
英足總盃,2012-03-08,熱刺,3-1,史提芬納治,1-1,走[-2],大[3.5],雙,,,●,
英超,2012-03-05,熱刺,1-3,曼聯,0-1,輸[+0/0.5],大[2.5/3],雙,,,●,
英超,2012-02-26,阿仙奴,5-2,熱刺,2-2,輸[+0/0.5],大[2.5/3],單,,,,●
英足總盃,2012-02-19,史提芬納治,0-0,熱刺,0-0,輸[-1/1.5],小[2.5/3],雙,●,,,
英超,2012-02-12,熱刺,5-0,紐卡素,4-0,贏[-1],大[2.5/3],單,,,●,
英超,2012-02-07,利物浦,0-0,熱刺,0-0,贏[+0.5],小[2.5],雙,●,,,
英超,2012-02-01,熱刺,3-1,韋根,2-0,走[-2],大[3],雙,,,●,
英足總盃,2012-01-28,屈福特,0-1,熱刺,0-1,輸[-1.5],小[2.5/3],單,●,,,
英超,2012-01-22,曼城,3-2,熱刺,0-0,輸[+0.5],大[2.5/3],單,,,●,
英超,2012-01-14,熱刺,1-1,狼隊,0-1,輸[-1.5/2],小[3],雙,,●,,
英超,2012-01-12,熱刺,2-0,愛華頓,1-0,贏[-1],小[2.5],雙,,●,,
英足總盃,2012-01-07,熱刺,3-0,車頓咸,2-0,贏[-2],小[3.5],單,,●,,
英超,2012-01-04,熱刺,1-0,西布朗,0-0,輸[-1.5],小[3/3.5],單,●,,,
英超,2011-12-31,史雲斯,1-1,熱刺,0-1,輸[-0.5/1],小[2.5],雙,,●,,
