0,1,2,3,4,5,6,7,8,9,10,11,12
英超,2012-05-13,西布朗,2-3,阿仙奴,2-2,輸[+0.5/1],大[3],單,,,●,
英超,2012-05-06,保頓,2-2,西布朗,1-0,贏[+0/0.5],大[2.5/3],雙,,,●,
英超,2012-04-28,西布朗,0-0,阿士東維拉,0-0,輸[-0.5],小[2.5],雙,●,,,
英超,2012-04-22,利物浦,0-1,西布朗,0-0,贏[+1.5],小[2.5/3],單,●,,,
英超,2012-04-14,西布朗,1-0,昆士柏流浪,1-0,贏[-0/0.5],小[2.5],單,●,,,
英超,2012-04-12,曼城,4-0,西布朗,1-0,輸[+1.5/2],大[3],雙,,,●,
英超,2012-04-07,西布朗,3-0,布力般流浪,1-0,贏[-0.5],大[2.5],單,,●,,
英超,2012-03-31,愛華頓,2-0,西布朗,1-0,輸[+0.5/1],小[2.5],雙,,●,,
英超,2012-03-25,西布朗,1-3,紐卡素,0-3,輸[-0.5],大[2.5],雙,,,●,
英超,2012-03-17,韋根,1-1,西布朗,0-0,走[0],小[2.5],雙,,●,,
英超,2012-03-11,曼聯,2-0,西布朗,1-0,輸[+1.5],小[3],雙,,●,,
英超,2012-03-03,西布朗,1-0,車路士,0-0,贏[+0.5],小[2.5],單,●,,,
英超,2012-02-25,西布朗,4-0,新特蘭,2-0,贏[-0/0.5],大[2/2.5],雙,,,●,
英超,2012-02-12,狼隊,1-5,西布朗,1-1,贏[0],大[2.5],雙,,,●,
英超,2012-02-04,西布朗,1-2,史雲斯,0-0,輸[-0.5],大[2/2.5],單,,●,,
英超,2012-02-02,富咸,1-1,西布朗,0-0,贏[+0.5],小[2.5],雙,,●,,
英足總盃,2012-01-28,西布朗,1-2,諾域治,0-1,輸[-0.5],大[2.5/3],單,,●,,
英超,2012-01-21,史篤城,1-2,西布朗,0-1,贏[+0.5],大[2.5],單,,●,,
英超,2012-01-14,西布朗,1-2,諾域治,0-1,輸[-0.5],大[2.5],單,,●,,
英足總盃,2012-01-07,西布朗,4-2,卡迪夫城,2-1,贏[-0.5/1],大[2.5],雙,,,●,
英超,2012-01-04,熱刺,1-0,西布朗,0-0,贏[+1.5],小[3/3.5],單,●,,,
英超,2012-01-01,西布朗,0-1,愛華頓,0-0,輸[0],小[2.5],單,●,,,
英超,2011-12-26,西布朗,0-0,曼城,0-0,贏[+1/1.5],小[2.5/3],雙,●,,,
英超,2011-12-22,紐卡素,2-3,西布朗,1-2,贏[+0.5],大[2.5],單,,,●,
英超,2011-12-17,布力般流浪,1-2,西布朗,0-0,贏[+0/0.5],大[2.5/3],單,,●,,
英超,2011-12-10,西布朗,1-2,韋根,1-1,輸[-0.5/1],大[2.5],單,,●,,
英超,2011-12-03,昆士柏流浪,1-1,西布朗,1-0,贏[+0/0.5],小[2/2.5],雙,,●,,
英超,2011-11-26,西布朗,1-3,熱刺,1-1,輸[+0/0.5],大[2.5],雙,,,●,
英超,2011-11-19,西布朗,2-1,保頓,1-1,贏[-0.5],大[2.5],單,,●,,
英超,2011-11-05,阿仙奴,3-0,西布朗,2-0,輸[+1.5],走[3],單,,●,,
英超,2011-10-30,西布朗,0-2,利物浦,0-2,輸[+0.5],小[2.5],雙,,●,,
英超,2011-10-22,阿士東維拉,1-2,西布朗,1-1,贏[+0.5],大[2.5],單,,●,,
英超,2011-10-16,西布朗,2-0,狼隊,1-0,贏[-0.5],小[2.5],雙,,●,,
英超,2011-10-01,新特蘭,2-2,西布朗,2-2,贏[+0/0.5],大[2/2.5],雙,,,●,
英超,2011-09-24,西布朗,0-0,富咸,0-0,輸[-0/0.5],小[2/2.5],雙,●,,,
英聯賽盃,2011-09-22,愛華頓,1-1,西布朗,1-1,贏[+0.5/1],小[2.5],雙,,●,,
英超,2011-09-17,史雲斯,3-0,西布朗,2-0,輸[0],大[2/2.5],單,,●,,
英超,2011-09-11,諾域治,0-1,西布朗,0-1,贏[0],小[2.5],單,●,,,
英超,2011-08-28,西布朗,0-1,史篤城,0-0,輸[-0/0.5],小[2.5],單,●,,,
英聯賽盃,2011-08-24,般尼茅夫,1-4,西布朗,0-2,贏[-0.5],大[2.5],單,,,●,
英超,2011-08-21,車路士,2-1,西布朗,0-1,贏[+1.5],走[3],單,,●,,
英超,2011-08-14,西布朗,1-2,曼聯,1-1,輸[+0.5/1],大[2.5/3],單,,●,,
友誼賽,2011-08-07,西布朗,1-1,帕爾馬,0-1,輸[-1],小[2/2.5],雙,,●,,
友誼賽,2011-08-05,奧林比亞高斯,2-2,西布朗,2-1,贏[+0.5],大[2.5],雙,,,●,
友誼賽,2011-08-03,車頓咸,2-4,西布朗,0-0,-,大[2.5],雙,,,●,
友誼賽,2011-07-30,布里斯托城,0-1,西布朗,0-0,贏[-0/0.5],小[2.5],單,●,,,
友誼賽,2011-07-27,羅奇代爾,3-0,西布朗,2-0,輸[-0.5],大[2.5],單,,●,,
友誼賽,2011-07-21,波特蘭伐木者,2-3,西布朗,2-0,贏[-0.5],大[2.5/3],單,,,●,
友誼賽,2011-07-13,聖荷西地震,2-1,西布朗,2-0,輸[-0.5],大[2.5],單,,●,,
勝 平 負,,,,,,,,,,,,
英超,2013-05-19,西布朗,5-5,曼聯,1-3,贏[+0.5],大[2.5/3],雙,,,,●
英超,2013-05-12,諾域治,4-0,西布朗,1-0,輸[+0/0.5],大[2.5],雙,,,●,
英超,2013-05-08,曼城,1-0,西布朗,1-0,贏[+1/1.5],小[3],單,●,,,
英超,2013-05-04,西布朗,2-3,韋根,1-1,輸[-0/0.5],大[2.5/3],單,,,●,
英超,2013-04-27,修咸頓,0-3,西布朗,0-1,贏[+0.5/1],大[2.5],單,,●,,
英超,2013-04-20,西布朗,1-1,紐卡素,0-1,輸[-0/0.5],小[2.5/3],雙,,●,,
英超,2013-04-06,西布朗,1-2,阿仙奴,0-1,輸[+0.5/1],大[2.5/3],單,,●,,
英超,2013-03-30,韋斯咸,3-1,西布朗,2-0,輸[+0/0.5],大[2.5],雙,,,●,
英超,2013-03-16,史篤城,0-0,西布朗,0-0,走[0],小[2/2.5],雙,●,,,
英超,2013-03-09,西布朗,2-1,史雲斯,1-1,贏[-0/0.5],大[2.5],單,,●,,
英超,2013-03-02,車路士,1-0,西布朗,1-0,贏[+1/1.5],小[3],單,●,,,
英超,2013-02-23,西布朗,2-1,新特蘭,1-0,贏[-0.5],大[2.5],單,,●,,
英超,2013-02-12,利物浦,0-2,西布朗,0-0,贏[+1/1.5],小[2.5/3],雙,,●,,
英超,2013-02-03,西布朗,0-1,熱刺,0-0,輸[+0/0.5],小[2.5],單,●,,,
英超,2013-01-31,愛華頓,2-1,西布朗,2-0,走[+1],大[2.5/3],單,,●,,
英超,2013-01-20,西布朗,2-2,阿士東維拉,0-2,輸[-0.5/1],大[2.5],雙,,,●,
英足總盃,2013-01-16,西布朗,0-1,昆士柏流浪,0-0,輸[-0.5],小[2.5],單,●,,,
英超,2013-01-12,雷丁,3-2,西布朗,0-1,輸[0],大[2.5],單,,,●,
英足總盃,2013-01-05,昆士柏流浪,1-1,西布朗,0-0,走[0],小[2.5],雙,,●,,
英超,2013-01-01,西布朗,1-2,富咸,0-1,輸[-0.5],大[2.5],單,,●,,
英超,2012-12-29,曼聯,2-0,西布朗,1-0,輸[+1.5],小[3/3.5],雙,,●,,
英超,2012-12-26,昆士柏流浪,1-2,西布朗,0-1,贏[+0/0.5],大[2.5],單,,●,,
英超,2012-12-22,西布朗,2-1,諾域治,1-1,贏[-0.5],大[2.5],單,,●,,
英超,2012-12-17,西布朗,0-0,韋斯咸,0-0,輸[-0.5],小[2.5/3],雙,●,,,
英超,2012-12-08,阿仙奴,2-0,西布朗,1-0,輸[+1],小[2.5/3],雙,,●,,
英超,2012-12-01,西布朗,0-1,史篤城,0-0,輸[-0.5],小[2.5],單,●,,,
英超,2012-11-29,史雲斯,3-1,西布朗,3-1,輸[+0/0.5],大[2.5],雙,,,●,
英超,2012-11-24,新特蘭,2-4,西布朗,0-2,贏[+0/0.5],大[2.5],雙,,,●,
英超,2012-11-17,西布朗,2-1,車路士,1-1,贏[+0.5],大[2.5/3],單,,●,,
英超,2012-11-10,韋根,1-2,西布朗,1-2,贏[+0/0.5],大[2.5],單,,●,,
英超,2012-11-06,西布朗,2-0,修咸頓,1-0,贏[-0.5],小[2.5/3],雙,,●,,
英超,2012-10-28,紐卡素,2-1,西布朗,1-0,輸[+0.5],大[2.5/3],單,,●,,
英超,2012-10-20,西布朗,1-2,曼城,0-0,輸[+0.5/1],大[2.5/3],單,,●,,
英超,2012-10-06,西布朗,3-2,昆士柏流浪,2-1,贏[-0.5],大[2.5/3],單,,,●,
英超,2012-09-30,阿士東維拉,1-1,西布朗,0-0,走[0],小[2.5],雙,,●,,
英聯賽盃,2012-09-27,西布朗,1-2,利物浦,1-1,輸[0],大[2.5],單,,●,,
英超,2012-09-22,西布朗,1-0,雷丁,0-0,贏[-0.5/1],小[2.5],單,●,,,
英超,2012-09-15,富咸,3-0,西布朗,2-0,輸[+0.5],大[2.5/3],單,,●,,
英超,2012-09-01,西布朗,2-0,愛華頓,0-0,贏[+0/0.5],小[2/2.5],雙,,●,,
英聯賽盃,2012-08-29,伊奧華,2-4,西布朗,1-2,贏[-0.5/1],大[2.5/3],雙,,,●,
英超,2012-08-25,熱刺,1-1,西布朗,0-0,贏[+1],小[2.5/3],雙,,●,,
英超,2012-08-18,西布朗,3-0,利物浦,1-0,贏[+0.5/1],大[2.5],單,,●,,
友誼賽,2012-08-11,諾定咸森林,0-2,西布朗,0-2,贏[0],小[2/2.5],雙,,●,,
友誼賽,2012-08-08,華素爾,1-3,西布朗,0-1,贏[-0.5/1],大[2.5/3],雙,,,●,
友誼賽,2012-08-04,錫周三,1-0,西布朗,1-0,輸[-0/0.5],小[2.5],單,●,,,
友誼賽,2012-07-28,班士利,0-0,西布朗,0-0,輸[-0.5],小[2.5],雙,●,,,
友誼賽,2012-07-26,哥本哈根,0-3,西布朗,0-1,贏[+0/0.5],大[2.5],單,,●,,
友誼賽,2012-07-20,馬模,1-0,西布朗,1-0,輸[0],小[2.5],單,●,,,
勝 平 負,,,,,,,,,,,,
英超,2014-05-11,西布朗,1-2,史篤城,0-1,輸[-0/0.5],大[2.5],單,,●,,
英超,2014-05-08,新特蘭,2-0,西布朗,2-0,輸[+0.5],小[2.5],雙,,●,,
英超,2014-05-04,阿仙奴,1-0,西布朗,1-0,贏[+1/1.5],小[3],單,●,,,
英超,2014-04-26,西布朗,1-0,韋斯咸,1-0,贏[-0.5],小[2.5/3],單,●,,,
英超,2014-04-22,曼城,3-1,西布朗,3-1,輸[+1.5/2],大[3.5],雙,,,●,
英超,2014-04-12,西布朗,3-3,熱刺,3-1,贏[+0/0.5],大[2.5],雙,,,●,
