0,1,2,3,4,5,6,7,8,9,10,11,12
英冠附,2012-05-19,韋斯咸,2-1,黑池,1-0,贏[-0.5],大[2.5],單,,●,,
英冠附,2012-05-07,韋斯咸,3-0,卡迪夫城,2-0,贏[-0.5/1],大[2.5],單,,●,,
英冠附,2012-05-04,卡迪夫城,0-2,韋斯咸,0-2,贏[0],小[2/2.5],雙,,●,,
英冠,2012-04-28,韋斯咸,2-1,侯城,1-0,走[-1],大[2.5],單,,●,,
英冠,2012-04-24,李斯特城,1-2,韋斯咸,1-1,贏[-0.5],大[2.5/3],單,,●,,
英冠,2012-04-18,布里斯托城,1-1,韋斯咸,1-1,輸[-1],小[2.5/3],雙,,●,,
英冠,2012-04-14,韋斯咸,6-0,白禮頓,3-0,贏[-0.5/1],大[2.5],雙,,,●,
英冠,2012-04-10,韋斯咸,3-3,伯明翰,1-3,輸[-0.5],大[2.5],雙,,,●,
英冠,2012-04-07,班士利,0-4,韋斯咸,0-3,贏[-0.5/1],大[2.5],雙,,,●,
英冠,2012-03-31,韋斯咸,2-4,雷丁,1-2,輸[-0/0.5],大[2/2.5],雙,,,●,
英冠,2012-03-28,彼德堡,0-2,韋斯咸,0-0,贏[-0.5],小[2.5/3],雙,,●,,
英冠,2012-03-24,般尼,2-2,韋斯咸,2-0,走[0],大[2/2.5],雙,,,●,
英冠,2012-03-21,韋斯咸,1-1,米杜士堡,0-0,輸[-0.5/1],小[2.5],雙,,●,,
英冠,2012-03-17,列斯聯,1-1,韋斯咸,0-0,贏[+0/0.5],小[2.5],雙,,●,,
英冠,2012-03-10,韋斯咸,1-1,唐卡士打,1-0,輸[-1/1.5],小[2.5/3],雙,,●,,
英冠,2012-03-08,韋斯咸,1-1,屈福特,0-0,輸[-1/1.5],小[2.5],雙,,●,,
英冠,2012-03-04,卡迪夫城,0-2,韋斯咸,0-1,贏[0],小[2/2.5],雙,,●,,
英冠,2012-02-25,韋斯咸,0-0,水晶宮,0-0,輸[-0.5/1],小[2.5],雙,●,,,
英冠,2012-02-22,黑池,1-4,韋斯咸,1-2,贏[+0/0.5],大[2.5],單,,,●,
英冠,2012-02-15,韋斯咸,1-1,修咸頓,1-0,輸[-0/0.5],小[2.5],雙,,●,,
英冠,2012-02-04,韋斯咸,2-1,米禾爾,1-0,贏[-0.5/1],大[2.5],單,,●,,
英冠,2012-02-01,葉士域治,5-1,韋斯咸,3-1,輸[-0.5],大[2.5],雙,,,●,
英冠,2012-01-21,韋斯咸,2-1,諾定咸森林,1-0,走[-1],大[2.5/3],單,,●,,
英冠,2012-01-14,樸茨茅夫,0-1,韋斯咸,0-1,贏[0],小[2/2.5],單,●,,,
英足總盃,2012-01-08,錫周三,1-0,韋斯咸,0-0,輸[-0/0.5],小[2.5],單,●,,,
英冠,2012-01-02,韋斯咸,1-0,高雲地利,0-0,輸[-1/1.5],小[2.5],單,●,,,
英冠,2011-12-31,打比郡,2-1,韋斯咸,2-1,輸[0],大[2.5],單,,●,,
英冠,2011-12-27,伯明翰,1-1,韋斯咸,0-1,贏[+0/0.5],小[2/2.5],雙,,●,,
英冠,2011-12-17,韋斯咸,1-0,班士利,1-0,輸[-1/1.5],小[2.5/3],單,●,,,
英冠,2011-12-10,雷丁,3-0,韋斯咸,0-0,輸[0],大[2.5],單,,●,,
英冠,2011-12-03,韋斯咸,1-2,般尼,0-0,輸[-1],大[2.5/3],單,,●,,
英冠,2011-11-30,米杜士堡,0-2,韋斯咸,0-1,贏[+0/0.5],小[2/2.5],雙,,●,,
英冠,2011-11-27,韋斯咸,3-1,打比郡,1-1,贏[-1/1.5],大[2.5],雙,,,●,
英冠,2011-11-19,高雲地利,1-2,韋斯咸,1-0,贏[-0.5],大[2.5],單,,●,,
英冠,2011-11-05,侯城,0-2,韋斯咸,0-0,贏[0],小[2.5],雙,,●,,
英冠,2011-11-02,韋斯咸,0-0,布里斯托城,0-0,輸[-1/1.5],小[3],雙,●,,,
英冠,2011-10-29,韋斯咸,3-2,李斯特城,2-0,贏[-0.5],大[2.5],單,,,●,
英冠,2011-10-25,白禮頓,0-1,韋斯咸,0-1,贏[-0/0.5],小[2.5],單,●,,,
英冠,2011-10-19,修咸頓,1-0,韋斯咸,1-0,輸[+0/0.5],小[2.5/3],單,●,,,
英冠,2011-10-15,韋斯咸,4-0,黑池,1-0,贏[-0.5/1],大[2.5],雙,,,●,
英冠,2011-10-01,水晶宮,2-2,韋斯咸,1-1,輸[-0.5],大[2.5],雙,,,●,
英冠,2011-09-28,韋斯咸,0-1,葉士域治,0-0,輸[-1],小[3],單,●,,,
英冠,2011-09-24,韋斯咸,1-0,彼德堡,1-0,走[-1],小[3],單,●,,,
英冠,2011-09-17,米禾爾,0-0,韋斯咸,0-0,輸[-0/0.5],小[2.5],雙,●,,,
英冠,2011-09-10,韋斯咸,4-3,樸茨茅夫,1-1,贏[-0.5/1],大[2.5],單,,,,●
英冠,2011-08-28,諾定咸森林,1-4,韋斯咸,0-3,贏[0],大[2.5],單,,,●,
英聯賽盃,2011-08-25,韋斯咸,1-2,艾迪索特,1-0,輸[-1/1.5],大[2.5/3],單,,●,,
