0,1,2,3,4,5,6,7,8,9,10,11,12
英超,2012-05-13,韋根,3-2,狼隊,2-1,贏[-0.5/1],大[3],單,,,●,
英超,2012-05-08,布力般流浪,0-1,韋根,0-0,贏[0],小[2.5/3],單,●,,,
英超,2012-04-28,韋根,4-0,紐卡素,4-0,贏[0],大[2.5],雙,,,●,
英超,2012-04-21,富咸,2-1,韋根,0-0,輸[+0.5],大[2.5],單,,●,,
英超,2012-04-17,阿仙奴,1-2,韋根,1-2,贏[+1.5/2],走[3],單,,●,,
英超,2012-04-12,韋根,1-0,曼聯,0-0,贏[+1/1.5],小[2.5/3],單,●,,,
英超,2012-04-07,車路士,2-1,韋根,0-0,贏[+1.5],走[3],單,,●,,
英超,2012-03-31,韋根,2-0,史篤城,0-0,贏[-0/0.5],小[2/2.5],雙,,●,,
英超,2012-03-24,利物浦,1-2,韋根,0-1,贏[+1.5],走[3],單,,●,,
英超,2012-03-17,韋根,1-1,西布朗,0-0,走[0],小[2.5],雙,,●,,
英超,2012-03-12,諾域治,1-1,韋根,1-0,贏[+0.5],小[2.5],雙,,●,,
英超,2012-03-03,韋根,0-2,史雲斯,0-1,輸[0],小[2/2.5],雙,,●,,
英超,2012-02-25,韋根,0-0,阿士東維拉,0-0,走[0],小[2/2.5],雙,●,,,
英超,2012-02-11,保頓,1-2,韋根,0-1,贏[+0.5],大[2.5],單,,●,,
英超,2012-02-04,韋根,1-1,愛華頓,0-0,贏[+0.5],小[2.5],雙,,●,,
英超,2012-02-01,熱刺,3-1,韋根,2-0,走[+2],大[3],雙,,,●,
英超,2012-01-21,昆士柏流浪,3-1,韋根,2-0,輸[+0.5],大[2.5],雙,,,●,
英超,2012-01-17,韋根,0-1,曼城,0-1,贏[+1/1.5],小[3],單,●,,,
英足總盃,2012-01-07,史雲頓,2-1,韋根,1-1,輸[0],大[2.5],單,,●,,
英超,2012-01-04,韋根,1-4,新特蘭,0-1,輸[0],大[2.5],單,,,●,
英超,2011-12-31,史篤城,2-2,韋根,0-1,贏[+0.5],大[2.5],雙,,,●,
英超,2011-12-26,曼聯,5-0,韋根,2-0,輸[+2],大[3/3.5],單,,,●,
英超,2011-12-22,韋根,0-0,利物浦,0-0,贏[+1],小[2.5],雙,●,,,
英超,2011-12-18,韋根,1-1,車路士,0-0,贏[+1.5],小[2.5/3],雙,,●,,
英超,2011-12-10,西布朗,1-2,韋根,1-1,贏[+0.5/1],大[2.5],單,,●,,
英超,2011-12-03,韋根,0-4,阿仙奴,0-2,輸[+1],大[3],雙,,,●,
