0,1,2,3,4,5,6,7,8,9,10,11,12
英超,2012-05-13,韋根,3-2,狼隊,2-1,輸[+0.5/1],大[3],單,,,●,
英超,2012-05-06,狼隊,0-0,愛華頓,0-0,贏[+0.5/1],小[2.5/3],雙,●,,,
英超,2012-04-28,史雲斯,4-4,狼隊,4-2,贏[+1],大[2.5/3],雙,,,,●
英超,2012-04-22,狼隊,0-2,曼城,0-1,走[+2],小[3/3.5],雙,,●,,
英超,2012-04-14,新特蘭,0-0,狼隊,0-0,贏[+1],小[2.5/3],雙,●,,,
英超,2012-04-12,狼隊,0-3,阿仙奴,0-2,輸[+1/1.5],走[3],單,,●,,
英超,2012-04-08,史篤城,2-1,狼隊,1-1,輸[+0.5/1],大[2.5],單,,●,,
英超,2012-03-31,狼隊,2-3,保頓,0-0,輸[-0/0.5],大[2.5/3],單,,,●,
英超,2012-03-24,諾域治,2-1,狼隊,2-1,輸[+0.5],大[2.5/3],單,,●,,
英超,2012-03-18,狼隊,0-5,曼聯,0-3,輸[+1.5],大[3],單,,,●,
英超,2012-03-10,狼隊,0-2,布力般流浪,0-1,輸[-0/0.5],小[2.5],雙,,●,,
英超,2012-03-04,富咸,5-0,狼隊,2-0,輸[+0.5/1],大[2.5/3],單,,,●,
英超,2012-02-25,紐卡素,2-2,狼隊,2-0,贏[+1],大[2.5],雙,,,●,
英超,2012-02-12,狼隊,1-5,西布朗,1-1,輸[0],大[2.5],雙,,,●,
英超,2012-02-04,昆士柏流浪,1-2,狼隊,1-0,贏[+0.5],大[2.5],單,,●,,
英超,2012-02-01,狼隊,0-3,利物浦,0-0,輸[+0.5/1],大[2.5],單,,●,,
英超,2012-01-21,狼隊,2-3,阿士東維拉,2-1,輸[0],大[2/2.5],單,,,●,
英足總盃,2012-01-19,狼隊,0-1,伯明翰,0-0,輸[-0/0.5],小[2/2.5],單,●,,,
英超,2012-01-14,熱刺,1-1,狼隊,0-1,贏[+1.5/2],小[3],雙,,●,,
英足總盃,2012-01-07,伯明翰,0-0,狼隊,0-0,走[0],小[2.5],雙,●,,,
英超,2012-01-02,狼隊,1-2,車路士,0-0,走[+1],大[2.5/3],單,,●,,
英超,2011-12-31,保頓,1-1,狼隊,1-0,贏[+0/0.5],小[2.5/3],雙,,●,,
英超,2011-12-27,阿仙奴,1-1,狼隊,1-1,贏[+1.5/2],小[3],雙,,●,,
英超,2011-12-21,狼隊,2-2,諾域治,1-1,輸[-0.5],大[2.5/3],雙,,,●,
英超,2011-12-17,狼隊,1-2,史篤城,1-0,輸[-0/0.5],大[2.5],單,,●,,
英超,2011-12-10,曼聯,4-1,狼隊,2-0,輸[+1.5/2],大[3/3.5],單,,,●,
英超,2011-12-05,狼隊,2-1,新特蘭,0-0,贏[-0/0.5],大[2.5],單,,●,,
英超,2011-11-26,車路士,3-0,狼隊,3-0,輸[+2],小[3/3.5],單,,●,,
英超,2011-11-19,愛華頓,2-1,狼隊,1-1,走[+1],大[2.5],單,,●,,
英超,2011-11-06,狼隊,3-1,韋根,1-1,贏[-0.5],大[2.5],雙,,,●,
